artifact_id,artifact_type,path,environment,exists,producer,related_experiment,verified,result_source,notes
ART-001,checkpoint,vectores/resultados/ds_best_multimodal_transformer_vec_5000.pth,zeus,UNKNOWN,VP1_Transformers.py,MICRO-001,false,UNVERIFIED,Legacy Micro checkpoint
ART-002,encoder,vectores/resultados/ds_label_encoder_vec_5000.joblib,zeus,UNKNOWN,VP1_Transformers.py,MICRO-001,false,UNVERIFIED,Legacy label encoder
ART-003,mapping,vectores/resultados/ds_class_mapping_vec_5000.joblib,zeus,UNKNOWN,VP1_Transformers.py,MICRO-001,false,UNVERIFIED,Legacy class mapping
ART-004,result,vectores/resultados/ds_resultado_final.txt_5000,zeus,UNKNOWN,VP1_Transformers.py,MICRO-001,false,UNVERIFIED,Legacy text result
ART-005,checkpoint,vectores/resultados/d_best_multimodal_transformer_vec_3000.pth,zeus,UNKNOWN,VP2_Transformers_directions.py,MICRO-001,false,UNVERIFIED,Name is direction-only despite multimodal wording
ART-006,encoder,vectores/resultados/d_label_encoder_vec_3000.joblib,zeus,UNKNOWN,VP2_Transformers_directions.py,MICRO-001,false,UNVERIFIED,Legacy encoder
ART-007,mapping,vectores/resultados/d_class_mapping_vec_3000.joblib,zeus,UNKNOWN,VP2_Transformers_directions.py,MICRO-001,false,UNVERIFIED,Legacy class mapping
ART-008,checkpoint,vectores/resultados/ds3_best_multimodal_transformer_vec_3000.pth,zeus,UNKNOWN,vectores/VP1_Transformers_dir_size.py,MICRO-002,false,UNVERIFIED,Current Micro checkpoint
ART-009,encoder,vectores/resultados/ds3_label_encoder_vec_3000.joblib,zeus,UNKNOWN,vectores/VP1_Transformers_dir_size.py,MICRO-002,false,UNVERIFIED,Shared by v2 hybrids
ART-010,mapping,vectores/resultados/_ds3_class_mapping_vec_3000.joblib,zeus,UNKNOWN,vectores/VP1_Transformers_dir_size.py,MICRO-002,false,UNVERIFIED,Class mapping filename includes leading underscore in code
ART-011,scaler,vectores/resultados/ds3_minmax_scaler_vec_3000.joblib,zeus,UNKNOWN,vectores/VP1_Transformers_dir_size.py,MICRO-002,false,UNVERIFIED,Train-only min/max scaler
ART-012,result,vectores/resultados/ds3_resultado_final_3000.txt,zeus,UNKNOWN,vectores/VP1_Transformers_dir_size.py,MICRO-002,false,UNVERIFIED,Final Micro text result
ART-013,checkpoint,resultados/best_model_45F.pth,zeus,UNKNOWN,EXP1_Train_45F_Invariantes.py,MACRO-001,false,UNVERIFIED,Relative location depends on execution directory
ART-014,scaler,resultados/scaler_45.joblib,zeus,UNKNOWN,EXP1_Train_45F_Invariantes.py,MACRO-001,false,UNVERIFIED,Legacy Macro scaler
ART-015,encoder,resultados/le_45.joblib,zeus,UNKNOWN,EXP1_Train_45F_Invariantes.py,MACRO-001,false,UNVERIFIED,Legacy Macro encoder
ART-016,feature_list,resultados/features_45_list.joblib,zeus,UNKNOWN,EXP1_Train_45F_Invariantes.py,MACRO-001,false,UNVERIFIED,Selected feature list
ART-017,checkpoint,features/resultados/best_model_invariantes.pth,zeus,UNKNOWN,features/EXP1_Train_Invariantes.py,MACRO-002,false,UNVERIFIED,Current Macro checkpoint
ART-018,scaler,features/resultados/scaler_invariantes.joblib,zeus,UNKNOWN,features/EXP1_Train_Invariantes.py,MACRO-002,false,UNVERIFIED,Current Macro scaler
ART-019,encoder,features/resultados/le_invariantes.joblib,zeus,UNKNOWN,features/EXP1_Train_Invariantes.py,MACRO-002,false,UNVERIFIED,Current Macro encoder
ART-020,feature_list,features/resultados/features_list.joblib,zeus,UNKNOWN,features/EXP1_Train_Invariantes.py,MACRO-002,false,UNVERIFIED,Current feature list
ART-021,checkpoint,resultados_40F3000V/best_model_hibrido_neutro.pth,zeus,UNKNOWN,EXP2_Train_45F3000V_Neutro.py,HYB-001,false,UNVERIFIED,Trainer-relative older hybrid checkpoint; evaluator references sibling vectores_features path
ART-022,scaler,resultados_40F3000V/scaler_hibrido_neutro.joblib,zeus,UNKNOWN,EXP2_Train_45F3000V_Neutro.py,HYB-001,false,UNVERIFIED,Older hybrid scaler
ART-023,encoder,resultados_40F3000V/le_hibrido_neutro.joblib,zeus,UNKNOWN,EXP2_Train_45F3000V_Neutro.py,HYB-001,false,UNVERIFIED,Older hybrid encoder
ART-024,checkpoint,resultados_40F3000V_IncF/best_model_hibrido_inclinado_45F.pth,zeus,UNKNOWN,EXP3_Train_45F3000V_InclinadoF.py,HYB-002,false,UNVERIFIED,Older feature-biased checkpoint
