model_id,family,architecture,status,current_role
MICRO-002,MICRO,"Direction embedding + size projection + CNN1D + Transformer Encoder",ACTIVE,"Current Micro reference"
MACRO-002,MACRO,"Hourly statistical representation + Transformer/attention",ACTIVE,"Current Macro reference"
SOTA-001,SOTA,"CUMUL + RBF SVM",ACTIVE,"Classical baseline"
SOTA-002,SOTA,"Deep Fingerprinting CNN",ACTIVE,"Strongest reproduced drift baseline"
SOTA-003,SOTA,"Rimmer-style LSTM",ACTIVE,"Sequential recurrent baseline"
HYB45-001,HYBRID,"Micro + 45F concatenation",HISTORICAL,"Pending reproduction"
HYB45-002,HYBRID,"Micro-biased fusion + 45F",HISTORICAL,"Historical 34.98 candidate"
HYB-003,HYBRID,"Micro + 94F neutral fusion",ACTIVE_PENDING,"Pending reproduction"
HYB-004,HYBRID,"Micro + 94F feature-biased fusion",ACTIVE_PENDING,"Pending reproduction"
HYB-005,HYBRID,"Micro + 94F vector-biased fusion",ACTIVE_PENDING,"Pending reproduction"
HYB-006,HYBRID,"Micro-Macro Cross-Attention",ACTIVE_PENDING,"Pending reproduction"
DML-001,DML,"Hybrid metric-learning encoder",ACTIVE_PENDING,"Pending reproduction"
DML-002,DML,"Transfer metric-learning encoder",ACTIVE_PENDING,"Pending reproduction"
