comparison,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
HYBRID_vs_MICRO,accuracy,0.02437529788248105,0.024391132712540283,0.02077048858831865,0.028125056489515503,1.0
HYBRID_vs_MICRO,macro_f1,0.02561031828972815,0.02581650859367691,0.02167844557735913,0.029994308662430406,1.0
HYBRID_vs_MICRO,top5_accuracy,0.007966228637570683,0.007954483294962306,0.005269726778769052,0.010381214661437863,1.0
HYBRID_vs_MICRO,mrr,0.016750323900841302,0.016751365082182793,0.013858514420375608,0.019457522686761635,1.0
HYBRID_vs_MACRO_FINAL,accuracy,0.1337237012323823,0.13367577883158985,0.1253710221827002,0.14113780792997657,1.0
HYBRID_vs_MACRO_FINAL,macro_f1,0.134334370231864,0.13452364343038922,0.12552629963332837,0.142528824421061,1.0
HYBRID_vs_MACRO_FINAL,top5_accuracy,0.012936610608020649,0.01291610224643268,0.010443865982402076,0.015331880152596008,1.0
HYBRID_vs_MACRO_FINAL,mrr,0.08141899803626618,0.08137592975355383,0.07576709528528827,0.08653786980535945,1.0
MACRO_FINAL_vs_XGB,accuracy,0.01586436985088857,0.015951871682794147,0.010751955342898249,0.021287251227707426,1.0
MACRO_FINAL_vs_XGB,macro_f1,0.015865242039937,0.015893325887116606,0.009825425067036233,0.02186221006100469,1.0
MACRO_FINAL_vs_XGB,top5_accuracy,0.005038469394702871,0.005057148231495894,0.0031027155251701077,0.006779485932292708,1.0
MACRO_FINAL_vs_XGB,mrr,0.011287309962481618,0.01135005622690905,0.007568809063710885,0.015043405324566519,1.0
