comparison,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
DEV_FROZEN::HYBRID_vs_MICRO,accuracy,0.06336622984414603,0.06325752723040344,0.05868393387664059,0.06715417938779165,1.0
DEV_FROZEN::HYBRID_vs_MICRO,macro_f1,0.05125864459765661,0.051159297219761014,0.04583719430344381,0.05582387159025958,1.0
DEV_FROZEN::HYBRID_vs_MICRO,top5_accuracy,0.0817019899692607,0.08159356018472491,0.07520621210933406,0.08750910998349166,1.0
DEV_FROZEN::HYBRID_vs_MICRO,mrr,0.06914652557091128,0.06905530288349232,0.06596215750582524,0.07173739733571824,1.0
DEV_FROZEN::HYBRID_vs_MACRO_FINAL,accuracy,0.2714771072641967,0.2714211323302821,0.2622823771174284,0.27961450299582447,1.0
DEV_FROZEN::HYBRID_vs_MACRO_FINAL,macro_f1,0.30934320829439543,0.309026346028269,0.30033156987187226,0.3165272511640568,1.0
DEV_FROZEN::HYBRID_vs_MACRO_FINAL,top5_accuracy,0.22563770695141028,0.22561612072953555,0.22010988420221883,0.23083308633043761,1.0
DEV_FROZEN::HYBRID_vs_MACRO_FINAL,mrr,0.24410747214725503,0.24406705891640007,0.23666379024726217,0.25026244818763904,1.0
DEV_FROZEN::MACRO_FINAL_vs_XGB,accuracy,-0.010300382893814353,-0.010269784676330546,-0.015614298568610619,-0.005046119534026365,0.0
DEV_FROZEN::MACRO_FINAL_vs_XGB,macro_f1,-0.01137855425821313,-0.011333131820295175,-0.016036538633531966,-0.0058343816645158855,0.0
DEV_FROZEN::MACRO_FINAL_vs_XGB,top5_accuracy,-0.025777921587661123,-0.025786847699403058,-0.03278871840811524,-0.01878623809874398,0.0
DEV_FROZEN::MACRO_FINAL_vs_XGB,mrr,-0.016975264418225167,-0.01695577166607225,-0.02090343702683182,-0.013117073270839084,0.0
HISTORICAL_FINAL::HYBRID_vs_MICRO,accuracy,0.08040770101925254,0.08040585867327078,0.07721803399208682,0.08403895800453841,1.0
HISTORICAL_FINAL::HYBRID_vs_MICRO,macro_f1,0.08101209167516846,0.0809690489681418,0.07656704224763698,0.08560969515948304,1.0
