track,variant,n,correct_n,micro_error_n,rescues_among_micro_errors_n,rescue_rate_given_micro_wrong,candidate_only_vs_actual_n,actual_only_vs_candidate_n,net_correct_vs_actual
DEV_FROZEN,MICRO,18543,7995,10548,0,0.0,690,1865,-1175
DEV_FROZEN,MICRO_XGB_OUTER55,18543,9215,10548,2083,0.19747819491846796,900,855,45
DEV_FROZEN,MICRO_LTD_OUTER55,18543,6719,10548,1069,0.10134622677284794,404,2855,-2451
DEV_FROZEN,HYBRID_NO_LTD_RENORM,18543,9116,10548,1513,0.14343951459992416,769,823,-54
DEV_FROZEN,HYBRID_NO_XGB_RENORM,18543,8281,10548,802,0.07603337125521425,575,1464,-889
DEV_FROZEN,ACTUAL_HYBRID,18543,9170,10548,1865,0.17681076981418278,0,0,0
HISTORICAL_FINAL,MICRO,18543,4117,14426,0,0.0,502,1993,-1491
HISTORICAL_FINAL,MICRO_XGB_OUTER55,18543,5747,14426,2177,0.15090808262858726,798,659,139
HISTORICAL_FINAL,MICRO_LTD_OUTER55,18543,4609,14426,1685,0.1168029945930958,585,1584,-999
HISTORICAL_FINAL,HYBRID_NO_LTD_RENORM,18543,5176,14426,1425,0.09877998059060031,459,891,-432
HISTORICAL_FINAL,HYBRID_NO_XGB_RENORM,18543,4596,14426,900,0.062387356162484406,408,1420,-1012
HISTORICAL_FINAL,ACTUAL_HYBRID,18543,5608,14426,1993,0.13815333425759047,0,0,0
