subset,feature_count,window,train_date_min,train_date_max,test_date_min,test_date_max,n_train,n_test,accuracy,macro_f1,top5_accuracy,mrr
BASE128,128,NEAR,2025-11-18,2025-12-01,2025-12-02,2025-12-08,19098,10100,0.7714851485148515,0.7675907309033916,0.9537623762376237,0.8505250028094696
BASE128,128,MID,2025-11-18,2025-12-01,2025-12-16,2025-12-22,19098,9956,0.6560867818400964,0.6285473606369535,0.8725391723583769,0.7529931217724374
BASE128,128,FAR,2025-11-18,2025-12-01,2025-12-30,2026-01-05,19098,9865,0.6380131779016726,0.6111601112819601,0.8614292954891029,0.7371509035644207
STABLE_TOP32,32,NEAR,2025-11-18,2025-12-01,2025-12-02,2025-12-08,19098,10100,0.5858415841584158,0.5764995826014861,0.902970297029703,0.722444333681162
STABLE_TOP32,32,MID,2025-11-18,2025-12-01,2025-12-16,2025-12-22,19098,9956,0.48011249497790276,0.4554947044286582,0.8156890317396545,0.624074268111799
STABLE_TOP32,32,FAR,2025-11-18,2025-12-01,2025-12-30,2026-01-05,19098,9865,0.4663963507349214,0.449272149942367,0.8044602128737962,0.6123839383713037
STABLE_TOP64,64,NEAR,2025-11-18,2025-12-01,2025-12-02,2025-12-08,19098,10100,0.6108910891089109,0.6032228445230942,0.9134653465346535,0.7407697018931851
STABLE_TOP64,64,MID,2025-11-18,2025-12-01,2025-12-16,2025-12-22,19098,9956,0.5023101647247891,0.47617207503012615,0.8262354359180394,0.6411116008187091
STABLE_TOP64,64,FAR,2025-11-18,2025-12-01,2025-12-30,2026-01-05,19098,9865,0.48606183476938675,0.46969003448627616,0.8119614799797263,0.6268183479150408
STABLE_TOP96,96,NEAR,2025-11-18,2025-12-01,2025-12-02,2025-12-08,19098,10100,0.6440594059405941,0.6375575360213087,0.9216831683168317,0.7626523333347767
STABLE_TOP96,96,MID,2025-11-18,2025-12-01,2025-12-16,2025-12-22,19098,9956,0.5292286058658096,0.5058538924687149,0.8306548814785054,0.6588726876109298
STABLE_TOP96,96,FAR,2025-11-18,2025-12-01,2025-12-30,2026-01-05,19098,9865,0.5162696401419159,0.5008822699103257,0.825544855549924,0.6491246293400654
STABLE_TOP128,128,NEAR,2025-11-18,2025-12-01,2025-12-02,2025-12-08,19098,10100,0.6818811881188119,0.6771164468308664,0.9252475247524753,0.7877725527893631
STABLE_TOP128,128,MID,2025-11-18,2025-12-01,2025-12-16,2025-12-22,19098,9956,0.5607673764564082,0.531011045805541,0.8414021695460024,0.680669844026942
STABLE_TOP128,128,FAR,2025-11-18,2025-12-01,2025-12-30,2026-01-05,19098,9865,0.5509376583882413,0.5324013064191346,0.8325392802838317,0.6725843272015083
