origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,ltd,accuracy,0.008217821782178225,0.00806961633080152,0.0016879379371667615,0.014184397163120588,0.99
ORIGIN14,NEAR,ltd,macro_f1,0.015745835333295766,0.015572110344370404,0.009873452993741792,0.02127460717983043,1.0
ORIGIN14,NEAR,ltd,top5_accuracy,0.003168316831683171,0.0031753095294166076,0.001782504731540685,0.0045921932714385605,1.0
ORIGIN14,NEAR,ltd,mrr,0.006179429740062692,0.006078258529341008,0.001791302564836325,0.010570684740642159,0.999
ORIGIN14,NEAR,fusion,accuracy,-0.0008910891089108919,-0.0009214437407898699,-0.004489514108844345,0.0022672105895901818,0.3035
ORIGIN14,NEAR,fusion,macro_f1,0.001316605116492009,0.0012649306355953047,-0.0026417775665748045,0.004674549657968062,0.749
ORIGIN14,NEAR,fusion,top5_accuracy,0.001980198019801982,0.0019696634340999105,0.0006961710591745218,0.0033475523593462417,1.0
ORIGIN14,NEAR,fusion,mrr,-4.046351134934234e-05,-5.8577430495651285e-05,-0.0023620875780582225,0.001978951681561954,0.489
ORIGIN14,MID,ltd,accuracy,0.004017677782241824,0.004053994351733403,-0.002811528371550731,0.011328320802004965,0.86
ORIGIN14,MID,ltd,macro_f1,0.012395728887683699,0.012448481892229697,0.0056748574215065295,0.01982006840920371,1.0
ORIGIN14,MID,ltd,top5_accuracy,-0.004419445560466029,-0.0043837116818472065,-0.007659900542773085,-0.0006005284744268342,0.0105
ORIGIN14,MID,ltd,mrr,0.0024138487142603138,0.0024360503468543277,-0.0013786684716451392,0.006225810436414335,0.8955
ORIGIN14,MID,fusion,accuracy,0.0007030936118923581,0.000739037266381239,-0.0016145307769930284,0.002802522270042962,0.7415
ORIGIN14,MID,fusion,macro_f1,0.0028867895518099873,0.0029476653232915016,0.0009762105024915341,0.004728049522691095,0.999
ORIGIN14,MID,fusion,top5_accuracy,-0.003214142225793526,-0.0032163646937152244,-0.005322888420206895,-0.0009069290660839172,0.001
ORIGIN14,MID,fusion,mrr,-0.00018255766752395264,-0.00016048664543146613,-0.0016776332574378633,0.001230440544487262,0.4275
ORIGIN14,FAR,ltd,accuracy,0.003446528129751658,0.0034139152303071713,-0.0006118702834998491,0.007563581589071088,0.941
ORIGIN14,FAR,ltd,macro_f1,0.009350041360503103,0.009236326381209187,0.005506247200374903,0.013624999122015565,1.0
ORIGIN14,FAR,ltd,top5_accuracy,0.002635580334515941,0.0026295620624212936,-0.003555555645081784,0.008713272543059758,0.7965
ORIGIN14,FAR,ltd,mrr,0.0027276437741005077,0.0027029863795230754,-3.186167050856777e-05,0.005361919361474738,0.974
ORIGIN14,FAR,fusion,accuracy,0.0011150532184490691,0.0011247476359076787,-0.0008167748748196922,0.003363674478358394,0.839
ORIGIN14,FAR,fusion,macro_f1,0.002869409500328879,0.0029376674279647202,0.0010915828205388279,0.004996295758984415,0.9995
ORIGIN14,FAR,fusion,top5_accuracy,-0.0005068423720222537,-0.0005338583201946125,-0.002720128954261436,0.0014184397163120588,0.301
ORIGIN14,FAR,fusion,mrr,0.0003171081629159689,0.00032041980441703977,-0.0008436577117284183,0.0016118156519009826,0.6815
ORIGIN28,NEAR,ltd,accuracy,0.008336681398151802,0.008267909762017682,0.0037745457577558206,0.012002654002318681,1.0
ORIGIN28,NEAR,ltd,macro_f1,0.008975661543748958,0.008948634681092792,0.0035464229664294274,0.013517437755958905,0.9995
ORIGIN28,NEAR,ltd,top5_accuracy,-0.001305745279228554,-0.0012971696852108541,-0.0031268912648779734,0.0004987531172070403,0.0775
ORIGIN28,NEAR,ltd,mrr,0.0041576865678431,0.004121024038580574,0.0017500066951348925,0.006266854338770658,1.0
ORIGIN28,NEAR,fusion,accuracy,-0.001305745279228554,-0.001280044600163237,-0.003336684764817907,0.000896430448648624,0.1175
ORIGIN28,NEAR,fusion,macro_f1,-0.0031735887676942465,-0.0030963281832381735,-0.004892449939779442,-0.0009739454010500026,0.002
ORIGIN28,NEAR,fusion,top5_accuracy,-0.002611490558457219,-0.0026104501679309606,-0.004335719734580137,-0.001095786785870018,0.0005
ORIGIN28,NEAR,fusion,mrr,-0.00165747369858249,-0.0016358590872619936,-0.0028598621133863467,-0.00037285396824033315,0.005
ORIGIN28,MID,ltd,accuracy,0.00895493013186377,0.008844640334877113,0.004062221341523897,0.014101299390692917,1.0
ORIGIN28,MID,ltd,macro_f1,0.009074804590607388,0.008992589264925143,0.003975085123055863,0.014366955332670295,1.0
