origin,memory,seed,train_loss,n_train_queries,n_train_context_dates,skipped_train_dates,fit_seconds
ORIGIN14,RECENT5_SEQUENCE,11,0.7648822616221146,9976,7,7,3.2605856059817597
ORIGIN14,RECENT5_SEQUENCE,42,0.7951523242958948,9976,7,7,2.6261096940143034
ORIGIN14,RECENT5_SEQUENCE,73,0.7850264674104875,9976,7,7,2.6295441809343174
ORIGIN14,MULTISCALE5,11,0.798684323990737,9976,7,7,2.650651497999206
ORIGIN14,MULTISCALE5,42,0.8045241807997465,9976,7,7,2.6350005209678784
ORIGIN14,MULTISCALE5,73,0.7973563118681682,9976,7,7,2.6321527420077473
ORIGIN28,RECENT5_SEQUENCE,11,0.6683772275383051,30136,21,7,7.266156606026925
ORIGIN28,RECENT5_SEQUENCE,42,0.6485885247580246,30136,21,7,7.873052428942174
ORIGIN28,RECENT5_SEQUENCE,73,0.6609430584650094,30136,21,7,7.923841116949916
ORIGIN28,MULTISCALE5,11,0.6594568856687485,30136,21,7,7.875704071018845
ORIGIN28,MULTISCALE5,42,0.6453134688025354,30136,21,7,7.8984597529051825
ORIGIN28,MULTISCALE5,73,0.6584851532296347,30136,21,7,7.683443011948839
