origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,ltd,accuracy,-0.02306930693069309,-0.023047738779301816,-0.03426017874875875,-0.013231235515521012,0.0
ORIGIN14,NEAR,ltd,macro_f1,-0.022068843769389224,-0.02202895690140816,-0.0340228501960258,-0.011484795168228729,0.0
ORIGIN14,NEAR,ltd,top5_accuracy,-0.0012871287128712883,-0.0013212825413773694,-0.003773895078774572,0.0011820330969267712,0.144
ORIGIN14,NEAR,ltd,mrr,-0.01375833360048273,-0.013750051782795304,-0.019794905791171193,-0.008330308850463042,0.0
ORIGIN14,NEAR,fusion,accuracy,-0.004752475247524757,-0.004803205107629088,-0.00821022237718358,-0.0021636453495331247,0.0
ORIGIN14,NEAR,fusion,macro_f1,-0.004609223749650226,-0.004570206750555469,-0.008128154711139715,-0.0016270667007466987,0.001
ORIGIN14,NEAR,fusion,top5_accuracy,0.0026732673267326756,0.002674209309577333,0.0009884328646396878,0.004312938816449341,0.999
ORIGIN14,NEAR,fusion,mrr,-0.0025364308997327667,-0.002560156783580495,-0.004456920548945867,-0.0010832194931512285,0.0
ORIGIN14,MID,ltd,accuracy,-0.023202089192446818,-0.023270232357467596,-0.029899999999999927,-0.01733408911043049,0.0
ORIGIN14,MID,ltd,macro_f1,-0.023886441322342633,-0.023965433567138632,-0.031082648647875827,-0.017937952580428778,0.0
ORIGIN14,MID,ltd,top5_accuracy,-0.01727601446364002,-0.017285605044382604,-0.02233857380123893,-0.011934610370073151,0.0
ORIGIN14,MID,ltd,mrr,-0.01895481936484289,-0.018980929793560995,-0.023851865546233662,-0.014106397686804217,0.0
ORIGIN14,MID,fusion,accuracy,-0.005323423061470489,-0.005302845043544087,-0.007546030787805691,-0.002535821530652518,0.0
ORIGIN14,MID,fusion,macro_f1,-0.005884963832865631,-0.005863048035481338,-0.008593299963354058,-0.002476200706105625,0.0
ORIGIN14,MID,fusion,top5_accuracy,-0.006327842507031001,-0.006349038297482039,-0.00952593180453056,-0.0034136546184739824,0.0
ORIGIN14,MID,fusion,mrr,-0.0051240065661251055,-0.005106579099892159,-0.006659368050282666,-0.0033630728636266437,0.0
ORIGIN14,FAR,ltd,accuracy,-0.019868220983274232,-0.01983961514737512,-0.026703992566231023,-0.012177129744477322,0.0
ORIGIN14,FAR,ltd,macro_f1,-0.02066122738577514,-0.020532869585049632,-0.026453336738888278,-0.014027135236774893,0.0
ORIGIN14,FAR,ltd,top5_accuracy,-0.008312214901165738,-0.008330976693450438,-0.014371190490156255,-0.002111120414098364,0.005
ORIGIN14,FAR,ltd,mrr,-0.014431758132700034,-0.014408516953254565,-0.018059939590048493,-0.010150084106993671,0.0
ORIGIN14,FAR,fusion,accuracy,-0.0021287379624936875,-0.002125163879697334,-0.004630783544566075,0.0005069965524234776,0.0505
ORIGIN14,FAR,fusion,macro_f1,-0.0024128691316591677,-0.0023737978297425515,-0.005454448266297485,0.0005516049104651685,0.0625
ORIGIN14,FAR,fusion,top5_accuracy,-0.003446528129751658,-0.00344190871442976,-0.006130612709892946,-0.0007063483097753565,0.005
ORIGIN14,FAR,fusion,mrr,-0.002545882510846975,-0.0025416359104209595,-0.003782645478708885,-0.0012736889911489913,0.0
ORIGIN28,NEAR,ltd,accuracy,-0.05474085978304544,-0.05494381743941241,-0.0632022471910112,-0.04634366536262413,0.0
ORIGIN28,NEAR,ltd,macro_f1,-0.05744554325839846,-0.057639897291198214,-0.06592374553000879,-0.04827500885764834,0.0
ORIGIN28,NEAR,ltd,top5_accuracy,-0.012454801124949788,-0.012471204011484214,-0.015544564449379239,-0.009737587697563176,0.0
ORIGIN28,NEAR,ltd,mrr,-0.03651510227660726,-0.036616177352956865,-0.04151116729167714,-0.03170846259283955,0.0
ORIGIN28,NEAR,fusion,accuracy,-0.007734029730815606,-0.007815523421530737,-0.012385489227443208,-0.0033296337402884957,0.0
ORIGIN28,NEAR,fusion,macro_f1,-0.008344865373492216,-0.008419097509393651,-0.013780560569139927,-0.0032580149760496058,0.0
ORIGIN28,NEAR,fusion,top5_accuracy,-0.0035154680594615684,-0.003507370531352117,-0.006019761475271485,-0.000704427331998439,0.0055
ORIGIN28,NEAR,fusion,mrr,-0.0060080376825892845,-0.006051821281981479,-0.009426773900238383,-0.003021251955426568,0.0
ORIGIN28,MID,ltd,accuracy,-0.03936233024995084,-0.039255227836559,-0.04665528850544806,-0.03235620578674846,0.0
ORIGIN28,MID,ltd,macro_f1,-0.043512796320349434,-0.04333658755777652,-0.05002702102732706,-0.03674817881713883,0.0
ORIGIN28,MID,ltd,top5_accuracy,-0.023518992324345622,-0.023493537903109048,-0.027377240841777062,-0.019389763779527502,0.0
ORIGIN28,MID,ltd,mrr,-0.030611998754718095,-0.030556454391050977,-0.03555906334899961,-0.02583065162076903,0.0
ORIGIN28,MID,fusion,accuracy,-0.009446959259988175,-0.009410516836607884,-0.012192783653500188,-0.00582075053187133,0.0
ORIGIN28,MID,fusion,macro_f1,-0.010549226194448758,-0.010540783493716564,-0.013106421656057101,-0.007402816004238422,0.0
ORIGIN28,MID,fusion,top5_accuracy,-0.009446959259988175,-0.00941670033844138,-0.010870629713054636,-0.008585808743708623,0.0
ORIGIN28,MID,fusion,mrr,-0.007700240191039542,-0.007676863911878968,-0.009447823775874453,-0.005485651925049348,0.0
ORIGIN28,FAR,ltd,accuracy,-0.04388194981761906,-0.04401918154083652,-0.055092118149804734,-0.0335693359375,0.0
ORIGIN28,FAR,ltd,macro_f1,-0.046003568135309925,-0.04594240510410017,-0.0573317726706047,-0.036012171631848555,0.0
ORIGIN28,FAR,ltd,top5_accuracy,-0.01812755609594341,-0.01804563058103932,-0.02112452725715125,-0.013584939211971377,0.0
ORIGIN28,FAR,ltd,mrr,-0.0315848290780284,-0.03165127657704864,-0.038005094192016114,-0.02599449589074609,0.0
ORIGIN28,FAR,fusion,accuracy,-0.006853100475295637,-0.006897481807328683,-0.008494638629717222,-0.0055276238257970095,0.0
ORIGIN28,FAR,fusion,macro_f1,-0.006882166483739072,-0.006917589146804963,-0.009224995521873058,-0.0051613354525175,0.0
ORIGIN28,FAR,fusion,top5_accuracy,-0.0056372278103239415,-0.0056054934381495,-0.008053515492821581,-0.00342806590733169,0.0
ORIGIN28,FAR,fusion,mrr,-0.004875789937098918,-0.004906888978353233,-0.005932335613447784,-0.00413580334312155,0.0
