origin,representation,seed,train_loss,n_train_queries,n_train_context_dates,skipped_train_dates,fit_seconds
ORIGIN14,RAW128_RECENT5,11,0.7648822616221146,9976,7,7,2.6530376829905435
ORIGIN14,RAW128_RECENT5,42,0.7951523242958948,9976,7,7,2.3006382669555023
ORIGIN14,RAW128_RECENT5,73,0.7850264674104875,9976,7,7,2.241341718006879
ORIGIN14,TCL128_RECENT5,11,0.865509252478432,9976,7,7,2.3862683010520414
ORIGIN14,TCL128_RECENT5,42,0.8621301938807285,9976,7,7,2.600996260996908
ORIGIN14,TCL128_RECENT5,73,0.852049231128924,9976,7,7,2.591362513951026
ORIGIN28,RAW128_RECENT5,11,0.6683772275383051,30136,21,7,8.372110179974698
ORIGIN28,RAW128_RECENT5,42,0.6485885247580246,30136,21,7,7.835134775028564
ORIGIN28,RAW128_RECENT5,73,0.6609430584650094,30136,21,7,7.273293880978599
ORIGIN28,TCL128_RECENT5,11,0.7833821250880812,30136,21,7,7.881218831054866
ORIGIN28,TCL128_RECENT5,42,0.7768328842166282,30136,21,7,7.809193202061579
ORIGIN28,TCL128_RECENT5,73,0.7822480791418724,30136,21,7,8.056931873084977
