origin,representation,window,n_train,n_test,xgb_accuracy,xgb_macro_f1,xgb_top5_accuracy,xgb_mrr,xgb_mean_true_rank,ltd_accuracy,ltd_macro_f1,ltd_top5_accuracy,ltd_mrr,ltd_mean_true_rank,fusion_accuracy,fusion_macro_f1,fusion_top5_accuracy,fusion_mrr,fusion_mean_true_rank
ORIGIN14,RAW128_RECENT5,NEAR,19098,10100,0.7714851485148515,0.7675907309033916,0.9537623762376237,0.8505250028094696,2.0917821782178216,0.6730693069306931,0.6564588921105544,0.9215841584158416,0.7813516628318452,2.882178217821782,0.7825742574257426,0.7741924447444715,0.9474257425742574,0.8559660653127333,2.1963366336633663
ORIGIN14,RAW128_RECENT5,MID,19098,9956,0.6560867818400964,0.6285473606369535,0.8725391723583769,0.7529931217724374,4.12525110486139,0.569003615910004,0.5399899025322398,0.8552631578947368,0.694918097142373,4.959823222177581,0.6693451185214946,0.6381431814136124,0.868521494576135,0.760807026618622,4.310666934511852
ORIGIN14,RAW128_RECENT5,FAR,19098,9865,0.6380131779016726,0.6111601112819601,0.8614292954891029,0.7371509035644207,4.504308160162189,0.5391789153573239,0.5110879997922403,0.8253421186011151,0.667220105272882,5.2616320324379116,0.6438925494171313,0.6117164271485175,0.8503801317790167,0.7394638517804328,4.52022301064369
ORIGIN14,TCL128_RECENT5,NEAR,19098,10100,0.7714851485148515,0.7675907309033916,0.9537623762376237,0.8505250028094696,2.0917821782178216,0.65,0.6343900483411652,0.9202970297029703,0.7675933292313625,2.8275247524752474,0.7778217821782178,0.7695832209948212,0.95009900990099,0.8534296344130006,2.131089108910891
ORIGIN14,TCL128_RECENT5,MID,19098,9956,0.6560867818400964,0.6285473606369535,0.8725391723583769,0.7529931217724374,4.12525110486139,0.5458015267175572,0.5161034612098971,0.8379871434310968,0.6759632777775301,5.007533145841704,0.6640216954600241,0.6322582175807467,0.862193652069104,0.7556830200524969,4.245781438328646
ORIGIN14,TCL128_RECENT5,FAR,19098,9865,0.6380131779016726,0.6111601112819601,0.8614292954891029,0.7371509035644207,4.504308160162189,0.5193106943740496,0.49042677240646515,0.8170299036999493,0.652788347140182,5.328940699442473,0.6417638114546376,0.6093035580168583,0.8469336036492651,0.7369179692695859,4.529954384186518
ORIGIN28,RAW128_RECENT5,NEAR,39258,9956,0.778023302531137,0.7642483227884096,0.9592205705102451,0.8562136490177207,1.6793893129770991,0.7266974688629972,0.7104353806569518,0.9607271996785858,0.8264177988169216,1.7774206508638006,0.808155885897951,0.7936029943984352,0.9748895138609883,0.8789755447518937,1.4900562474889514
ORIGIN28,RAW128_RECENT5,MID,39258,10162,0.7540838417634323,0.7373528027746289,0.9419405628813226,0.8343701461737701,1.866364888801417,0.6937610706553828,0.6748047699599979,0.951190710490061,0.8017596455618999,1.8582956111001772,0.7821295020665223,0.7645315673840202,0.9629010037394213,0.8574828738503786,1.629600472347963
ORIGIN28,RAW128_RECENT5,FAR,39258,9047,0.7608046866364541,0.7468352077078027,0.9450646623190008,0.8404231186909646,1.8560848900187907,0.669614236763568,0.6479322523756667,0.9316900630043108,0.7812902591232259,2.0399027301868022,0.7759478280092849,0.7601339985263615,0.9565601856969161,0.8522449213538774,1.6786780148115397
ORIGIN28,TCL128_RECENT5,NEAR,39258,9956,0.778023302531137,0.7642483227884096,0.9592205705102451,0.8562136490177207,1.6793893129770991,0.6719566090799518,0.6529898373985533,0.948272398553636,0.7899026965403143,1.9366211329851346,0.8004218561671353,0.785258129024943,0.9713740458015268,0.8729675070693044,1.5219967858577743
ORIGIN28,TCL128_RECENT5,MID,39258,10162,0.7540838417634323,0.7373528027746289,0.9419405628813226,0.8343701461737701,1.866364888801417,0.654398740405432,0.6312919736396485,0.9276717181657154,0.7711476468071818,2.122515252902972,0.7726825428065341,0.7539823411895714,0.9534540444794332,0.849782633659339,1.7012399134028735
ORIGIN28,TCL128_RECENT5,FAR,39258,9047,0.7608046866364541,0.7468352077078027,0.9450646623190008,0.8404231186909646,1.8560848900187907,0.625732286945949,0.6019286842403567,0.9135625069083674,0.7497054300451975,2.271471205924616,0.7690947275339892,0.7532518320426225,0.9509229578865922,0.8473691314167785,1.7562727976124681
