origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,branch,accuracy,-0.0012871287128712883,-0.0012942757089298587,-0.004837595024187902,0.00248508946322068,0.2505
ORIGIN14,NEAR,branch,macro_f1,-0.0004487326477746745,-0.00041003931760733963,-0.00404984025079837,0.0034488835914222556,0.413
ORIGIN14,NEAR,branch,top5_accuracy,-0.0023762376237623783,-0.0023544461435837556,-0.004150197628458585,-0.0005960644843862051,0.0045
ORIGIN14,NEAR,branch,mrr,-0.000901103504800771,-0.0009037177065531432,-0.0029128455820778276,0.0013565056569654343,0.2165
ORIGIN14,NEAR,fusion,accuracy,-0.0012871287128712883,-0.0012766353698656092,-0.0026753864447086606,0.0001990277511744548,0.0415
ORIGIN14,NEAR,fusion,macro_f1,-0.0011165300281411605,-0.0010961422856850913,-0.002573295526216421,0.00040024227490452057,0.082
ORIGIN14,NEAR,fusion,top5_accuracy,0.0011881188118811892,0.0012035083721653908,-0.0004929994084007516,0.0027756231228083374,0.906
ORIGIN14,NEAR,fusion,mrr,-0.0002287181765535662,-0.0002208204882079614,-0.0010665412124913121,0.0007349963797964569,0.3185
ORIGIN14,MID,branch,accuracy,0.0008035355564484092,0.0008238649062812198,-0.0018203975564148934,0.003608687924115178,0.692
ORIGIN14,MID,branch,macro_f1,0.0012526238380593524,0.0012435456974564077,-0.00039287753427910964,0.003216569544842162,0.928
ORIGIN14,MID,branch,top5_accuracy,0.0018079550020088098,0.001838747212505519,-2.484348603798284e-06,0.0038294870502871836,0.9685
ORIGIN14,MID,branch,mrr,0.000751866028828263,0.0007657615225290835,-0.0008701410627634382,0.0021531530061854763,0.8405
ORIGIN14,MID,fusion,accuracy,-0.003214142225793526,-0.0031724357679406667,-0.005651427994752267,-0.0009009910901992546,0.0015
ORIGIN14,MID,fusion,macro_f1,-0.0030000907468420435,-0.002930507323384909,-0.00523243643185074,-0.0010819320822684669,0.0005
ORIGIN14,MID,fusion,top5_accuracy,-0.0022097227802330144,-0.0022132666652337775,-0.004411488285580586,0.0002018570851836099,0.0355
ORIGIN14,MID,fusion,mrr,-0.0020992428350014025,-0.002066942167542109,-0.003920682922299637,-0.0005245167167855502,0.003
ORIGIN14,FAR,branch,accuracy,-0.0033451596553472074,-0.003351690611176579,-0.0051582886618791735,-0.0017292106955317773,0.0
ORIGIN14,FAR,branch,macro_f1,-0.0034388281647526053,-0.0035299087137292064,-0.005676774632941093,-0.001274679659536879,0.0
ORIGIN14,FAR,branch,top5_accuracy,-0.001520527116066872,-0.0015241804319776277,-0.0024252223120452276,-0.00050037212402007,0.004
ORIGIN14,FAR,branch,mrr,-0.002065926667272344,-0.0020664663814137924,-0.0034255779712113353,-0.0008482589659167818,0.0
ORIGIN14,FAR,fusion,accuracy,-0.00010136847440445074,-9.62314706441511e-05,-0.001016270494648791,0.001006846556584784,0.3725
ORIGIN14,FAR,fusion,macro_f1,-0.0005223210630808106,-0.0005099331586010485,-0.0015833664038042844,0.0005865276891183923,0.189
ORIGIN14,FAR,fusion,top5_accuracy,0.0006082108464268154,0.0005819172412635449,-0.001521637712368465,0.002614116227629193,0.7
ORIGIN14,FAR,fusion,mrr,9.772378632599832e-05,9.453868673495908e-05,-0.00036965682106300524,0.0005248554341013094,0.658
ORIGIN28,NEAR,branch,accuracy,-0.004519887505022191,-0.00449644337688636,-0.006271622282707176,-0.0023215907943878733,0.0
ORIGIN28,NEAR,branch,macro_f1,-0.005006230452835547,-0.004984652890915291,-0.006775645198174881,-0.0028472126567781197,0.0
ORIGIN28,NEAR,branch,top5_accuracy,-0.0015066291683406563,-0.0014976931459737242,-0.0034356904237392654,0.00040267276272617494,0.0535
ORIGIN28,NEAR,branch,mrr,-0.0029605024413995595,-0.0029423552806129316,-0.0041895618241568535,-0.0014916313186833156,0.0005
ORIGIN28,NEAR,fusion,accuracy,-0.004017677782241824,-0.004009435401049164,-0.006133257711800677,-0.001909058709396833,0.0
ORIGIN28,NEAR,fusion,macro_f1,-0.0040371318291620995,-0.004017398536359385,-0.006941128100478089,-0.0009423467073114145,0.006
ORIGIN28,NEAR,fusion,top5_accuracy,-0.002611490558457219,-0.002619822864856082,-0.004211370700892392,-0.0010086720582689085,0.0
ORIGIN28,NEAR,fusion,mrr,-0.002929203022204341,-0.0029226947347583,-0.004166842246009939,-0.001492146682723749,0.0005
ORIGIN28,MID,branch,accuracy,-0.007675654398740406,-0.00774629927327157,-0.010919556688877738,-0.004820936639118423,0.0
ORIGIN28,MID,branch,macro_f1,-0.008560076303956499,-0.008565055469905668,-0.011141572555963042,-0.006099811774635472,0.0
ORIGIN28,MID,branch,top5_accuracy,-0.0006888407793741447,-0.0006888841295122125,-0.0014762326542663295,0.00019665731729638923,0.0385
ORIGIN28,MID,branch,mrr,-0.00452933088182339,-0.004567686841582712,-0.006449865926708057,-0.003012694983891673,0.0
ORIGIN28,MID,fusion,accuracy,-0.003641015548120463,-0.0035982926485590887,-0.006342995548313621,-0.0012841536233239223,0.0005
ORIGIN28,MID,fusion,macro_f1,-0.0041615334625905165,-0.0041584656485812175,-0.0065491532014981335,-0.002424390227390827,0.0
ORIGIN28,MID,fusion,top5_accuracy,-0.002066522338122323,-0.0020632307868888038,-0.0032496307237813715,-0.000690192369088355,0.0
ORIGIN28,MID,fusion,mrr,-0.002694550146751129,-0.00267636630999808,-0.004176495273247377,-0.0013765968429407895,0.0
ORIGIN28,FAR,branch,accuracy,-0.0036476179949154197,-0.0035494948744419805,-0.005518223935897926,-0.0008351893095768226,0.0095
ORIGIN28,FAR,branch,macro_f1,-0.003795951910287587,-0.0035799778936134595,-0.005939118828026446,-0.00043093777116034765,0.019
ORIGIN28,FAR,branch,top5_accuracy,-0.0014369404222394078,-0.0014134825506700508,-0.0026934378060724518,0.0,0.018
ORIGIN28,FAR,branch,mrr,-0.001669089792915912,-0.0016214924576984954,-0.0027612204646780825,-6.779863972116924e-05,0.0235
ORIGIN28,FAR,fusion,accuracy,0.0003316016359014018,0.000325826128106812,-0.0007390683863641056,0.0013108409075755635,0.7105
ORIGIN28,FAR,fusion,macro_f1,0.0004647400497735932,0.00041359194853179086,-0.000943550964384654,0.001550472661136448,0.7535
ORIGIN28,FAR,fusion,top5_accuracy,-0.000552669393169003,-0.0005614203712606545,-0.00209790209790206,0.001002900052955813,0.239
ORIGIN28,FAR,fusion,mrr,0.00033935351810399084,0.00033444413884317696,-0.00044074690490350786,0.0010575084046006184,0.809
