candidate,method,beta_proto_within_longitudinal,window,n_test,prototype_accuracy,prototype_macro_f1,prototype_top5_accuracy,prototype_mrr,prototype_mean_true_rank,branch_accuracy,branch_macro_f1,branch_top5_accuracy,branch_mrr,branch_mean_true_rank,fusion_accuracy,fusion_macro_f1,fusion_top5_accuracy,fusion_mrr,fusion_mean_true_rank
LONGTERM_BETA0.25,LONGTERM,0.25,NEAR,10100,0.19712871287128714,0.17892918617291084,0.48227722772277226,0.34013913683828373,10.924455445544554,0.6717821782178218,0.6560101594627797,0.9192079207920792,0.7804505593270444,2.8798019801980197,0.7812871287128713,0.7730759147163303,0.9486138613861386,0.8557373471361798,2.1507920792079207
LONGTERM_BETA0.25,LONGTERM,0.25,MID,9956,0.176777822418642,0.1609521050624995,0.46454399357171555,0.31939914215309273,11.955604660506227,0.5698071514664524,0.5412425263702991,0.8570711128967456,0.6956699631712012,4.942145439935717,0.6661309762957011,0.6351430906667703,0.866311771795902,0.7587077837836206,4.28937324226597
LONGTERM_BETA0.25,LONGTERM,0.25,FAR,9865,0.16817029903699948,0.15198950692045937,0.4494678155093766,0.3083594857575503,12.238418651799291,0.5358337557019767,0.5076491716274877,0.8238215914850482,0.6651541786056097,5.263760770400405,0.6437911809427268,0.6111941060854367,0.8509883426254435,0.7395615755667588,4.507349214394323
LONGTERM_BETA0.50,LONGTERM,0.5,NEAR,10100,0.19712871287128714,0.17892918617291084,0.48227722772277226,0.34013913683828373,10.924455445544554,0.6573267326732674,0.6422585110638945,0.9156435643564357,0.7707653173218953,2.9213861386138613,0.7786138613861386,0.7707161811000497,0.9504950495049505,0.8542487833041627,2.119009900990099
LONGTERM_BETA0.50,LONGTERM,0.5,MID,9956,0.176777822418642,0.1609521050624995,0.46454399357171555,0.31939914215309273,11.955604660506227,0.5610687022900763,0.5345968890999158,0.8542587384491763,0.6886091230236048,4.985335476094817,0.6622137404580153,0.6317502546177253,0.8634993973483327,0.7561572151132087,4.262253917235838
LONGTERM_BETA0.50,LONGTERM,0.5,FAR,9865,0.16817029903699948,0.15198950692045937,0.4494678155093766,0.3083594857575503,12.238418651799291,0.5228585909782058,0.4956166274704249,0.8192600101368475,0.6558722606828192,5.326001013684744,0.6414597060314242,0.6087695308505127,0.8519006588950836,0.7383752032838296,4.490116573745565
LONGTERM_BETA0.75,LONGTERM,0.75,NEAR,10100,0.19712871287128714,0.17892918617291084,0.48227722772277226,0.34013913683828373,10.924455445544554,0.5839603960396039,0.5727892238140084,0.8877227722772277,0.718046014757022,3.308118811881188,0.7733663366336634,0.7662621814887175,0.95,0.8508570503945081,2.0925742574257424
LONGTERM_BETA0.75,LONGTERM,0.75,MID,9956,0.176777822418642,0.1609521050624995,0.46454399357171555,0.31939914215309273,11.955604660506227,0.5082362394535959,0.4854863611514563,0.8291482523101648,0.649781711802381,5.328043390920048,0.659401366010446,0.6292914485912884,0.8647047006830052,0.7544170884077328,4.23654077942949
LONGTERM_BETA0.75,LONGTERM,0.75,FAR,9865,0.16817029903699948,0.15198950692045937,0.4494678155093766,0.3083594857575503,12.238418651799291,0.47916877850988343,0.4553217101782193,0.7958438925494171,0.6204257745923866,5.662645717181956,0.6388241256969083,0.6069156103754925,0.8546376077040041,0.7369403070603008,4.499341104916371
DUALANCHOR_BETA0.25,DUALANCHOR,0.25,NEAR,10100,0.20633663366336633,0.18737168051799566,0.49356435643564356,0.3484017433893284,10.717524752475247,0.6697029702970297,0.6542709474720066,0.9198019801980198,0.7794883129740836,2.880891089108911,0.7811881188118812,0.7730647542916704,0.949009900990099,0.8557574983747935,2.150693069306931
DUALANCHOR_BETA0.25,DUALANCHOR,0.25,MID,9956,0.1830052229811169,0.16986975686240188,0.4773001205303335,0.3262791390478523,11.859381277621535,0.5691040578545601,0.5412075076380075,0.8575733226195259,0.6951556128686398,4.936420249096022,0.6657292085174769,0.6350493345174673,0.8664122137404581,0.7586590436334337,4.28173965447971
DUALANCHOR_BETA0.25,DUALANCHOR,0.25,FAR,9865,0.1742524075012671,0.158412599405926,0.45970603142422706,0.3147620191129361,12.161277242777496,0.5341104916371009,0.507104402374909,0.8236188545362392,0.664348369531094,5.256158134820071,0.6436898124683224,0.611125924299259,0.8511910795742524,0.7395080289801301,4.497617840851495
DUALANCHOR_BETA0.50,DUALANCHOR,0.5,NEAR,10100,0.20633663366336633,0.18737168051799566,0.49356435643564356,0.3484017433893284,10.717524752475247,0.6528712871287129,0.639011865937395,0.9168316831683169,0.768676914826693,2.921881188118812,0.7788118811881188,0.7712154587450564,0.9503960396039604,0.8544170337419892,2.1214851485148514
