origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,branch,accuracy,-0.0007920792079207928,-0.0008699742701810389,-0.004594027763906938,0.0021649281637472484,0.319
ORIGIN14,NEAR,branch,macro_f1,0.0017052253383239568,0.001610707492830066,-0.002143468425197648,0.00460216888793041,0.8075
ORIGIN14,NEAR,branch,top5_accuracy,-0.0001980198019801982,-0.0001977680661781966,-0.0008877753640098435,0.000495343768575407,0.2495
ORIGIN14,NEAR,branch,mrr,-0.00041367723786489563,-0.00045257345267183893,-0.0024107309462882117,0.0012895968061703623,0.3285
ORIGIN14,NEAR,fusion,accuracy,0.0,2.8949232766132817e-06,-0.0009950422140021537,0.001095292978689974,0.4545
ORIGIN14,NEAR,fusion,macro_f1,0.0003504585080255085,0.00035172030008406434,-0.0005733858314158624,0.0013763239141443171,0.7425
ORIGIN14,NEAR,fusion,top5_accuracy,0.0016831683168316847,0.001684359176202006,-0.00019755037534563424,0.0031838024244777077,0.964
ORIGIN14,NEAR,fusion,mrr,0.00045864169072074024,0.0004643358096541342,-5.254826608304119e-05,0.001062349652395536,0.955
ORIGIN14,MID,branch,accuracy,0.003816793893129722,0.0038465429436419273,0.0007044687749830081,0.007417858510681307,0.994
ORIGIN14,MID,branch,macro_f1,0.0066300639236639425,0.006714218918809659,0.004461041217895034,0.009399588972349542,1.0
ORIGIN14,MID,branch,top5_accuracy,-0.00010044194455605115,-0.00011415975392088284,-0.0017011908335834436,0.001208845743280748,0.429
ORIGIN14,MID,branch,mrr,0.001869632126248466,0.0018912584162140134,-0.00022170347078340202,0.004028669990699854,0.9625
ORIGIN14,MID,fusion,accuracy,-0.002611490558457219,-0.0025736527881060614,-0.004828075300511039,-0.0009999925022493277,0.0
ORIGIN14,MID,fusion,macro_f1,-0.0025263711150762536,-0.002487301830663335,-0.004304725142128651,-0.0009171662737193201,0.0
ORIGIN14,MID,fusion,top5_accuracy,-0.002611490558457219,-0.0026170052400056962,-0.004282463316876509,-0.0006992478755766686,0.0025
ORIGIN14,MID,fusion,mrr,-0.0018069725418383698,-0.0017794952487954192,-0.003347119152592787,-0.0007167875849915907,0.0
ORIGIN14,FAR,branch,accuracy,-0.002331474911302589,-0.0023435565015661455,-0.004290178623790613,0.00030244984373417605,0.037
ORIGIN14,FAR,branch,macro_f1,-0.0002411521033860442,-0.0002917169359562406,-0.0024476926989926984,0.0023002236386175977,0.3915
ORIGIN14,FAR,branch,top5_accuracy,-0.0009123162696401677,-0.0009056913698729445,-0.0019381033908783985,0.0002030147897590317,0.045
ORIGIN14,FAR,branch,mrr,-0.0012949986648309597,-0.001302164077639341,-0.002468789807725455,8.270794846976237e-05,0.0315
ORIGIN14,FAR,fusion,accuracy,0.00040547389761780295,0.00042065491166414735,-0.001015847216578658,0.0021150219438756807,0.67
ORIGIN14,FAR,fusion,macro_f1,1.6415474748399106e-06,3.1879198592014935e-05,-0.0013845911475991151,0.0016093149828473319,0.502
ORIGIN14,FAR,fusion,top5_accuracy,0.00040547389761780295,0.0003765989734021561,-0.0019465218727588995,0.002652443544201005,0.617
ORIGIN14,FAR,fusion,mrr,0.0002973982134472086,0.00029919809791116754,-0.00018104163787724392,0.0008941324439222852,0.8555
ORIGIN28,NEAR,branch,accuracy,-0.0021092808356770743,-0.0021199043696162683,-0.003102280324556725,-0.0010075211941458025,0.0
ORIGIN28,NEAR,branch,macro_f1,-0.002663549824176936,-0.0026726878375967,-0.003964952634786689,-0.0012795592552225156,0.0
ORIGIN28,NEAR,branch,top5_accuracy,0.0007030936118923581,0.0007100644723809396,-0.00010066489170855453,0.001412023391684311,0.9455
ORIGIN28,NEAR,branch,mrr,-0.0008624431354742335,-0.0008643268964539612,-0.0014265030499639119,-0.0002525411956289723,0.0035
ORIGIN28,NEAR,fusion,accuracy,-0.0012053033346725028,-0.0012181194189202892,-0.0028067854374222295,0.00029941241953868595,0.049
ORIGIN28,NEAR,fusion,macro_f1,-0.0008011031586542261,-0.0007884748883822809,-0.002838567936093964,0.0013012034991363686,0.22
ORIGIN28,NEAR,fusion,top5_accuracy,-0.001305745279228554,-0.0013201266384967095,-0.002600559143053574,0.0,0.0245
ORIGIN28,NEAR,fusion,mrr,-0.0012750270518506746,-0.001281891458182609,-0.002308090689745379,-0.00024659478705302273,0.0045
ORIGIN28,MID,branch,accuracy,-0.0031489864199960582,-0.003171884954819933,-0.004897339778338022,-0.0013776409351521,0.0005
ORIGIN28,MID,branch,macro_f1,-0.0035536276865965055,-0.003567546352767472,-0.005026341344354502,-0.0019227455939019164,0.0
