origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,ltd,accuracy,0.0003960396039603964,0.00039907551320134214,-0.007519057502278625,0.009342971090194297,0.523
ORIGIN14,NEAR,ltd,macro_f1,0.0045990980261635395,0.004364693937316682,-0.006025689214991395,0.015345803940531533,0.7735
ORIGIN14,NEAR,ltd,top5_accuracy,0.01534653465346536,0.015374990457272322,0.0065381554769939785,0.024141683981399042,1.0
ORIGIN14,NEAR,ltd,mrr,0.005593912082669239,0.005596860757889007,-0.001303703786269872,0.013302875834993209,0.917
ORIGIN14,NEAR,fusion,accuracy,0.009603960396039612,0.00954530596109511,0.003273809523809512,0.015322602864650724,0.9985
ORIGIN14,NEAR,fusion,macro_f1,0.011242462745778226,0.011223682761319104,0.004027642101884041,0.018283644273212107,0.9995
ORIGIN14,NEAR,fusion,top5_accuracy,0.01198019801980199,0.011980522345065017,0.005663189269746627,0.017835909631391256,1.0
ORIGIN14,NEAR,fusion,mrr,0.010624854778356285,0.010596286243814607,0.00435900072715813,0.017046189419039882,1.0
ORIGIN14,MID,ltd,accuracy,0.03344716753716348,0.033438101145172705,0.015562050410300305,0.05082452907828049,1.0
ORIGIN14,MID,ltd,macro_f1,0.039817366568231094,0.0390050542405631,0.017232777219161634,0.0604116453560225,1.0
ORIGIN14,MID,ltd,top5_accuracy,0.04851345922057049,0.04858662947512941,0.021133410986062463,0.07630602627093153,1.0
ORIGIN14,MID,ltd,mrr,0.03734647354646736,0.03735382928206387,0.01664511015968314,0.058422183281133466,1.0
ORIGIN14,MID,fusion,accuracy,0.022800321414222613,0.02285786334239922,0.012787212787212843,0.03256096268260979,1.0
ORIGIN14,MID,fusion,macro_f1,0.01992111196710189,0.020042819633594562,0.011992714304472542,0.028338088535321604,1.0
ORIGIN14,MID,fusion,top5_accuracy,0.040277219766974626,0.040310417104448465,0.015958738864667667,0.06458123107971747,1.0
ORIGIN14,MID,fusion,mrr,0.025191969899602706,0.025228344544339695,0.012487154896675068,0.036939835192899784,1.0
ORIGIN14,FAR,ltd,accuracy,0.042473390775468856,0.04242562675883257,0.02375102375102378,0.06078074433656966,1.0
ORIGIN14,FAR,ltd,macro_f1,0.04690512739654751,0.04606570336704391,0.025927273712712796,0.06319075902509928,1.0
ORIGIN14,FAR,ltd,top5_accuracy,0.06183476938672072,0.06174613908686429,0.03171947916283573,0.08988572127874356,1.0
ORIGIN14,FAR,ltd,mrr,0.046613973353833105,0.04657833607688135,0.025183857156427458,0.0657115830816174,1.0
ORIGIN14,FAR,fusion,accuracy,0.02574759249873293,0.02575533252397767,0.013919946025025604,0.03741050720984174,1.0
ORIGIN14,FAR,fusion,macro_f1,0.02157531091033893,0.021835214551451772,0.011811682474976734,0.030920674288857176,1.0
ORIGIN14,FAR,fusion,top5_accuracy,0.044906234161175895,0.04488317068084095,0.022676428716697172,0.06375075650595116,1.0
ORIGIN14,FAR,fusion,mrr,0.028254547954227216,0.028250126484445442,0.01564198278618803,0.039468137468467265,1.0
ORIGIN28,NEAR,ltd,accuracy,0.00030132583366804244,0.00029250959745429203,-0.002404327790022087,0.0034143402289616986,0.546
ORIGIN28,NEAR,ltd,macro_f1,0.002837741247264436,0.0025512467481043004,-0.0013383694890467535,0.006195379222481517,0.91
ORIGIN28,NEAR,ltd,top5_accuracy,0.0023101647247890655,0.002251008760052161,-0.0013009432155949823,0.005627363920607571,0.8795
ORIGIN28,NEAR,ltd,mrr,0.002224672060931576,0.002202505446195446,-4.2436386571696454e-07,0.004268018744704711,0.974
ORIGIN28,NEAR,fusion,accuracy,0.00542386500602654,0.005340263000008659,0.0009086320040383455,0.010231992705906245,0.991
ORIGIN28,NEAR,fusion,macro_f1,0.007086046352658193,0.006902630559734336,0.002035344300947317,0.01344583542894637,0.9995
ORIGIN28,NEAR,fusion,top5_accuracy,0.002008838891120912,0.002000782913250781,-0.0007000000000000339,0.004932940879460069,0.9125
ORIGIN28,NEAR,fusion,mrr,0.004119080388408802,0.004064573751385392,0.001837164880359235,0.0071596967157100426,1.0
ORIGIN28,MID,ltd,accuracy,0.019582759299350494,0.019585170629312327,0.005522682445759375,0.03387319770886821,1.0
ORIGIN28,MID,ltd,macro_f1,0.02887764148359251,0.02862400476428042,0.010117761340650103,0.045979109633098855,1.0
ORIGIN28,MID,ltd,top5_accuracy,0.012103916551859939,0.012111103467241136,0.006683046683046645,0.01692588530374856,1.0
ORIGIN28,MID,ltd,mrr,0.018571518832817713,0.018573595282632926,0.008029854701750105,0.028506675929389276,1.0
ORIGIN28,MID,fusion,accuracy,0.011021452469986204,0.011067555670753343,0.004099158525818572,0.018282128399601312,1.0
ORIGIN28,MID,fusion,macro_f1,0.012810132026943477,0.012870058292441637,0.004509174764068852,0.02181230913653728,1.0
ORIGIN28,MID,fusion,top5_accuracy,0.00836449517811455,0.008379950792558339,0.005137109296370237,0.011065261091949568,1.0
ORIGIN28,MID,fusion,mrr,0.010396947955926827,0.01040908549074191,0.0049541063346074665,0.015521054644352196,1.0
ORIGIN28,FAR,ltd,accuracy,0.01812755609594341,0.0181984536134481,0.006749949627241625,0.029722469328018118,0.999
ORIGIN28,FAR,ltd,macro_f1,0.026336594943450864,0.026279402144444488,0.01084223861546589,0.040580934452944195,1.0
ORIGIN28,FAR,ltd,top5_accuracy,0.021333038576323626,0.02129404542784745,0.013053097345132825,0.027734976887519247,1.0
ORIGIN28,FAR,ltd,mrr,0.019107941668215278,0.019140128434161255,0.009288907414981392,0.028047000318509378,1.0
ORIGIN28,FAR,fusion,accuracy,0.010721786227478658,0.010695011362945551,0.0060831781502173055,0.014486391571553958,1.0
ORIGIN28,FAR,fusion,macro_f1,0.011272295975362834,0.011295100921339365,0.006302000090597007,0.016276445177769102,1.0
ORIGIN28,FAR,fusion,top5_accuracy,0.00917431192660545,0.009161286924479784,0.005202568076156822,0.012783781412493192,1.0
ORIGIN28,FAR,fusion,mrr,0.010639046148274267,0.010626868775170488,0.006063763382256901,0.01443225072734402,1.0
