origin,window,date,day_in_window,variant,n,ltd_accuracy,ltd_macro_f1,fusion_accuracy,fusion_macro_f1
ORIGIN14,NEAR,2025-12-02,1,FROZEN_RECENT5,1454,0.686382393397524,0.6709913276387713,0.8177441540577717,0.8134188301241081
ORIGIN14,NEAR,2025-12-02,1,ORACLE_REFRESH_RECENT5,1454,0.686382393397524,0.6709913276387713,0.8177441540577717,0.8134188301241081
ORIGIN14,NEAR,2025-12-03,2,FROZEN_RECENT5,1410,0.7035460992907802,0.687467612012391,0.8205673758865248,0.815291119221119
ORIGIN14,NEAR,2025-12-03,2,ORACLE_REFRESH_RECENT5,1410,0.7028368794326241,0.6861066600418563,0.8170212765957446,0.812644180851661
ORIGIN14,NEAR,2025-12-04,3,FROZEN_RECENT5,1459,0.7039067854694997,0.678086371197414,0.7998629198080878,0.7852406156492536
ORIGIN14,NEAR,2025-12-04,3,ORACLE_REFRESH_RECENT5,1459,0.6929403701165182,0.6684149229746842,0.8101439342015079,0.7974864386757617
ORIGIN14,NEAR,2025-12-05,4,FROZEN_RECENT5,1436,0.6706128133704735,0.6485725628384293,0.7701949860724234,0.7554242754761031
ORIGIN14,NEAR,2025-12-05,4,ORACLE_REFRESH_RECENT5,1436,0.6580779944289693,0.6357060827991579,0.7813370473537604,0.7678576383169252
ORIGIN14,NEAR,2025-12-06,5,FROZEN_RECENT5,1434,0.6576011157601116,0.6334711109053032,0.7838214783821479,0.7642734035609886
ORIGIN14,NEAR,2025-12-06,5,ORACLE_REFRESH_RECENT5,1434,0.6513249651324965,0.6255725582772094,0.7928870292887029,0.7736321303218179
ORIGIN14,NEAR,2025-12-07,6,FROZEN_RECENT5,1460,0.6383561643835617,0.614621743060292,0.7335616438356164,0.7137724615054345
ORIGIN14,NEAR,2025-12-07,6,ORACLE_REFRESH_RECENT5,1460,0.660958904109589,0.6379274266261965,0.7554794520547945,0.7394428945777247
ORIGIN14,NEAR,2025-12-08,7,FROZEN_RECENT5,1447,0.6516931582584657,0.6222502752656293,0.7532826537664132,0.7287396946387029
ORIGIN14,NEAR,2025-12-08,7,ORACLE_REFRESH_RECENT5,1447,0.6620594333102972,0.6466967594195943,0.7712508638562543,0.7505033984422326
ORIGIN14,MID,2025-12-16,1,FROZEN_RECENT5,1433,0.5687369155617585,0.5376055875570679,0.672016748080949,0.640477122737649
ORIGIN14,MID,2025-12-16,1,ORACLE_REFRESH_RECENT5,1433,0.5687369155617585,0.5376055875570679,0.672016748080949,0.640477122737649
ORIGIN14,MID,2025-12-17,2,FROZEN_RECENT5,1429,0.6074177746675997,0.5772044607871927,0.6913925822253324,0.6600017735084872
ORIGIN14,MID,2025-12-17,2,ORACLE_REFRESH_RECENT5,1429,0.6144156752974108,0.5834408805537629,0.70888733379986,0.6798809204256309
ORIGIN14,MID,2025-12-18,3,FROZEN_RECENT5,1406,0.5874822190611664,0.5505008607633801,0.6813655761024182,0.6509142952723517
ORIGIN14,MID,2025-12-18,3,ORACLE_REFRESH_RECENT5,1406,0.6088193456614509,0.5701765544492099,0.6934566145092461,0.6636458375169546
ORIGIN14,MID,2025-12-19,4,FROZEN_RECENT5,1426,0.5518934081346424,0.519619934340248,0.6605890603085554,0.625825000190728
ORIGIN14,MID,2025-12-19,4,ORACLE_REFRESH_RECENT5,1426,0.5974754558204769,0.555353086044507,0.6963534361851332,0.6559615287888837
ORIGIN14,MID,2025-12-20,5,FROZEN_RECENT5,1451,0.5603032391454169,0.5237532190621038,0.6560992419021364,0.6142627566189722
ORIGIN14,MID,2025-12-20,5,ORACLE_REFRESH_RECENT5,1451,0.5975189524465886,0.5578025003398193,0.6809097174362508,0.6333751893612177
ORIGIN14,MID,2025-12-21,6,FROZEN_RECENT5,1408,0.5497159090909091,0.5189428051389808,0.6619318181818182,0.6267358382306984
ORIGIN14,MID,2025-12-21,6,ORACLE_REFRESH_RECENT5,1408,0.625,0.6056974629177952,0.7066761363636364,0.6683750304687813
ORIGIN14,MID,2025-12-22,7,FROZEN_RECENT5,1403,0.5573770491803278,0.5220689857648868,0.662152530292231,0.6275072887266686
ORIGIN14,MID,2025-12-22,7,ORACLE_REFRESH_RECENT5,1403,0.6058446186742694,0.5820053542540528,0.6870990734141126,0.6460810217724098
ORIGIN14,FAR,2025-12-30,1,FROZEN_RECENT5,1384,0.5332369942196532,0.5070812128435983,0.6322254335260116,0.6030875916477579
ORIGIN14,FAR,2025-12-30,1,ORACLE_REFRESH_RECENT5,1384,0.5332369942196532,0.5070812128435983,0.6322254335260116,0.6030875916477579
ORIGIN14,FAR,2025-12-31,2,FROZEN_RECENT5,1412,0.5,0.46776693217192283,0.6104815864022662,0.5694120534615635
ORIGIN14,FAR,2025-12-31,2,ORACLE_REFRESH_RECENT5,1412,0.5247875354107648,0.48466938517364,0.6239376770538244,0.5840381605072653
ORIGIN14,FAR,2026-01-01,3,FROZEN_RECENT5,1384,0.5375722543352601,0.4992159615179094,0.6582369942196532,0.6167976566143466
ORIGIN14,FAR,2026-01-01,3,ORACLE_REFRESH_RECENT5,1384,0.5715317919075145,0.5286945124121832,0.6755780346820809,0.6314487330116637
ORIGIN14,FAR,2026-01-02,4,FROZEN_RECENT5,1410,0.5546099290780142,0.5129198367405351,0.64822695035461,0.6023606053513049
ORIGIN14,FAR,2026-01-02,4,ORACLE_REFRESH_RECENT5,1410,0.6078014184397164,0.5717290266917531,0.6836879432624113,0.6381093723402081
ORIGIN14,FAR,2026-01-03,5,FROZEN_RECENT5,1403,0.5630791161796151,0.5279909831674344,0.654312188168211,0.6158100732939059
ORIGIN14,FAR,2026-01-03,5,ORACLE_REFRESH_RECENT5,1403,0.6136849607982894,0.574567946881787,0.6985032074126871,0.6513405011010466
ORIGIN14,FAR,2026-01-04,6,FROZEN_RECENT5,1424,0.5308988764044944,0.49776128406692677,0.6390449438202247,0.5988883508599263
ORIGIN14,FAR,2026-01-04,6,ORACLE_REFRESH_RECENT5,1424,0.6172752808988764,0.5810128098529457,0.6867977528089888,0.6397864054380786
ORIGIN14,FAR,2026-01-05,7,FROZEN_RECENT5,1448,0.5545580110497238,0.5262354171607267,0.664364640883978,0.6317595194294879
ORIGIN14,FAR,2026-01-05,7,ORACLE_REFRESH_RECENT5,1448,0.6015193370165746,0.5744935267161542,0.6857734806629834,0.6489998761671995
ORIGIN28,NEAR,2025-12-16,1,FROZEN_RECENT5,1433,0.7418004187020237,0.7336390198786149,0.8283321702721563,0.8213620468685543
ORIGIN28,NEAR,2025-12-16,1,ORACLE_REFRESH_RECENT5,1433,0.7418004187020237,0.7336390198786149,0.8283321702721563,0.8213620468685543
ORIGIN28,NEAR,2025-12-17,2,FROZEN_RECENT5,1429,0.7473757872638208,0.7328953498139616,0.821553533939818,0.8115023691062285
ORIGIN28,NEAR,2025-12-17,2,ORACLE_REFRESH_RECENT5,1429,0.7431770468859342,0.7278304307188067,0.8229531140657803,0.8149204000176452
ORIGIN28,NEAR,2025-12-18,3,FROZEN_RECENT5,1406,0.7147937411095305,0.6905115292474268,0.8058321479374111,0.7943274534354833
ORIGIN28,NEAR,2025-12-18,3,ORACLE_REFRESH_RECENT5,1406,0.716927453769559,0.6955027913623045,0.8236130867709816,0.8167704110055248
ORIGIN28,NEAR,2025-12-19,4,FROZEN_RECENT5,1426,0.7166900420757363,0.698435922951435,0.7931276297335204,0.7734200677264903
ORIGIN28,NEAR,2025-12-19,4,ORACLE_REFRESH_RECENT5,1426,0.7251051893408135,0.702715937397877,0.802945301542777,0.7817016400367716
ORIGIN28,NEAR,2025-12-20,5,FROZEN_RECENT5,1451,0.7346657477601654,0.7089376109288078,0.8111647139903515,0.7852306958874139
ORIGIN28,NEAR,2025-12-20,5,ORACLE_REFRESH_RECENT5,1451,0.7325982081323226,0.7050312112778423,0.8180565127498277,0.7915773915765514
ORIGIN28,NEAR,2025-12-21,6,FROZEN_RECENT5,1408,0.7223011363636364,0.698008595061114,0.7997159090909091,0.7750726776501426
ORIGIN28,NEAR,2025-12-21,6,ORACLE_REFRESH_RECENT5,1408,0.71875,0.7000755422002501,0.8053977272727273,0.7824931743576204
ORIGIN28,NEAR,2025-12-22,7,FROZEN_RECENT5,1403,0.7084818246614397,0.6879159337195383,0.796863863150392,0.7776803474711924
ORIGIN28,NEAR,2025-12-22,7,ORACLE_REFRESH_RECENT5,1403,0.7099073414112615,0.6935574360246543,0.7933000712758375,0.776156611723798
ORIGIN28,MID,2025-12-23,1,FROZEN_RECENT5,1433,0.6838799720865317,0.664947643681481,0.7787857641311933,0.7594038946465357
ORIGIN28,MID,2025-12-23,1,ORACLE_REFRESH_RECENT5,1433,0.6838799720865317,0.664947643681481,0.7787857641311933,0.7594038946465357
ORIGIN28,MID,2025-12-24,2,FROZEN_RECENT5,1467,0.6578050443081118,0.6374083063844758,0.7457396046353102,0.7257550479832137
ORIGIN28,MID,2025-12-24,2,ORACLE_REFRESH_RECENT5,1467,0.6578050443081118,0.6383842489018087,0.7477845944103613,0.7278607612784568
ORIGIN28,MID,2025-12-25,3,FROZEN_RECENT5,1474,0.7137042062415196,0.6941964345247311,0.7903663500678426,0.7719705893254655
ORIGIN28,MID,2025-12-25,3,ORACLE_REFRESH_RECENT5,1474,0.7204884667571235,0.7032057208560073,0.7917232021709634,0.7738331807230447
ORIGIN28,MID,2025-12-26,4,FROZEN_RECENT5,1434,0.7161785216178521,0.6937680780741841,0.7873082287308228,0.7707357684055791
ORIGIN28,MID,2025-12-26,4,ORACLE_REFRESH_RECENT5,1434,0.7238493723849372,0.7110028792753589,0.797768479776848,0.7797168417730517
ORIGIN28,MID,2025-12-27,5,FROZEN_RECENT5,1439,0.6977067407922168,0.6726237913501579,0.7984711605281446,0.7749718309311215
ORIGIN28,MID,2025-12-27,5,ORACLE_REFRESH_RECENT5,1439,0.7289784572619875,0.7198329240355419,0.8151494093120223,0.797596806568402
ORIGIN28,MID,2025-12-28,6,FROZEN_RECENT5,1455,0.7120274914089347,0.6900816941896987,0.8006872852233677,0.781006743377698
ORIGIN28,MID,2025-12-28,6,ORACLE_REFRESH_RECENT5,1455,0.7594501718213058,0.752885936728969,0.8213058419243986,0.8081758155976126
ORIGIN28,MID,2025-12-29,7,FROZEN_RECENT5,1460,0.6753424657534246,0.6555619758678122,0.773972602739726,0.753936593832734
ORIGIN28,MID,2025-12-29,7,ORACLE_REFRESH_RECENT5,1460,0.7191780821917808,0.7066086334401327,0.8,0.7824022329497716
ORIGIN28,FAR,2026-01-02,1,FROZEN_RECENT5,1410,0.6843971631205674,0.6543092225003253,0.7687943262411348,0.7360376938309964
ORIGIN28,FAR,2026-01-02,1,ORACLE_REFRESH_RECENT5,1410,0.6843971631205674,0.6543092225003253,0.7687943262411348,0.7360376938309964
ORIGIN28,FAR,2026-01-03,2,FROZEN_RECENT5,1403,0.692088382038489,0.6601660670277382,0.7754811119030649,0.7486152770577724
ORIGIN28,FAR,2026-01-03,2,ORACLE_REFRESH_RECENT5,1403,0.6892373485388453,0.6603577536438584,0.7847469707769066,0.7599554327996783
ORIGIN28,FAR,2026-01-04,3,FROZEN_RECENT5,1424,0.6671348314606742,0.635091152412984,0.7752808988764045,0.7501482936387674
ORIGIN28,FAR,2026-01-04,3,ORACLE_REFRESH_RECENT5,1424,0.6896067415730337,0.6638928171151817,0.7865168539325843,0.7592135261035924
ORIGIN28,FAR,2026-01-05,4,FROZEN_RECENT5,1448,0.6602209944751382,0.6347982096072291,0.7796961325966851,0.7656182241537578
ORIGIN28,FAR,2026-01-05,4,ORACLE_REFRESH_RECENT5,1448,0.6988950276243094,0.6829182448651854,0.7969613259668509,0.7854931656262971
ORIGIN28,FAR,2026-01-06,5,FROZEN_RECENT5,1430,0.6559440559440559,0.6283740196666353,0.779020979020979,0.7582513431601787
ORIGIN28,FAR,2026-01-06,5,ORACLE_REFRESH_RECENT5,1430,0.6671328671328671,0.651044111145302,0.7951048951048951,0.7794081240813922
ORIGIN28,FAR,2026-01-07,6,FROZEN_RECENT5,1440,0.6590277777777778,0.6317457389304961,0.7694444444444445,0.7516327652543501
