origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,ltd,accuracy,-0.030297029702970324,-0.03031330391980415,-0.042736133039554265,-0.015783670179438877,0.0
ORIGIN14,NEAR,ltd,macro_f1,-0.03117123375952424,-0.03156413164712676,-0.046039694931880745,-0.015619564780346902,0.0
ORIGIN14,NEAR,ltd,top5_accuracy,-0.014455445544554468,-0.014415568863354246,-0.021402587908988985,-0.007101953830254138,0.0
ORIGIN14,NEAR,ltd,mrr,-0.02308865661800419,-0.023109949014377816,-0.03259140769582169,-0.012619691561845281,0.0
ORIGIN14,NEAR,fusion,accuracy,-0.006237623762376243,-0.006304874017862077,-0.011014090097241525,-0.0020663190002951914,0.0
ORIGIN14,NEAR,fusion,macro_f1,-0.006055713466099788,-0.006143852946413354,-0.01149617548848183,-0.001694260906777652,0.0
ORIGIN14,NEAR,fusion,top5_accuracy,-0.0016831683168316847,-0.0016958064811465074,-0.006243264372732873,0.0018867924528301883,0.22
ORIGIN14,NEAR,fusion,mrr,-0.004571134960716816,-0.004624201452796685,-0.009105932585727783,-0.0007542058411547834,0.002
ORIGIN14,MID,ltd,accuracy,-0.009843310566492569,-0.009897893509739615,-0.024249772658381352,0.0033095870976399436,0.079
ORIGIN14,MID,ltd,macro_f1,-0.004191186335671504,-0.004651525145892291,-0.017913909853236272,0.005626877940046682,0.229
ORIGIN14,MID,ltd,top5_accuracy,-0.012253917235837686,-0.012308415766248497,-0.02069999999999994,-0.003831620789915367,0.0
ORIGIN14,MID,ltd,mrr,-0.010192237904042667,-0.010240222722007331,-0.022672795928411652,0.00044029766978903595,0.027
ORIGIN14,MID,fusion,accuracy,-0.005022097227802336,-0.005024963372861905,-0.011411647332849665,0.0005017792225500913,0.0415
ORIGIN14,MID,fusion,macro_f1,-0.004271608171556807,-0.004316461101001477,-0.010010776351286998,0.0005170648676543127,0.041
ORIGIN14,MID,fusion,top5_accuracy,-0.00803535556448376,-0.008059486340369031,-0.013610308122227074,-0.002620703558109061,0.0
ORIGIN14,MID,fusion,mrr,-0.0052282478985306025,-0.005235898608475896,-0.010950185724230597,-0.00023277295031864654,0.0195
ORIGIN14,FAR,ltd,accuracy,-0.018246325392802798,-0.01832375285566869,-0.027983889727143742,-0.009504491870605992,0.0
ORIGIN14,FAR,ltd,macro_f1,-0.018437988745551193,-0.018839595620455746,-0.028234509980968627,-0.009816432372185761,0.0
ORIGIN14,FAR,ltd,top5_accuracy,-0.012975164723770916,-0.012972957179544551,-0.020438985098670925,-0.006712638174998537,0.0
ORIGIN14,FAR,ltd,mrr,-0.016849498652278583,-0.016892928090097202,-0.02455917226429622,-0.009277761025590792,0.0
ORIGIN14,FAR,fusion,accuracy,-0.003142422706538195,-0.003094380520259954,-0.007263922518159771,0.0010185373803217601,0.07
ORIGIN14,FAR,fusion,macro_f1,-0.003076339925580207,-0.003037547600065695,-0.008297734832525605,0.0016525245960517623,0.1045
ORIGIN14,FAR,fusion,top5_accuracy,-0.005169792194627432,-0.005208838208585165,-0.007886196406914963,-0.00254633048571577,0.0
ORIGIN14,FAR,fusion,mrr,-0.002815393425535828,-0.0027978255898548827,-0.005380628437410534,-0.00041890349543516336,0.0075
ORIGIN28,NEAR,ltd,accuracy,-0.012856568903173993,-0.012859326722791949,-0.020034402509359506,-0.0057613986291844554,0.0
ORIGIN28,NEAR,ltd,macro_f1,-0.010090039879758983,-0.010220381705593617,-0.016115707175819227,-0.004220198577891687,0.0
ORIGIN28,NEAR,ltd,top5_accuracy,-0.003917235837685773,-0.0038973289188851856,-0.006149348674359517,-0.0018059596669007805,0.0
ORIGIN28,NEAR,ltd,mrr,-0.008289580226023108,-0.008279034618589257,-0.012582200780294261,-0.0037578384726213387,0.0
ORIGIN28,NEAR,fusion,accuracy,-0.001305745279228554,-0.0013129461298654946,-0.0036246841130484846,0.0009055236945366696,0.1215
ORIGIN28,NEAR,fusion,macro_f1,-0.0016864941772403164,-0.0016490727304682919,-0.004333929566953151,0.00095232235600855,0.113
ORIGIN28,NEAR,fusion,top5_accuracy,-0.0011048613901164517,-0.0011060990391810863,-0.002484830979293082,0.00020187746038158316,0.048
ORIGIN28,NEAR,fusion,mrr,-0.0009104084538601454,-0.0009149394775349198,-0.002156540480894886,0.0002864444969347763,0.0695
ORIGIN28,MID,ltd,accuracy,-0.012497539854359418,-0.01247021710485668,-0.01966752728293311,-0.005233534116717675,0.0
ORIGIN28,MID,ltd,macro_f1,-0.01124110385699817,-0.011254430063005702,-0.018430762231005232,-0.004209810354865705,0.0
ORIGIN28,MID,ltd,top5_accuracy,-0.0070852194449910755,-0.007076734609381724,-0.009945129755993778,-0.003959964771444233,0.0
ORIGIN28,MID,ltd,mrr,-0.010727418555335766,-0.010712111752682323,-0.015980440403930436,-0.005113764020181322,0.0
ORIGIN28,MID,fusion,accuracy,0.0007872466049990701,0.000801779845635586,-0.0023608105449537398,0.004019249889302507,0.667
ORIGIN28,MID,fusion,macro_f1,0.0004668017801214841,0.00044530499318335657,-0.002984223094702365,0.0038666118053803933,0.6055
ORIGIN28,MID,fusion,top5_accuracy,-0.002361739814996988,-0.002369947964107208,-0.0036381514257620706,-0.0010851336687383029,0.0
ORIGIN28,MID,fusion,mrr,-0.00043785071747470816,-0.00043179358903803035,-0.0025781090419373293,0.001524115422485428,0.3405
ORIGIN28,FAR,ltd,accuracy,0.004421355145352024,0.004343021151138297,-0.0024086283425707095,0.013547747549289557,0.7965
ORIGIN28,FAR,ltd,macro_f1,0.0048154126071841,0.004545026289446893,-0.0027360400475329003,0.013825329260818725,0.843
ORIGIN28,FAR,ltd,top5_accuracy,-0.011716591135182863,-0.011897200855232153,-0.021651095949055017,-0.003638808063479235,0.001
ORIGIN28,FAR,ltd,mrr,-0.0016980325788686912,-0.0018144186906365316,-0.007293528361883195,0.0038669474147786653,0.2795
ORIGIN28,FAR,fusion,accuracy,-0.003316016359014018,-0.003409034654488356,-0.007925980317095026,0.000506714224535852,0.049
ORIGIN28,FAR,fusion,macro_f1,-0.0036818957497835036,-0.0038419348167344947,-0.008210191103509212,-0.00011230336714873612,0.02
ORIGIN28,FAR,fusion,top5_accuracy,-0.003316016359014129,-0.0032894184861370465,-0.0056056276104639036,-0.000909182745731929,0.001
ORIGIN28,FAR,fusion,mrr,-0.0027107631115539377,-0.0027694188686194876,-0.005623348948156417,-0.00036347600750478445,0.011
