origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,xgb,accuracy,0.006831683168316838,0.006823804969617143,0.0050595238095237915,0.008587588499611309,1.0
ORIGIN14,NEAR,xgb,macro_f1,0.005906753112637442,0.00586361069439009,0.00421227045850697,0.007403427167308616,1.0
ORIGIN14,NEAR,xgb,top5_accuracy,0.0012871287128712883,0.0012553208429307307,-0.0007043791962723727,0.0031601973178254803,0.8895
ORIGIN14,NEAR,xgb,mrr,0.004259274015296466,0.004252231772448809,0.002977810320019425,0.0054778315879243636,1.0
ORIGIN14,NEAR,macro,accuracy,0.0016831683168316847,0.001645368338839575,-0.0010021044192805029,0.003835619165428741,0.881
ORIGIN14,NEAR,macro,macro_f1,0.0017301185188285384,0.001705234885396379,-0.0009424044607763471,0.003832799404929088,0.903
ORIGIN14,NEAR,macro,top5_accuracy,-0.0001980198019801982,-0.00019536866133261228,-0.0012928891098955564,0.0009898050084132803,0.3375
ORIGIN14,NEAR,macro,mrr,0.00144054018476647,0.0014193336925581264,-6.384964644790548e-05,0.0024090957570228693,0.9685
ORIGIN14,MID,xgb,accuracy,0.007332261952591401,0.007278058405220255,0.004222432938287645,0.010349834544643959,1.0
ORIGIN14,MID,xgb,macro_f1,0.006892336593940063,0.006879200657214447,0.0040819408357729734,0.009744015957927843,1.0
ORIGIN14,MID,xgb,top5_accuracy,0.0002008838891121023,0.0002062494979423758,0.0,0.0006036262862472358,0.6705
ORIGIN14,MID,xgb,mrr,0.004931318297060283,0.004894146720126707,0.002804336813706951,0.007004158987316471,1.0
ORIGIN14,MID,macro,accuracy,0.0062274005624748385,0.006199068034762414,0.00429013269480194,0.008325810011034163,1.0
ORIGIN14,MID,macro,macro_f1,0.006590866296762976,0.006559086838758345,0.0044490935024668055,0.008789265339249017,1.0
ORIGIN14,MID,macro,top5_accuracy,-0.0007030936118923581,-0.0006864866962821796,-0.00251240513904602,0.0012118460645287232,0.2215
ORIGIN14,MID,macro,mrr,0.0032996471919892745,0.003277421116231994,0.002360653206267771,0.004418328792891998,1.0
ORIGIN14,FAR,xgb,accuracy,0.007501267105930132,0.0074762428704973835,0.005026705878913784,0.010117361392148916,1.0
ORIGIN14,FAR,xgb,macro_f1,0.006093247297081272,0.006107549924734495,0.0033762171168295607,0.008694115278189196,1.0
ORIGIN14,FAR,xgb,top5_accuracy,0.0013177901672579706,0.0013296538153977884,-0.0003020313469953878,0.0027988804478209506,0.947
ORIGIN14,FAR,xgb,mrr,0.00502644117131934,0.005013317584280623,0.003931699619115769,0.006030935788556735,1.0
ORIGIN14,FAR,macro,accuracy,0.00496705524581853,0.004975966111393848,0.0016140111715955948,0.008023562868169853,0.9985
ORIGIN14,FAR,macro,macro_f1,0.004680466845569775,0.004694677925521826,0.001188140687363093,0.008064391293068865,0.998
ORIGIN14,FAR,macro,top5_accuracy,0.0010136847440446184,0.001007512484167497,0.0002038055655413401,0.0018189719419478248,0.9905
ORIGIN14,FAR,macro,mrr,0.00316604441428614,0.0031690616647367465,0.0013876683133717898,0.004822144227269789,0.9995
ORIGIN28,NEAR,xgb,accuracy,0.007332261952591401,0.007316619763834962,0.005124598070739617,0.009770444946460123,1.0
ORIGIN28,NEAR,xgb,macro_f1,0.007407752306993198,0.007366742687968424,0.005120986927521942,0.009881309109643688,1.0
ORIGIN28,NEAR,xgb,top5_accuracy,0.0010044194455604005,0.0010114716512329052,-0.0004037779737519508,0.0023215907943877623,0.916
ORIGIN28,NEAR,xgb,mrr,0.004613647590914094,0.004597875738433505,0.003146322334432461,0.006187838460100184,1.0
ORIGIN28,NEAR,macro,accuracy,0.003917235837685884,0.0039038645581818097,0.00010053156124568418,0.007660444860486783,0.9775
ORIGIN28,NEAR,macro,macro_f1,0.0037663022843801297,0.003746460093893697,0.00010752564398770206,0.0073110219940693,0.9785
ORIGIN28,NEAR,macro,top5_accuracy,0.0007030936118923581,0.000707518180470236,-0.0004015278137242978,0.001915781355005638,0.8595
ORIGIN28,NEAR,macro,mrr,0.0025670732807939745,0.002558209952687077,0.0004938022299981138,0.004577288944967014,0.9935
ORIGIN28,MID,xgb,accuracy,0.005117102932493678,0.005146084675731658,0.002850655169932795,0.007620744259699164,1.0
ORIGIN28,MID,xgb,macro_f1,0.004853111183672154,0.004898243427799608,0.002206249186644019,0.0076177042370925265,1.0
ORIGIN28,MID,xgb,top5_accuracy,0.0024601456406219135,0.0024502143903350816,0.001384904540508436,0.003614340138712535,1.0
ORIGIN28,MID,xgb,mrr,0.003945909333063269,0.003950250845827948,0.0024502988650337816,0.005177943105339552,1.0
ORIGIN28,MID,macro,accuracy,0.003936233024995128,0.003960474018103642,0.0013713995840200527,0.006791338582677109,0.9975
ORIGIN28,MID,macro,macro_f1,0.0033728183423583635,0.0034047090287280687,0.0007522053630707293,0.006374279474117327,0.9975
ORIGIN28,MID,macro,top5_accuracy,0.0022633339893721738,0.002270094748183177,0.0013690425338574509,0.0033330474296764416,1.0
ORIGIN28,MID,macro,mrr,0.002421665576794463,0.002437221093743066,0.0011416457943323106,0.0038129247830867626,1.0
ORIGIN28,FAR,xgb,accuracy,0.007184702111197039,0.007177298078847652,0.0023370233702337817,0.011784635832004255,0.9995
ORIGIN28,FAR,xgb,macro_f1,0.007182836663569225,0.007239808027516526,0.0025189932874994853,0.011766659081420938,1.0
ORIGIN28,FAR,xgb,top5_accuracy,0.0009948049077042054,0.0009612656131371487,-0.0007006701252927099,0.0028188865398167673,0.8565
ORIGIN28,FAR,xgb,mrr,0.004964441119514995,0.004951240891704964,0.002505814878803947,0.00720612552820632,1.0
ORIGIN28,FAR,macro,accuracy,0.0028738808444788155,0.002781595837108956,-0.0006163708086786013,0.006103051525762959,0.9415
ORIGIN28,FAR,macro,macro_f1,0.0027344968680639292,0.002584959806875858,-0.0007592913653104105,0.0056822110046137195,0.941
ORIGIN28,FAR,macro,top5_accuracy,0.0002210677572676012,0.00020417757833891655,-0.0006423537204340996,0.0009847638861964823,0.648
ORIGIN28,FAR,macro,mrr,0.0018751947454145323,0.0018189712025414807,-0.00015871248399280114,0.0036530449831029027,0.9655
