origin,window,model,reference,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN14,NEAR,xgb,uniform,accuracy,0.00108910891089109,0.0010508107994386365,-0.002191890006974173,0.0038563919941396393,0.743
ORIGIN14,NEAR,xgb,uniform,macro_f1,0.00042491786122689224,0.00035262578595820403,-0.003057848010747155,0.0032713543044574816,0.6
ORIGIN14,NEAR,xgb,uniform,top5_accuracy,0.0005940594059405946,0.0005923960379998384,-0.0012852263246373396,0.0022734012058910347,0.729
ORIGIN14,NEAR,xgb,uniform,mrr,0.0009762974197599084,0.0009551745582174034,-0.0010546121966377637,0.00280053419929421,0.831
ORIGIN14,NEAR,xgb,11H,accuracy,-0.005742574257425748,-0.005772994170178507,-0.009603009603009527,-0.0024659696192542713,0.0
ORIGIN14,NEAR,xgb,11H,macro_f1,-0.0054818352514105495,-0.005510984908431887,-0.009402973325479236,-0.0018597872295131879,0.0015
ORIGIN14,NEAR,xgb,11H,top5_accuracy,-0.0006930693069306937,-0.0006629248049308922,-0.0028605247583349813,0.0016969454981033971,0.2875
ORIGIN14,NEAR,xgb,11H,mrr,-0.0032829765955365575,-0.0032970572142314056,-0.005091361101085418,-0.0018836659835636824,0.0
ORIGIN14,NEAR,macro,uniform,accuracy,0.0014851485148514865,0.001419547566171555,-0.003082676127618761,0.005212943837906936,0.751
ORIGIN14,NEAR,macro,uniform,macro_f1,0.0018938857262019715,0.0018991078750185701,-0.0027329537231540494,0.006003361562241914,0.798
ORIGIN14,NEAR,macro,uniform,top5_accuracy,0.0026732673267326756,0.0026784244901345558,0.0010933306828346812,0.0046530046530046665,1.0
ORIGIN14,NEAR,macro,uniform,mrr,0.0013278046353932815,0.0012919129460496057,-0.0012599373953896542,0.003554604824356322,0.8465
ORIGIN14,NEAR,macro,11H,accuracy,-0.0001980198019801982,-0.00022582077266802014,-0.0036970423661071283,0.0029443092081488003,0.4495
ORIGIN14,NEAR,macro,11H,macro_f1,0.0001637672073734331,0.00019387298962219096,-0.003855735272039601,0.0036729187877500014,0.55
ORIGIN14,NEAR,macro,11H,top5_accuracy,0.002871287128712874,0.0028737931514671686,0.0013825760852188645,0.004529788281634639,1.0
ORIGIN14,NEAR,macro,11H,mrr,-0.00011273554937318853,-0.00012742074650852052,-0.0019806273336780396,0.0016493253210749792,0.446
ORIGIN14,MID,xgb,uniform,accuracy,0.0031137002812374748,0.003036558494490838,-0.0015122492186712133,0.008208640479179161,0.8945
ORIGIN14,MID,xgb,uniform,macro_f1,0.003538734058614601,0.0034328126374533804,-0.0008132981641798625,0.00859736796635674,0.9345
ORIGIN14,MID,xgb,uniform,top5_accuracy,0.0005022097227802558,0.0005218192703624505,-0.0016013010668873228,0.002613327972660562,0.6705
ORIGIN14,MID,xgb,uniform,mrr,0.0021340803946846565,0.0020909506182638146,-0.0009827411422204113,0.005240297473891307,0.913
ORIGIN14,MID,xgb,11H,accuracy,-0.0042185616713539265,-0.004241499910729418,-0.008542026906396358,0.00040124385595352585,0.032
ORIGIN14,MID,xgb,11H,macro_f1,-0.0033536025353254617,-0.0034463880197610677,-0.007904155901260802,0.001223121995960974,0.0625
ORIGIN14,MID,xgb,11H,top5_accuracy,0.00030132583366815346,0.00031556977242007465,-0.0017057997190447205,0.0022262868873663103,0.5945
ORIGIN14,MID,xgb,11H,mrr,-0.0027972379023756266,-0.0028031961018628922,-0.005265340611926852,-4.338853844586628e-05,0.023
ORIGIN14,MID,macro,uniform,accuracy,0.005222981116914438,0.005165586156875698,0.002411575562700885,0.008441815832770112,1.0
ORIGIN14,MID,macro,uniform,macro_f1,0.005700778537860329,0.0056563184769021875,0.0026383789596340496,0.008703291433649896,1.0
ORIGIN14,MID,macro,uniform,top5_accuracy,0.0014061872237846051,0.0014076303984197288,-0.00040060090135207727,0.003432609793033836,0.913
ORIGIN14,MID,macro,uniform,mrr,0.003083739128513896,0.003060370840876483,0.0017250615414655223,0.004545610303211164,1.0
ORIGIN14,MID,macro,11H,accuracy,-0.0010044194455604005,-0.0010334818778867155,-0.003109983057788132,0.000604960677555888,0.128
ORIGIN14,MID,macro,11H,macro_f1,-0.0008900877589026468,-0.0009027683618561575,-0.003288264190962237,0.000901197455154934,0.2135
ORIGIN14,MID,macro,11H,top5_accuracy,0.0021092808356769632,0.002094117094701908,-0.00040009805568330393,0.004843592330978863,0.9405
ORIGIN14,MID,macro,11H,mrr,-0.0002159080634753785,-0.00021705027535551147,-0.0012636353401080963,0.0008712131520619955,0.345
ORIGIN14,FAR,xgb,uniform,accuracy,-0.0014191586416624213,-0.0014796027441860992,-0.007108676600895122,0.004169934615206282,0.2915
ORIGIN14,FAR,xgb,uniform,macro_f1,-0.001800487439563625,-0.0018918855780410172,-0.006460580901021568,0.0031341640828434782,0.217
ORIGIN14,FAR,xgb,uniform,top5_accuracy,-0.001926001013684675,-0.0019256020745445968,-0.0039715373410123735,0.00010178117048353919,0.031
ORIGIN14,FAR,xgb,uniform,mrr,-0.0016494970502629602,-0.0016872605088122255,-0.004638988404764085,0.0011837548090981606,0.129
ORIGIN14,FAR,xgb,11H,accuracy,-0.008920425747592553,-0.008955845614683483,-0.014385362582225624,-0.0037706755821546815,0.0005
ORIGIN14,FAR,xgb,11H,macro_f1,-0.007893734736644897,-0.007999435502775511,-0.013024876054670334,-0.0029950058340150187,0.0005
ORIGIN14,FAR,xgb,11H,top5_accuracy,-0.0032437911809426456,-0.0032552558899423853,-0.005512092419584988,-0.0012181195585443479,0.0
ORIGIN14,FAR,xgb,11H,mrr,-0.0066759382215823004,-0.006700578093092849,-0.009323765139666384,-0.003993151734699786,0.0
ORIGIN14,FAR,macro,uniform,accuracy,-0.0022301064368981383,-0.0022133073938507197,-0.004755497578731438,0.0,0.018
ORIGIN14,FAR,macro,uniform,macro_f1,-0.0012984668745490424,-0.00126292873575296,-0.00433194249254254,0.0017483945187515282,0.2165
ORIGIN14,FAR,macro,uniform,top5_accuracy,0.0012164216928535199,0.0012474939967789815,-0.0008108514382222876,0.0032176973353443827,0.879
ORIGIN14,FAR,macro,uniform,mrr,-0.0011642276260267481,-0.001159499826424737,-0.00232331738238323,-0.0001511732275090635,0.012
ORIGIN14,FAR,macro,11H,accuracy,-0.0071971616827166685,-0.007189273505244568,-0.01048560478320692,-0.00336078827884046,0.0
ORIGIN14,FAR,macro,11H,macro_f1,-0.0059789337201188175,-0.0059576066612747865,-0.009262637236846283,-0.001773592365496461,0.0055
ORIGIN14,FAR,macro,11H,top5_accuracy,0.00020273694880890147,0.00023998151261148438,-0.001437076575651841,0.0019022827392870534,0.619
ORIGIN14,FAR,macro,11H,mrr,-0.004330272040312888,-0.004328561491161484,-0.00590774688737708,-0.002492380476015425,0.0
ORIGIN28,NEAR,xgb,uniform,accuracy,0.001305745279228554,0.0012803752459901716,-0.0018079550020088098,0.0047310601968603965,0.742
ORIGIN28,NEAR,xgb,uniform,macro_f1,0.0010131914895127325,0.001038455701960705,-0.0026309314729123317,0.005561796673843857,0.656
ORIGIN28,NEAR,xgb,uniform,top5_accuracy,0.0002008838891121023,0.00020163476992829117,-0.0010071761548530733,0.0013026052104208041,0.6125
ORIGIN28,NEAR,xgb,uniform,mrr,0.0007728724777468221,0.0007629249284534228,-0.000588472279365429,0.0024969469591649774,0.7745
ORIGIN28,NEAR,xgb,11H,accuracy,-0.006026516673362847,-0.006036244517844791,-0.008158003436489833,-0.00391132328473321,0.0
ORIGIN28,NEAR,xgb,11H,macro_f1,-0.006394560817480466,-0.00632828698600772,-0.008556273799371406,-0.00379074177480887,0.0
ORIGIN28,NEAR,xgb,11H,top5_accuracy,-0.0008035355564482982,-0.0008098368813046142,-0.0020165457599431334,0.00039825167668633974,0.074
ORIGIN28,NEAR,xgb,11H,mrr,-0.003840775113167272,-0.003834950809980082,-0.004503155010438631,-0.003157001392255685,0.0
ORIGIN28,NEAR,macro,uniform,accuracy,-0.002008838891120912,-0.002019079336259707,-0.005110975144994376,0.001500810531530927,0.1175
ORIGIN28,NEAR,macro,uniform,macro_f1,-0.0028161234294936666,-0.002803953271488326,-0.006408811326709896,0.0012081799013470558,0.0825
ORIGIN28,NEAR,macro,uniform,top5_accuracy,-0.0007030936118922471,-0.000687699121394622,-0.0025095866603722593,0.001413427561837488,0.232
ORIGIN28,NEAR,macro,uniform,mrr,-0.0008248706501783332,-0.0008293412326182105,-0.002388794521655896,0.0012080987770355846,0.192
ORIGIN28,NEAR,macro,11H,accuracy,-0.005926074728806796,-0.0059229438944415165,-0.00884028022585174,-0.003314584170349577,0.0
ORIGIN28,NEAR,macro,11H,macro_f1,-0.006582425713873796,-0.006550413365382023,-0.009784144613057766,-0.0035958363106782867,0.0
ORIGIN28,NEAR,macro,11H,top5_accuracy,-0.0014061872237846051,-0.001395217301864858,-0.0026249567824242785,-0.00020208143881994545,0.0055
ORIGIN28,NEAR,macro,11H,mrr,-0.0033919439309723076,-0.003387551185305288,-0.005198293649509281,-0.0017083650118135895,0.0
ORIGIN28,MID,xgb,uniform,accuracy,0.0010824640818737352,0.0010751263550413284,-0.0015740285292671352,0.0033670033670033517,0.7875
ORIGIN28,MID,xgb,uniform,macro_f1,0.0009439989940029925,0.0010080562765000525,-0.0023470070193275516,0.0032108852937129248,0.749
ORIGIN28,MID,xgb,uniform,top5_accuracy,0.002558551466246839,0.002565339594401676,0.0013773975431966763,0.0038431691591478824,1.0
ORIGIN28,MID,xgb,uniform,mrr,0.0015849938276863984,0.0015725557525051682,-0.00025564510580858567,0.0034335350511508723,0.9345
ORIGIN28,MID,xgb,11H,accuracy,-0.004034638850619943,-0.00407095832069033,-0.006016699497036623,-0.001588542645773708,0.001
ORIGIN28,MID,xgb,11H,macro_f1,-0.003909112189669162,-0.003890187151299555,-0.005729410898918208,-0.0018874099745915544,0.0
ORIGIN28,MID,xgb,11H,top5_accuracy,9.840582562492539e-05,0.0001151252040665946,-0.0013658603225376515,0.0015836997735208219,0.5565
ORIGIN28,MID,xgb,11H,mrr,-0.0023609155053768704,-0.0023776950933227805,-0.003530291132366692,-0.0008420545567260351,0.0015
ORIGIN28,MID,macro,uniform,accuracy,0.0005904349537493303,0.0005912872737298225,-0.000975181718165244,0.0021673489896136375,0.6955
ORIGIN28,MID,macro,uniform,macro_f1,0.00037790164155304673,0.00039439541913307733,-0.001145533315590902,0.001980289588778015,0.668
ORIGIN28,MID,macro,uniform,top5_accuracy,0.0004920291281244049,0.0004995121307082177,-0.00019702686535907622,0.0013732221677292822,0.8495
ORIGIN28,MID,macro,uniform,mrr,0.0006700636469273435,0.0006633792244576042,0.0001450026954315953,0.0012185608635608299,0.9945
ORIGIN28,MID,macro,11H,accuracy,-0.003345798071245798,-0.0033691867443738197,-0.0055399986762710825,-0.0014691478942213676,0.0
ORIGIN28,MID,macro,11H,macro_f1,-0.002994916700805317,-0.0030103136095949914,-0.004781892601967486,-0.001529420995572748,0.0
ORIGIN28,MID,macro,11H,top5_accuracy,-0.0017713048612477689,-0.0017705826174749593,-0.0019855107358854873,-0.0014813351767726246,0.0
ORIGIN28,MID,macro,11H,mrr,-0.0017516019298671193,-0.0017738418692854624,-0.0030338443129432013,-0.0006503797787714757,0.0
