feature,dtype,rows,non_null,missing,missing_rate,inf_count,unique_count,variance,zero_variance
sizes_mean,float64,72603,72603,0,0.0,0,72466,24186.434172466114,False
sizes_std,float64,72603,72603,0,0.0,0,72603,36323.61455380152,False
sizes_min,int64,72603,72603,0,0.0,0,2,0.16641192796986945,False
sizes_max,int64,72603,72603,0,0.0,0,37,547432.4429252514,False
sizes_median,float64,72603,72603,0,0.0,0,168,46551.784991102955,False
sizes_sum,int64,72603,72603,0,0.0,0,71440,13432261451022.3,False
sizes_p25,float64,72603,72603,0,0.0,0,11,12.230527316691733,False
sizes_p50,float64,72603,72603,0,0.0,0,168,46551.784991102955,False
sizes_p75,float64,72603,72603,0,0.0,0,290,111243.1094799212,False
sizes_p90,float64,72603,72603,0,0.0,0,230,464549.077065494,False
sizes_skew,float64,72603,72603,0,0.0,0,72603,0.2216148827379614,False
sizes_kurtosis,float64,72603,72603,0,0.0,0,72603,0.21797284002619224,False
sizes_hist_1_500,int64,72603,72603,0,0.0,0,5304,1137538.2726726166,False
sizes_hist_501_1000,int64,72603,72603,0,0.0,0,533,5285.977604692226,False
sizes_hist_1001_1500,int64,72603,72603,0,0.0,0,403,2905.807005006556,False
sizes_hist_gt1500,int64,72603,72603,0,0.0,0,8351,4164282.3680544174,False
times_duration,float64,72603,72603,0,0.0,0,72491,37.8522807373817,False
times_mean,float64,72603,72603,0,0.0,0,72603,9.945041170550532,False
times_std,float64,72603,72603,0,0.0,0,72603,1.64296761234255,False
times_min,float64,72603,72603,0,0.0,0,1,0.0,True
times_max,float64,72603,72603,0,0.0,0,72491,37.852280755167016,False
times_median,float64,72603,72603,0,0.0,0,72513,10.150551156840237,False
total_in,int64,72603,72603,0,0.0,0,5944,1596484.9695094388,False
total_out,int64,72603,72603,0,0.0,0,8527,4280817.1422693385,False
burst_max,int64,72603,72603,0,0.0,0,1615,151644.58228947618,False
burst_count,int64,72603,72603,0,0.0,0,8710,4395107.317829674,False
burst_size_p25,float64,72603,72603,0,0.0,0,5,0.02267336186423053,False
burst_size_p50,float64,72603,72603,0,0.0,0,147,156.23316453479765,False
burst_size_p75,float64,72603,72603,0,0.0,0,490,3799.472695367963,False
burst_size_p90,float64,72603,72603,0,0.0,0,728,25152.634780372897,False
burst_mean,float64,72603,72603,0,0.0,0,64519,2967.4950989974236,False
burst_std,float64,72603,72603,0,0.0,0,72373,10108.485123073804,False
burst_durations_count,int64,72603,72603,0,0.0,0,8710,4395107.317829674,False
burst_durations_sum,float64,72603,72603,0,0.0,0,72534,12.325031383483362,False
burst_durations_mean,float64,72603,72603,0,0.0,0,72603,0.03272078036480709,False
burst_durations_median,float64,72603,72603,0,0.0,0,458,0.007357858580578753,False
burst_durations_min,float64,72603,72603,0,0.0,0,25,1.8075080660763028e-13,False
burst_durations_max,float64,72603,72603,0,0.0,0,72011,2.047223367901526,False
burst_durations_std,float64,72603,72603,0,0.0,0,72603,0.05982353614149848,False
burst_durations_var,float64,72603,72603,0,0.0,0,72603,0.4528988129678792,False
burst_durations_cv,float64,72603,72603,0,0.0,0,72602,54.063007459665315,False
burst_durations_p25,float64,72603,72603,0,0.0,0,19,5.1570403954945e-05,False
burst_durations_p50,float64,72603,72603,0,0.0,0,458,0.007357858580578753,False
burst_durations_p75,float64,72603,72603,0,0.0,0,8282,0.10383326461672704,False
burst_durations_p90,float64,72603,72603,0,0.0,0,50045,0.23855539241799428,False
burst_durations_iqr,float64,72603,72603,0,0.0,0,8282,0.10351093747336511,False
burst_durations_skew,float64,72603,72603,0,0.0,0,72603,299.52857559344693,False
burst_durations_kurtosis,float64,72603,72603,0,0.0,0,72602,2193468.384375592,False
burst_durations_entropy,float64,72603,72603,0,0.0,0,67150,0.058460808465669326,False
burst_durations_prop_gt_1s,float64,72603,72603,0,0.0,0,10752,0.0013127220217390998,False
burst_durations_prop_gt_2s,float64,72603,72603,0,0.0,0,7260,0.001069315658505963,False
burst_durations_prop_gt_5s,float64,72603,72603,0,0.0,0,1098,0.00040469630448792393,False
burst_durations_longest_ratio,float64,72603,72603,0,0.0,0,72600,0.02958356194598876,False
burst_histogram_1,int64,72603,72603,0,0.0,0,5992,1577282.075760377,False
burst_histogram_2,int64,72603,72603,0,0.0,0,4348,714467.3548624733,False
burst_histogram_3_5,int64,72603,72603,0,0.0,0,576,5844.243356777694,False
burst_histogram_6_10,int64,72603,72603,0,0.0,0,197,264.5816877360356,False
burst_histogram_gt10,int64,72603,72603,0,0.0,0,138,61.287596805630145,False
num_bursts_in,int64,72603,72603,0,0.0,0,5235,1098815.173431418,False
num_bursts_out,int64,72603,72603,0,0.0,0,5255,1098738.614062733,False
mean_burst_size_in,float64,72603,72603,0,0.0,0,45430,12293.260550813664,False
mean_burst_size_out,float64,72603,72603,0,0.0,0,59345,0.0782082985100982,False
max_burst_in,int64,72603,72603,0,0.0,0,1616,152139.33745950842,False
max_burst_out,int64,72603,72603,0,0.0,0,155,123.84862127737443,False
iat_min,float64,72603,72603,0,0.0,0,209,4.851864786434761e-11,False
iat_max,float64,72603,72603,0,0.0,0,72035,0.781339535102567,False
iat_mean,float64,72603,72603,0,0.0,0,72603,0.00012139068658994586,False
iat_median,float64,72603,72603,0,0.0,0,5703,1.7133694129905917e-06,False
iat_var,float64,72603,72603,0,0.0,0,72603,0.00029273598546089184,False
iat_size_p25,float64,72603,72603,0,0.0,0,1674,4.563258755972555e-10,False
iat_size_p50,float64,72603,72603,0,0.0,0,5703,1.7133694129905917e-06,False
iat_size_p75,float64,72603,72603,0,0.0,0,24752,9.07648919536032e-05,False
iat_size_p90,float64,72603,72603,0,0.0,0,66501,0.00018769809130640398,False
iat_mean_in,float64,72603,72603,0,0.0,0,72603,0.00015166506333317122,False
iat_std_in,float64,72603,72603,0,0.0,0,72603,0.0039577244724713296,False
iat_mean_out,float64,72603,72603,0,0.0,0,72596,0.0006589730455068075,False
iat_std_out,float64,72603,72603,0,0.0,0,72595,0.005436592574649226,False
duration,float64,72603,72603,0,0.0,0,72491,37.8522807373817,False
DoA,float64,72603,72603,0,0.0,0,72491,37.8522807373817,False
time_to_first_response,float64,72603,72603,0,0.0,0,63506,0.08207604034849734,False
pps_w1_total_packets,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
pps_w1_mean,float64,72603,72603,0,0.0,0,40032,34353.839772269734,False
pps_w1_max,float64,72603,72603,0,0.0,0,4004,542933.6761593545,False
pps_w1_min,float64,72603,72603,0,0.0,0,23,0.6489071747138041,False
pps_w1_std,float64,72603,72603,0,0.0,0,72509,55862.753450542696,False
