site_label,rows
0,1084
10,1178
102,1165
104,1185
105,1102
106,1055
107,1011
108,1101
109,1150
11,1134
110,837
113,1190
117,1136
12,1190
14,985
18,1193
2,1185
21,1178
24,974
25,1199
27,1197
28,1029
29,1187
31,1040
34,1130
35,1185
36,1154
37,1195
39,1170
40,1181
41,916
42,1114
43,1139
45,1076
46,1051
47,1191
48,1081
50,1194
51,978
52,1181
53,1181
54,1197
55,1145
57,936
6,1072
60,1188
61,1189
63,1146
68,1187
7,1192
71,1191
72,1099
76,1077
77,1086
78,1164
80,1207
81,966
86,1163
89,1198
9,1193
90,1071
92,813
96,1143
97,996
98,1182
