_audit_date,rows,sites
2025-11-18,796,62
2025-11-19,1343,62
2025-11-20,1360,64
2025-11-21,1376,64
2025-11-22,1428,64
2025-11-23,1405,64
2025-11-24,1414,65
2025-11-25,1430,65
2025-11-26,1404,65
2025-11-27,1440,65
2025-11-28,1441,65
2025-11-29,1389,65
2025-11-30,1444,65
2025-12-01,1428,65
2025-12-02,1454,65
2025-12-03,1410,65
2025-12-04,1459,65
2025-12-05,1436,65
2025-12-06,1434,65
2025-12-07,1460,65
2025-12-08,1447,65
2025-12-09,1458,65
2025-12-10,1426,65
2025-12-11,1422,64
2025-12-12,1428,64
2025-12-13,1427,65
2025-12-14,1418,65
2025-12-15,1481,65
2025-12-16,1433,65
2025-12-17,1429,65
2025-12-18,1406,65
2025-12-19,1426,65
2025-12-20,1451,65
2025-12-21,1408,65
2025-12-22,1403,65
2025-12-23,1433,65
2025-12-24,1467,65
2025-12-25,1474,65
2025-12-26,1434,65
2025-12-27,1439,65
2025-12-28,1455,65
2025-12-29,1460,65
2025-12-30,1384,65
2025-12-31,1412,65
2026-01-01,1384,65
2026-01-02,1410,65
2026-01-03,1403,65
2026-01-04,1424,65
2026-01-05,1448,65
2026-01-06,1430,65
2026-01-07,1440,65
2026-01-08,492,65
