site_label,DEV_EARLY,DEV_LATE,DEV_MIDDLE,INTERNAL_TEST
0,289,271,300,224
10,312,302,326,238
102,312,299,317,237
104,316,304,327,238
105,314,305,243,240
106,288,282,288,197
107,273,266,282,190
108,289,279,311,222
109,315,292,325,218
11,302,285,316,231
110,220,223,209,185
113,316,307,327,240
117,271,305,321,239
12,315,304,328,243
14,264,265,276,180
18,318,304,328,243
2,317,298,327,243
21,317,295,329,237
24,289,244,245,196
25,321,304,333,241
27,321,303,332,241
28,175,294,326,234
29,311,305,329,242
31,291,269,272,208
34,293,290,315,232
35,318,298,329,240
36,305,299,323,227
37,316,304,333,242
39,307,298,325,240
40,318,300,323,240
41,246,239,253,178
42,294,270,320,230
43,307,286,316,230
45,294,270,297,215
46,295,218,305,233
47,316,306,326,243
48,315,253,314,199
50,322,303,326,243
51,259,255,266,198
52,317,301,325,238
53,317,302,326,236
54,321,303,328,245
55,306,289,321,229
57,237,245,269,185
6,292,283,286,211
60,310,303,332,243
61,315,302,330,242
63,269,303,331,243
68,314,302,330,241
7,318,303,328,243
71,315,305,329,242
72,286,282,304,227
76,288,270,296,223
77,262,290,302,232
78,282,306,334,242
80,320,309,334,244
81,243,258,260,205
86,295,300,329,239
89,319,307,330,242
9,319,303,328,243
90,302,300,318,151
92,190,216,235,172
96,317,286,330,210
97,168,290,311,227
98,315,306,326,235
