rank_site_persistence,feature,valid_sites_min,spearman_mean,spearman_worst,site_shift_norm_median_mean,site_shift_norm_p90_worst,identity_mrr_mean,identity_mrr_worst,identity_top1_worst,identity_top5_worst,drift_to_separation_median_mean,drift_to_separation_p90_worst,spearman_worst_persistence_percentile,identity_mrr_worst_persistence_percentile,site_shift_p90_persistence_percentile,drift_separation_p90_persistence_percentile,site_persistence_score
1,ngrams_3_min_count,65,0.9892477731713987,0.9828929005244404,0.041061596355714,0.23838383838383848,0.43062826415871897,0.40063359269554544,0.1076923076923077,0.7230769230769231,0.06604406130268199,0.25963636363636367,0.9935691318327974,0.7234726688102894,0.8681672025723473,1.0,0.8963022508038585
2,transition_m1_to_m1,65,0.9777384549004625,0.9627338697875771,0.03094563520228405,0.3204188481675393,0.5010667131111052,0.43140692158615035,0.16923076923076924,0.7076923076923077,0.04617679255610291,0.4398686371100167,0.9871382636655949,0.7620578778135049,0.8392282958199357,0.9935691318327974,0.8954983922829582
3,ngrams_2_min_count,65,0.9759556311780896,0.9597914710811111,0.02657209345736611,0.3868852459016395,0.4955481209074326,0.45873231216601656,0.2153846153846154,0.7384615384615385,0.04361814520730491,0.6044444444444449,0.9758842443729904,0.8536977491961415,0.815112540192926,0.9019292604501608,0.8866559485530547
4,ngrams_2_top4_count,65,0.9759556311780896,0.9597914710811111,0.02657209345736611,0.3868852459016395,0.4955481209074326,0.45873231216601656,0.2153846153846154,0.7384615384615385,0.04361814520730491,0.6044444444444449,0.9758842443729904,0.8536977491961415,0.815112540192926,0.9019292604501608,0.8866559485530547
5,cumul_interp_in_diffs_std,65,0.9657488344988345,0.945236013986014,0.039310679097097304,0.30484607052617346,0.4441169949481237,0.3714272184181862,0.13846153846153847,0.6923076923076923,0.06793710694138798,0.48431338836159843,0.9598070739549839,0.6993569131832797,0.8585209003215434,0.9871382636655949,0.8762057877813505
6,cumul_interp_out_diffs_std,65,0.9657488344988345,0.945236013986014,0.039310679097092516,0.30484607052617524,0.4441169949481237,0.3714272184181862,0.13846153846153847,0.6923076923076923,0.06793710694137635,0.48431338836156324,0.9598070739549839,0.6993569131832797,0.8553054662379421,0.9903536977491961,0.8762057877813504
7,sizes_hist_501_1000,65,0.9762515992108125,0.960535089249304,0.056474030325834756,0.3880715705765408,0.41146595113820633,0.4014233021459602,0.12307692307692308,0.6153846153846154,0.07247371525559092,0.5010285179990652,0.9839228295819936,0.729903536977492,0.8102893890675241,0.9710610932475884,0.8737942122186495
8,ngrams_3_top5_count,65,0.9729637556267444,0.9591006976603097,0.04864417228816078,0.363953488372093,0.39843899617416606,0.36621332662666906,0.12307692307692308,0.6461538461538462,0.07278257072737401,0.5790435193448475,0.9710610932475884,0.6816720257234726,0.8263665594855305,0.9163987138263665,0.8488745980707395
9,ngrams_4_min_count,65,0.9855944314004512,0.9787636451051452,0.030303030303030304,0.2363636363636365,0.32512372700286973,0.3035343984044249,0.03076923076923077,0.5384615384615384,0.023809523809523808,0.29711538461538467,0.9903536977491961,0.5369774919614148,0.8713826366559485,0.9967845659163987,0.8488745980707395
10,cumul_interp_out_diffs_p75,65,0.9447183445994138,0.913755613642983,0.029831806284759104,0.4370362215127145,0.5128817137204913,0.46273360258871166,0.26153846153846155,0.676923076923077,0.04657895860629462,0.683881695791758,0.887459807073955,0.9035369774919614,0.7138263665594855,0.8295819935691319,0.8336012861736335
11,cumul_interp_out_diffs_p90,65,0.9445364229652551,0.9133304195804195,0.03232385720285449,0.43819847722286465,0.513231986072337,0.46206633538210656,0.27692307692307694,0.676923076923077,0.05609641744935567,0.69482039438519,0.8842443729903537,0.9003215434083601,0.707395498392283,0.8231511254019293,0.8287781350482315
12,sizes_hist_1001_1500,65,0.9741249006207608,0.9600292979129547,0.04906030168907716,0.3776744186046512,0.37262007290706783,0.3340643627460676,0.09230769230769231,0.6307692307692307,0.07126705442328522,0.62,0.9807073954983923,0.6109324758842444,0.819935691318328,0.8971061093247589,0.8271704180064309
13,ngrams_4_max_count,65,0.9435439526544763,0.9108352639965195,0.037802168671909525,0.3542207318851146,0.46767835840735167,0.41139163536969464,0.2,0.6461538461538462,0.05959101756130212,0.6365428170622919,0.7668810289389068,0.7443729903536977,0.8311897106109325,0.882636655948553,0.8062700964630225
14,ngrams_4_top1_count,65,0.9435439526544763,0.9108352639965195,0.037802168671909525,0.3542207318851146,0.46767835840735167,0.41139163536969464,0.2,0.6461538461538462,0.05959101756130212,0.6365428170622919,0.7668810289389068,0.7443729903536977,0.8311897106109325,0.882636655948553,0.8062700964630225
15,cumul_interp_out_diffs_p25,65,0.9433339906398381,0.9123569969622103,0.03401379082376063,0.4118800188946449,0.4986789867785935,0.41897103879633896,0.2153846153846154,0.676923076923077,0.05330725938471218,0.7011099186107156,0.8745980707395499,0.7556270096463023,0.77491961414791,0.8038585209003215,0.8022508038585209
16,cumul_out_mean,65,0.9435460372960374,0.9120192307692307,0.03194231930865365,0.4316833510842187,0.5177776232364423,0.4447929591203401,0.26153846153846155,0.676923076923077,0.05601614125255069,0.6812173947402316,0.842443729903537,0.7813504823151125,0.7363344051446945,0.842443729903537,0.8006430868167203
17,cumul_interp_out_auc,65,0.9435460372960374,0.9120192307692307,0.03199148495774423,0.43170357053867153,0.5177776232364423,0.4447929591203401,0.26153846153846155,0.676923076923077,0.05600429994348629,0.6813856026257389,0.842443729903537,0.7813504823151125,0.7331189710610932,0.8392282958199357,0.7990353697749197
18,ngrams_4_sparsity,65,0.9436480186480186,0.9112325174825174,0.027041041425079054,0.4966243895606979,0.5380794877403728,0.46295728899640665,0.2923076923076923,0.6923076923076923,0.035266517530059986,0.5400282182595126,0.8054662379421221,0.9131832797427653,0.5305466237942122,0.9453376205787781,0.7986334405144695
19,cumul_interp_out_mean,65,0.9435460372960374,0.9120192307692307,0.03202330017904264,0.4317669612342527,0.5177776232364423,0.4447929591203401,0.26153846153846155,0.676923076923077,0.056100506499008336,0.681423768377817,0.842443729903537,0.7813504823151125,0.729903536977492,0.8360128617363344,0.797427652733119
20,ngrams_4_std_count,65,0.9401806526806528,0.9059877622377622,0.03915733470360652,0.3769031717186765,0.47445268172569,0.44043025523457746,0.26153846153846155,0.6461538461538462,0.06391113117904083,0.6409245686495434,0.7170418006430869,0.7684887459807074,0.8231511254019293,0.8778135048231511,0.7966237942122186
21,max_burst_in,65,0.968090743692346,0.9585912795247222,0.0,0.25,0.21897581085148235,0.21487691732889738,0.015384615384615385,0.47692307692307695,0.0,0.5,0.9678456591639871,0.3762057877813505,0.864951768488746,0.9758842443729904,0.7962218649517685
22,ngrams_3_top2_count,65,0.9443538091740472,0.9131874256164191,0.04014745233564728,0.4372945454545456,0.42991249858327435,0.37727143907745914,0.13846153846153847,0.5846153846153846,0.06872601273171486,0.6656789997790705,0.8810289389067524,0.7170418006430869,0.7106109324758842,0.8585209003215434,0.7918006430868167
23,cumul_interp_out_diffs_median,65,0.9436498837511155,0.9119122291853713,0.029557295184618693,0.4356548501083086,0.5145841342369488,0.4446731636994807,0.24615384615384617,0.676923076923077,0.05539288665048225,0.6980859767445003,0.8311897106109325,0.7733118971061094,0.72508038585209,0.8183279742765274,0.7869774919614149
24,cumul_interp_out_diffs_p50,65,0.9436498837511155,0.9119122291853713,0.029557295184618693,0.4356548501083086,0.5145841342369488,0.4446731636994807,0.24615384615384617,0.676923076923077,0.05539288665048225,0.6980859767445003,0.8311897106109325,0.7733118971061094,0.72508038585209,0.8183279742765274,0.7869774919614149
