feature,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,sample_nunique,sample_constant_dev,longitudinal_nunique,longitudinal_constant
cumul_in_auc,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.988395883333267,57489,False,195,False
cumul_in_last,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9679981604730754,5632,False,181,False
cumul_in_len,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9719290584430444,10970,False,191,False
cumul_in_max,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9679981604730754,5632,False,181,False
cumul_in_mean,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9700100259915514,57866,False,195,False
cumul_in_slope_norm,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9689546693261628,57916,False,195,False
cumul_in_std,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9658182869468276,57916,False,195,False
cumul_interp_in_auc,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.970009892890333,57854,False,195,False
cumul_interp_in_diffs_mean,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.968000899565257,5711,False,182,False
cumul_interp_in_diffs_median,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9684822177491305,11615,False,138,False
