rank_representatives,feature,rank_discriminability,score_min,rank_temporal_stability,temporal_stability_score,rank_site_persistence,site_persistence_score,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,dtp_min,dtp_geometric_mean,dtp_arithmetic_mean,dtp_balance_gap,rank_within_cluster,is_cluster_representative,pareto_front
1,cumul_interp_out_diffs_p90,58,0.8092175777063236,44,0.765273311897106,11,0.8287781350482315,2,24,burst_histogram_2|cumul_interp_out_auc|cumul_interp_out_diffs_mean|cumul_interp_out_diffs_median|cumul_interp_out_diffs_p25|cumul_interp_out_diffs_p50|cumul_interp_out_diffs_p75|cumul_interp_out_diffs_p90|cumul_interp_out_last|cumul_interp_out_max|cumul_interp_out_mean|cumul_interp_out_slope|cumul_interp_out_std|cumul_out_auc|cumul_out_last|cumul_out_max|cumul_out_mean|cumul_out_std|ngrams_2_top3_count|ngrams_3_top2_count|ngrams_3_top3_count|ngrams_4_top2_count|ngrams_4_top3_count|total_out,0.970163102438176,0.765273311897106,0.8006451065095985,0.801089674883887,0.06350482315112549,1,True,1
2,ngrams_4_sparsity,26,0.9040728831725616,48,0.7518756698821006,18,0.7986334405144695,1,43,cumul_in_auc|cumul_in_last|cumul_in_len|cumul_in_max|cumul_in_mean|cumul_in_slope_norm|cumul_in_std|cumul_interp_in_auc|cumul_interp_in_diffs_mean|cumul_interp_in_diffs_median|cumul_interp_in_diffs_p25|cumul_interp_in_diffs_p50|cumul_interp_in_diffs_p75|cumul_interp_in_diffs_p90|cumul_interp_in_last|cumul_interp_in_max|cumul_interp_in_mean|cumul_interp_in_slope|cumul_interp_in_std|cumul_out_len|ngrams_2_mean_count|ngrams_2_possible_windows|ngrams_2_sparsity|ngrams_2_total_occurrences|ngrams_3_mean_count|ngrams_3_possible_windows|ngrams_3_sparsity|ngrams_3_total_occurrences|ngrams_4_mean_count|ngrams_4_possible_windows|ngrams_4_sparsity|ngrams_4_total_occurrences|pps_w10_total_packets|pps_w1_total_packets|pps_w2_total_packets|pps_w5_total_packets|sizes_hist_1_500|sizes_hist_gt1500|sizes_sum|spectral_energy_high|spectral_energy_low|spectral_energy_mid|total_in,0.9764678085889886,0.7518756698821006,0.8157661028063501,0.8181939978563774,0.152197213290461,1,True,1
3,pps_w10_mean,77,0.7320471596998929,36,0.819935691318328,100,0.6720257234726688,7,5,iat_mean|pps_w10_mean|pps_w1_mean|pps_w2_mean|pps_w5_mean,0.9613242088912076,0.6720257234726688,0.7388703675148164,0.7413361914969633,0.14790996784565924,1,True,1
4,ngrams_2_min_count,100,0.6516613076098606,87,0.654876741693462,3,0.8866559485530547,28,2,ngrams_2_min_count|ngrams_2_top4_count,0.9999993806010194,0.6516613076098606,0.7232895847426027,0.7310646659521257,0.2349946409431941,1,True,1
5,tam_5s_out_mean,102,0.6420150053590569,31,0.8628081457663451,101,0.6704180064308682,6,6,mean_time_between_bursts|tam_1s_out_mean|tam_2s_out_mean|tam_3s_out_mean|tam_4s_out_mean|tam_5s_out_mean,0.9642467195528868,0.6420150053590569,0.7187894517154663,0.72508038585209,0.22079314040728826,1,True,1
6,sizes_hist_1001_1500,119,0.6023579849946409,38,0.8038585209003215,12,0.8271704180064309,124,1,sizes_hist_1001_1500,1.0,0.6023579849946409,0.7371283173767785,0.7444623079671312,0.22481243301179,1,True,1
7,ngrams_3_min_count,126,0.5884244372990354,112,0.6120042872454449,1,0.8963022508038585,30,2,ngrams_3_min_count|ngrams_4_min_count,0.9542813647022028,0.5884244372990354,0.6859617254313176,0.698910325116113,0.30787781350482313,1,True,1
8,sizes_hist_501_1000,150,0.5166130760986066,29,0.8788853161843515,7,0.8737942122186495,125,1,sizes_hist_501_1000,1.0,0.5166130760986066,0.7347996187270248,0.7564308681672025,0.3622722400857449,1,True,1
9,cumul_interp_in_pct_increasing,166,0.4512325830653805,14,0.9480171489817792,151,0.5369774919614148,76,1,cumul_interp_in_pct_increasing,1.0,0.4512325830653805,0.6124315784895289,0.6454090746695248,0.49678456591639875,1,True,1
10,sizes_median,121,0.5959271168274384,19,0.935155412647374,184,0.4340836012861736,41,2,sizes_median|sizes_p50,1.0,0.4340836012861736,0.6230890317061925,0.6550553769203287,0.5010718113612004,1,True,1
11,burst_size_p90,279,0.1146838156484458,12,0.95016077170418,230,0.2813504823151125,69,1,burst_size_p90,1.0,0.1146838156484458,0.3129793118836742,0.4487316898892461,0.8354769560557342,1,True,1
12,burst_durations_prop_gt_5s,280,0.1103965702036441,10,0.9533762057877814,226,0.2813504823151125,60,1,burst_durations_prop_gt_5s,1.0,0.1103965702036441,0.30937782685507026,0.44837441943551265,0.8429796355841372,1,True,1
13,cumul_interp_out_min,285,0.097534833869239,5,0.9640943193997856,236,0.2813504823151125,77,1,cumul_interp_out_min,1.0,0.097534833869239,0.29797213004150397,0.4476598785280457,0.8665594855305466,1,True,1
14,cumul_interp_in_min,287,0.0932475884244373,4,0.9683815648445874,235,0.2813504823151125,75,1,cumul_interp_in_min,1.0,0.0932475884244373,0.29397513287618976,0.44765987852804573,0.8751339764201501,1,True,1
15,sizes_min,305,0.0235798499464094,2,0.972668810289389,249,0.2813504823151125,129,1,sizes_min,1.0,0.0235798499464094,0.1861735144003755,0.42586638085030365,0.9490889603429796,1,True,1
16,burst_size_p25,309,0.010182207931404,1,0.9758842443729904,227,0.2813504823151125,66,1,burst_size_p25,1.0,0.010182207931404,0.14087350190238007,0.42247231153983567,0.9657020364415864,1,True,1
17,cumul_out_slope_norm,32,0.8831725616291534,52,0.7406216505894964,62,0.7339228295819936,4,10,cumul_out_slope_norm|ngrams_2_max_count|ngrams_2_std_count|ngrams_2_top1_count|ngrams_3_max_count|ngrams_3_std_count|ngrams_3_top1_count|ngrams_4_max_count|ngrams_4_std_count|ngrams_4_top1_count,0.9797012079749128,0.7339228295819936,0.7830042564654195,0.7859056806002145,0.14924973204715974,1,True,2
18,global_packet_count_90,117,0.6034297963558414,32,0.8595927116827439,126,0.5964630225080386,87,1,global_packet_count_90,1.0,0.5964630225080386,0.6763440392456304,0.6864951768488746,0.26312968917470525,1,True,2
19,transition_m1_to_m1,135,0.5562700964630225,127,0.587352625937835,2,0.8954983922829582,147,1,transition_m1_to_m1,1.0,0.5562700964630225,0.6638701573429797,0.6797070382279387,0.33922829581993574,1,True,2
20,ngrams_3_top5_count,109,0.6195069667738479,151,0.5530546623794212,8,0.8488745980707395,108,1,ngrams_3_top5_count,1.0,0.5530546623794212,0.6625509232068262,0.6738120757413362,0.29581993569131826,1,True,2
21,max_burst_out,194,0.3579849946409432,92,0.642550911039657,54,0.7455787781350482,99,1,max_burst_out,1.0,0.3579849946409432,0.5555911273681039,0.5820382279385495,0.38759378349410506,1,True,2
22,max_burst_in,197,0.3515541264737407,120,0.5953912111468381,21,0.7962218649517685,98,1,max_burst_in,1.0,0.3515541264737407,0.5503127475459274,0.5810557341907824,0.4446677384780278,1,True,2
23,ngrams_4_unique,226,0.270096463022508,21,0.9319399785637726,210,0.3255627009646302,116,1,ngrams_4_unique,1.0,0.270096463022508,0.4343573359796608,0.509199714183637,0.6618435155412646,1,True,2
24,cumul_interp_out_pct_increasing,236,0.2304394426580921,28,0.9190782422293676,156,0.5337620578778135,78,1,cumul_interp_out_pct_increasing,1.0,0.2304394426580921,0.483525073979719,0.5610932475884244,0.6886387995712755,1,True,2
25,cumul_in_min,288,0.0911039657020364,3,0.9683815648445874,234,0.2813504823151125,74,1,cumul_in_min,1.0,0.0911039657020364,0.29170496403119966,0.44694533762057875,0.877277599142551,1,True,2
26,burst_histogram_1,55,0.8145766345123259,93,0.6409431939978564,98,0.6736334405144695,5,9,burst_count|burst_durations_count|burst_histogram_1|ngrams_2_top2_count|num_bursts_in|num_bursts_out|ratio_pkts_firstN_bursts_total|transition_m1_to_p1|transition_p1_to_m1,0.95811015368323,0.6409431939978564,0.7058705166931014,0.7097177563415507,0.1736334405144695,1,True,3
27,tam_5s_in_max,99,0.6591639871382636,54,0.7245444801714899,121,0.6061093247588425,11,4,pps_w5_max|pps_w5_std|tam_5s_in_max|tam_5s_in_std,0.9506902038175904,0.6061093247588425,0.6615101261309776,0.6632725973561987,0.11843515541264737,1,True,3
28,cumul_interp_out_diffs_std,138,0.5530546623794211,144,0.5643086816720256,6,0.8762057877813504,25,2,cumul_interp_in_diffs_std|cumul_interp_out_diffs_std,0.9999999922347662,0.5530546623794211,0.6490781192322757,0.6645230439442656,0.32315112540192925,1,True,3
29,pps_w10_max,76,0.7427652733118971,69,0.7052518756698821,149,0.545016077170418,118,1,pps_w10_max,1.0,0.545016077170418,0.6584685720503747,0.6643444087173991,0.19774919614147912,1,True,3
30,ngrams_4_topk_cumfrac,161,0.4683815648445873,37,0.8188638799571276,168,0.5088424437299035,115,1,ngrams_4_topk_cumfrac,1.0,0.4683815648445873,0.5800493519287954,0.5986959628438728,0.3504823151125403,1,True,3
31,pps_w1_burst_count,171,0.4448017148981779,142,0.5696677384780279,25,0.7841639871382636,37,2,pps_w1_burst_count|pps_w2_burst_count,0.9634219363997094,0.4448017148981779,0.5835324211037354,0.5995444801714899,0.33936227224008575,1,True,3
32,ngrams_3_top4_count,116,0.6045016077170419,228,0.3097534833869239,86,0.6872990353697749,33,2,ngrams_3_top4_count|ngrams_4_top4_count,0.97505144249793,0.3097534833869239,0.5048780206507693,0.5338513754912468,0.377545551982851,1,True,3
33,cumul_in_diffs_median,278,0.1157556270096463,26,0.9244372990353696,231,0.2813504823151125,71,1,cumul_in_diffs_median,1.0,0.1157556270096463,0.31109216875286416,0.4405144694533762,0.8086816720257234,1,True,3
