pareto_front,features,cumulative_features,D_min,D_median,D_max,T_min,T_median,T_max,P_min,P_median,P_max,dtp_min_min,dtp_min_median,dtp_min_max,geometric_mean_median
1,16,16,0.010182207931404,0.552518756698821,0.9040728831725616,0.6120042872454449,0.9070203644158628,0.9758842443729904,0.2813504823151125,0.6036977491961415,0.8963022508038585,0.010182207931404,0.48392282958199356,0.765273311897106,0.654525378568755
2,9,25,0.0911039657020364,0.3579849946409432,0.8831725616291534,0.5530546623794212,0.7406216505894964,0.9683815648445874,0.2813504823151125,0.7339228295819936,0.8954983922829582,0.0911039657020364,0.3579849946409432,0.7339228295819936,0.5555911273681039
3,10,35,0.0873526259378349,0.5107181136120043,0.8145766345123259,0.3097534833869239,0.714898177920686,0.9640943193997856,0.2813504823151125,0.5755627009646302,0.8762057877813504,0.0873526259378349,0.4565916398713826,0.6409431939978564,0.5817908865162653
4,17,52,0.010182207931404,0.3322615219721329,0.692390139335477,0.2315112540192926,0.6463022508038586,0.9619506966773848,0.2813504823151125,0.5570739549839229,0.77532154340836,0.010182207931404,0.2818863879957127,0.5937834941050375,0.4312836335645948
5,14,66,0.010182207931404,0.3290460878885316,0.6259378349410504,0.1629153269024651,0.5752947481243301,0.957663451232583,0.1008842443729903,0.504823151125402,0.6655948553054662,0.010182207931404,0.1730975348338692,0.542336548767417,0.35087817679872446
6,7,73,0.0080385852090032,0.195069667738478,0.6162915326902465,0.4147909967845659,0.5444801714898178,0.952304394426581,0.1688102893890675,0.2813504823151125,0.6053054662379421,0.0080385852090032,0.1688102893890675,0.5294748124330119,0.26173205137731587
7,5,78,0.0664523043944265,0.5230439442658091,0.6077170418006431,0.270096463022508,0.5005359056806002,0.92550911039657,0.2813504823151125,0.4831189710610932,0.5715434083601285,0.0664523043944265,0.3558413719185423,0.5005359056806002,0.43221725274576456
8,6,84,0.0653804930332261,0.5616291532690246,0.592711682743837,0.2347266881028938,0.4523043944265809,0.8011789924973205,0.2813504823151125,0.4453376205787781,0.5361736334405145,0.0653804930332261,0.2792068595927116,0.4962486602357985,0.41733016410875534
9,7,91,0.0466237942122186,0.4887459807073955,0.5894962486602359,0.1693461950696677,0.4866023579849945,0.7818863879957126,0.2813504823151125,0.2982315112540192,0.5265273311897106,0.0466237942122186,0.1693461950696677,0.4866023579849945,0.3099345600568939
10,4,95,0.0739549839228295,0.43569131832797425,0.4887459807073955,0.3912111468381565,0.43622722400857444,0.4839228295819935,0.2813504823151125,0.4172025723472669,0.5040192926045016,0.0739549839228295,0.4034030010718114,0.4188102893890675,0.4354526740753476
11,11,106,0.1339764201500536,0.3644158628081457,0.480171489817792,0.187566988210075,0.3612004287245445,0.4346195069667738,0.2717041800643087,0.3721864951768489,0.5032154340836013,0.1339764201500536,0.2717041800643087,0.3585209003215434,0.343278031670863
12,12,118,0.0911039657020364,0.3510182207931404,0.4683815648445873,0.0744908896034298,0.30787781350482313,0.3944265809217577,0.1816720257234726,0.30024115755627,0.4598070739549839,0.0744908896034298,0.24222936763129685,0.3191318327974276,0.3081834415864549
13,7,125,0.1918542336548767,0.217577706323687,0.4180064308681672,0.1093247588424437,0.2368703108252947,0.3408360128617363,0.20016077170418,0.3271704180064309,0.4364951768488746,0.1093247588424437,0.20016077170418,0.2368703108252947,0.24920089260224948
14,5,130,0.2293676312968917,0.2958199356913183,0.4072883172561629,0.1146838156484458,0.2122186495176849,0.2229367631296891,0.1832797427652733,0.2387459807073955,0.3038585209003215,0.1146838156484458,0.1832797427652733,0.217577706323687,0.22992679764952978
15,8,138,0.1682743837084672,0.20525187566988207,0.2829581993569132,0.1184351554126473,0.17738478027867088,0.2122186495176848,0.1784565916398713,0.2520096463022508,0.2885852090032154,0.1184351554126473,0.1704180064308681,0.1886387995712754,0.20968660196395467
16,4,142,0.1414790996784566,0.18435155412647364,0.2197213290460878,0.0953912111468381,0.1256698821007502,0.1564844587352626,0.1937299035369775,0.19895498392282956,0.2178456591639871,0.0953912111468381,0.1256698821007502,0.1564844587352626,0.16881177908662423
17,3,145,0.187566988210075,0.1982851018220793,0.2068595927116827,0.0911039657020364,0.1286173633440514,0.1414790996784566,0.1278135048231511,0.1704180064308681,0.1864951768488746,0.0911039657020364,0.1278135048231511,0.1414790996784566,0.15037789589826756
18,3,148,0.1061093247588424,0.1093247588424437,0.1387995712754555,0.0610932475884244,0.092711682743837,0.0964630225080385,0.0815916398713826,0.0856109324758842,0.1567524115755627,0.0610932475884244,0.0815916398713826,0.0856109324758842,0.09511339531532999
