subset_size,model,fold,train_splits,test_split,n_train,n_test,n_classes,all_missing_train_features,all_missing_train_feature_names,accuracy,macro_f1,fit_seconds,predict_seconds,convergence_warning
8,logistic_regression,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.2986111111111111,0.27196412659384495,7.49655886599794,0.006601893051993102,False
8,random_forest,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.4882936507936508,0.47991949735012907,0.8957727740053087,0.19518043100833893,False
8,xgboost,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.4882440476190476,0.4794933851126011,1.6880287519888952,0.12098842003615573,False
8,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.3237217279451174,0.2918748982832434,15.0867995939916,0.006550177000463009,False
8,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.5030549898167006,0.4891853088624374,1.8211825559847057,0.19481843401445076,False
8,xgboost,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.5113088219530496,0.495483905268038,2.1228600090253167,0.1285123479901813,False
16,logistic_regression,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.42078373015873016,0.399694991262286,8.020957616041414,0.0038888370036147535,False
16,random_forest,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.5816964285714286,0.5703923875276335,1.421496733033564,0.18456086900550872,False
16,xgboost,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.5892857142857143,0.5816803341325123,1.8954741230118088,0.12556261895224452,False
16,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.4226605209561582,0.39644707969127696,16.37229131901404,0.004174071014858782,False
16,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.6024225533283311,0.587406721040583,3.016400506021455,0.18495385500136763,False
