site_label,temporal_split,daily_profiles
0,DEV_EARLY,14
0,DEV_LATE,13
0,DEV_MIDDLE,14
10,DEV_EARLY,14
10,DEV_LATE,13
10,DEV_MIDDLE,14
102,DEV_EARLY,14
102,DEV_LATE,13
102,DEV_MIDDLE,14
104,DEV_EARLY,14
104,DEV_LATE,13
104,DEV_MIDDLE,14
105,DEV_EARLY,14
105,DEV_LATE,13
105,DEV_MIDDLE,12
106,DEV_EARLY,14
106,DEV_LATE,13
106,DEV_MIDDLE,14
107,DEV_EARLY,14
107,DEV_LATE,13
107,DEV_MIDDLE,14
108,DEV_EARLY,14
108,DEV_LATE,13
108,DEV_MIDDLE,14
109,DEV_EARLY,14
109,DEV_LATE,13
109,DEV_MIDDLE,14
11,DEV_EARLY,14
11,DEV_LATE,13
11,DEV_MIDDLE,14
110,DEV_EARLY,14
110,DEV_LATE,13
110,DEV_MIDDLE,14
113,DEV_EARLY,14
113,DEV_LATE,13
113,DEV_MIDDLE,14
117,DEV_EARLY,12
117,DEV_LATE,13
117,DEV_MIDDLE,14
12,DEV_EARLY,14
12,DEV_LATE,13
12,DEV_MIDDLE,14
14,DEV_EARLY,14
14,DEV_LATE,13
14,DEV_MIDDLE,14
18,DEV_EARLY,14
18,DEV_LATE,13
18,DEV_MIDDLE,14
2,DEV_EARLY,14
2,DEV_LATE,13
2,DEV_MIDDLE,14
21,DEV_EARLY,14
21,DEV_LATE,13
21,DEV_MIDDLE,14
24,DEV_EARLY,14
24,DEV_LATE,13
24,DEV_MIDDLE,14
25,DEV_EARLY,14
25,DEV_LATE,13
25,DEV_MIDDLE,14
27,DEV_EARLY,14
27,DEV_LATE,13
27,DEV_MIDDLE,14
28,DEV_EARLY,14
28,DEV_LATE,13
28,DEV_MIDDLE,14
29,DEV_EARLY,14
29,DEV_LATE,13
29,DEV_MIDDLE,14
31,DEV_EARLY,14
31,DEV_LATE,13
31,DEV_MIDDLE,14
34,DEV_EARLY,14
34,DEV_LATE,13
34,DEV_MIDDLE,14
35,DEV_EARLY,14
35,DEV_LATE,13
35,DEV_MIDDLE,14
36,DEV_EARLY,14
36,DEV_LATE,13
36,DEV_MIDDLE,14
37,DEV_EARLY,14
37,DEV_LATE,13
37,DEV_MIDDLE,14
39,DEV_EARLY,14
39,DEV_LATE,13
39,DEV_MIDDLE,14
40,DEV_EARLY,14
40,DEV_LATE,13
40,DEV_MIDDLE,14
41,DEV_EARLY,14
41,DEV_LATE,13
41,DEV_MIDDLE,14
42,DEV_EARLY,14
42,DEV_LATE,13
42,DEV_MIDDLE,14
43,DEV_EARLY,14
43,DEV_LATE,13
43,DEV_MIDDLE,14
45,DEV_EARLY,14
45,DEV_LATE,13
45,DEV_MIDDLE,14
46,DEV_EARLY,14
46,DEV_LATE,13
46,DEV_MIDDLE,14
47,DEV_EARLY,14
47,DEV_LATE,13
47,DEV_MIDDLE,14
48,DEV_EARLY,14
48,DEV_LATE,13
48,DEV_MIDDLE,14
50,DEV_EARLY,14
50,DEV_LATE,13
50,DEV_MIDDLE,14
51,DEV_EARLY,14
51,DEV_LATE,13
51,DEV_MIDDLE,14
52,DEV_EARLY,14
52,DEV_LATE,13
52,DEV_MIDDLE,14
53,DEV_EARLY,14
53,DEV_LATE,13
53,DEV_MIDDLE,14
54,DEV_EARLY,14
54,DEV_LATE,13
54,DEV_MIDDLE,14
55,DEV_EARLY,14
55,DEV_LATE,13
55,DEV_MIDDLE,14
57,DEV_EARLY,14
57,DEV_LATE,13
57,DEV_MIDDLE,14
6,DEV_EARLY,14
6,DEV_LATE,13
6,DEV_MIDDLE,14
60,DEV_EARLY,14
60,DEV_LATE,13
60,DEV_MIDDLE,14
61,DEV_EARLY,14
61,DEV_LATE,13
61,DEV_MIDDLE,14
63,DEV_EARLY,12
63,DEV_LATE,13
63,DEV_MIDDLE,14
68,DEV_EARLY,14
68,DEV_LATE,13
68,DEV_MIDDLE,14
7,DEV_EARLY,14
7,DEV_LATE,13
7,DEV_MIDDLE,14
71,DEV_EARLY,14
71,DEV_LATE,13
71,DEV_MIDDLE,14
72,DEV_EARLY,14
72,DEV_LATE,13
72,DEV_MIDDLE,14
76,DEV_EARLY,14
76,DEV_LATE,13
76,DEV_MIDDLE,14
77,DEV_EARLY,14
77,DEV_LATE,13
77,DEV_MIDDLE,14
78,DEV_EARLY,14
78,DEV_LATE,13
78,DEV_MIDDLE,14
80,DEV_EARLY,14
80,DEV_LATE,13
80,DEV_MIDDLE,14
81,DEV_EARLY,14
81,DEV_LATE,13
81,DEV_MIDDLE,14
86,DEV_EARLY,14
86,DEV_LATE,13
86,DEV_MIDDLE,14
89,DEV_EARLY,14
89,DEV_LATE,13
89,DEV_MIDDLE,14
9,DEV_EARLY,14
9,DEV_LATE,13
9,DEV_MIDDLE,14
90,DEV_EARLY,14
90,DEV_LATE,13
90,DEV_MIDDLE,14
92,DEV_EARLY,14
92,DEV_LATE,13
92,DEV_MIDDLE,14
96,DEV_EARLY,14
96,DEV_LATE,13
96,DEV_MIDDLE,14
97,DEV_EARLY,8
97,DEV_LATE,13
97,DEV_MIDDLE,14
98,DEV_EARLY,14
98,DEV_LATE,13
98,DEV_MIDDLE,14
