fold,train_splits,test_split,prototype_type,query_type,distance_metric,n_train_captures,n_train_daily_profiles,n_queries,all_missing_train_features,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank,median_true_rank
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,capture_median,capture,cosine,19098,900,20160,0,0.18854166666666666,0.17233411405715904,0.47693452380952384,0.3320821983372371,11.137748015873015,6.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,capture_median,capture,euclidean,19098,900,20160,0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,9.503869047619048,5.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,capture_median,daily_profile,cosine,19098,900,908,0,0.5484581497797357,0.5345412385403957,0.8226872246696035,0.6705623132211974,4.539647577092511,1.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,capture_median,daily_profile,euclidean,19098,900,908,0,0.5715859030837004,0.5609392693627043,0.8359030837004405,0.6903653530967357,4.342511013215859,1.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,daily_balanced_median,capture,cosine,19098,900,20160,0,0.18804563492063492,0.1717861827174619,0.46924603174603174,0.3296786167026242,11.45,6.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,daily_balanced_median,capture,euclidean,19098,900,20160,0,0.20143849206349207,0.19377266674714622,0.5191964285714286,0.35387404296950475,10.009027777777778,5.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,daily_balanced_median,daily_profile,cosine,19098,900,908,0,0.5319383259911894,0.5211978245569915,0.7951541850220264,0.6549380906665889,4.962555066079295,1.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,daily_balanced_median,daily_profile,euclidean,19098,900,908,0,0.5429515418502202,0.5365134950865792,0.8105726872246696,0.665711752628952,4.78193832599119,1.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,capture_median,capture,cosine,39258,1808,18658,0,0.19996784221245578,0.1861293959098272,0.5195626540893986,0.3518833910890505,10.590524171936972,5.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,capture_median,capture,euclidean,39258,1808,18658,0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,8.723175045556866,4.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,capture_median,daily_profile,cosine,39258,1808,845,0,0.6461538461538462,0.6219878718348086,0.8781065088757396,0.7490661431625367,4.233136094674556,1.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,capture_median,daily_profile,euclidean,39258,1808,845,0,0.6662721893491125,0.642765930077599,0.8863905325443787,0.7674432008206937,4.028402366863905,1.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,daily_balanced_median,capture,cosine,39258,1808,18658,0,0.19616250401972343,0.1833611818791364,0.5096473362632651,0.34573889863903023,10.791349555150605,5.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,daily_balanced_median,capture,euclidean,39258,1808,18658,0,0.22344302711973416,0.21864987566441033,0.5874155858076965,0.3875207109884971,8.950852181369921,4.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,daily_balanced_median,daily_profile,cosine,39258,1808,845,0,0.6284023668639053,0.6036652824751622,0.8733727810650888,0.732851817946693,4.474556213017752,1.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,daily_balanced_median,daily_profile,euclidean,39258,1808,845,0,0.6307692307692307,0.6054078753615121,0.8792899408284024,0.7407385074905756,4.352662721893491,1.0
