fold,prototype_type,query_type,distance_metric,site_label,n_queries,top1_accuracy,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,0,300,0.09666666666666666,0.41,0.2513424652599041,8.956666666666667
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,10,326,0.18098159509202455,0.5214723926380368,0.3394144889715267,11.742331288343559
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,102,317,0.28391167192429023,0.6403785488958991,0.4440311612606833,6.182965299684542
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,104,327,0.07033639143730887,0.23853211009174313,0.17745099082791038,21.840978593272173
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,105,243,0.12757201646090535,0.49382716049382713,0.2996963399765066,6.8765432098765435
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,106,288,0.09375,0.6631944444444444,0.3283408431845932,4.909722222222222
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,107,282,0.024822695035460994,0.2553191489361702,0.15625491036502495,11.861702127659575
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,108,311,0.7684887459807074,0.77491961414791,0.7792218206466658,7.491961414790997
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,109,325,0.15692307692307692,0.4646153846153846,0.30724803463848477,7.2615384615384615
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,11,316,0.4778481012658228,0.7088607594936709,0.5855162381290453,8.64873417721519
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,110,209,0.27751196172248804,0.7751196172248804,0.4301712191373886,7.440191387559809
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,113,327,0.14067278287461774,0.41284403669724773,0.2871014449081713,8.883792048929664
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,117,321,0.40498442367601245,1.0,0.6770508826583592,1.7476635514018692
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,12,328,0.0,0.15548780487804878,0.10287683170082029,19.789634146341463
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,14,276,0.25,0.4311594202898551,0.35103553087229883,13.355072463768115
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,18,328,0.0701219512195122,0.39939024390243905,0.22759165899201428,21.609756097560975
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,2,327,0.4617737003058104,0.9143730886850153,0.6205125744116571,2.636085626911315
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,21,329,0.17325227963525835,0.47416413373860183,0.3260905139293013,9.610942249240122
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,24,245,0.3795918367346939,0.5877551020408164,0.4846635262290036,5.820408163265306
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,25,333,0.33633633633633636,0.46846846846846846,0.42551757260126816,10.0
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,27,332,0.1144578313253012,0.4066265060240964,0.25191021798426466,17.129518072289155
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,28,326,0.41411042944785276,0.5920245398773006,0.51642519460771,4.711656441717792
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,29,329,0.0364741641337386,0.10030395136778116,0.10227904132286571,25.075987841945288
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,31,272,0.3014705882352941,0.8051470588235294,0.5102337613367025,3.4926470588235294
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,34,315,0.08571428571428572,0.2634920634920635,0.19206429501261865,18.406349206349205
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,35,329,0.13069908814589665,0.39209726443769,0.26804223775684743,10.939209726443769
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,36,323,0.3993808049535604,0.5572755417956656,0.4934984978244606,7.739938080495356
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,37,333,0.1021021021021021,0.26426426426426425,0.20960939042212054,15.84084084084084
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,39,325,0.29846153846153844,0.6030769230769231,0.4517963044556747,5.212307692307692
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,40,323,0.018575851393188854,0.28173374613003094,0.14715029137165606,22.20123839009288
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,41,253,0.391304347826087,0.6798418972332015,0.5311686288368255,6.517786561264822
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,42,320,0.06875,0.6875,0.3191756854256854,4.615625
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,43,316,0.38924050632911394,0.6993670886075949,0.5470247930690969,3.661392405063291
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,45,297,0.11447811447811448,0.2996632996632997,0.22011509212887748,22.48148148148148
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,46,305,0.003278688524590164,0.4163934426229508,0.18646202907774748,7.547540983606558
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,47,326,0.05521472392638037,0.34049079754601225,0.1964282388036248,11.184049079754601
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,48,314,0.0,0.0,0.054340639040021725,19.14968152866242
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,50,326,0.0,0.02147239263803681,0.06973669945317523,19.116564417177916
A_EARLY_TO_MIDDLE,capture_median,capture,cosine,51,266,0.16165413533834586,0.6127819548872181,0.36402264012185553,4.7443609022556394
