fold,train_splits,test_split,prototype_method,distance_metric,n_train_captures,n_train_daily_profiles,n_queries,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank,median_true_rank,static_accuracy,static_macro_f1,static_top5,static_mrr,delta_accuracy_vs_static,delta_macro_f1_vs_static,delta_top5_vs_static,delta_mrr_vs_static
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,static_capture_median,euclidean,19098,900,20160,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,9.503869047619048,5.0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,0.0,0.0,0.0,0.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,all_days_median,euclidean,19098,900,20160,0.20143849206349207,0.19377266674714622,0.5191964285714286,0.35387404296950475,10.009027777777778,5.0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,-0.008928571428571425,-0.011117445106098134,-0.017956349206349254,-0.009531761847284104
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,recent_7_days_median,euclidean,19098,900,20160,0.2048611111111111,0.20021248983799925,0.4972718253968254,0.3480242174111106,10.671676587301587,6.0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,-0.005505952380952389,-0.004677622015245103,-0.039880952380952406,-0.015381587405678243
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,recent_3_days_median,euclidean,19098,900,20160,0.20203373015873016,0.19744069120886257,0.46056547619047616,0.3341825134169077,12.472420634920635,7.0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,-0.008333333333333331,-0.007449420644381782,-0.07658730158730165,-0.02922329139988117
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,last_day,euclidean,19098,900,20160,0.18120039682539682,0.1791558090005212,0.4459325396825397,0.3141781877846157,12.98735119047619,7.0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,-0.029166666666666674,-0.025734302852723157,-0.0912202380952381,-0.049227617032173154
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,linear_trend,euclidean,19098,900,20160,0.1847718253968254,0.1851700824717627,0.476984126984127,0.32622014408548483,12.662847222222222,6.0,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,-0.025595238095238088,-0.019720029381481652,-0.0601686507936508,-0.03718566073130403
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,static_capture_median,euclidean,39258,1808,18658,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,8.723175045556866,4.0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,0.0,0.0,0.0,0.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,all_days_median,euclidean,39258,1808,18658,0.22344302711973416,0.21864987566441033,0.5874155858076965,0.3875207109884971,8.950852181369921,4.0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,-0.002626219316111067,-0.003719724571081745,-0.0030013935041268702,-0.004344473740761634
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,recent_7_days_median,euclidean,39258,1808,18658,0.2560831814771144,0.24981349465025368,0.6059599099581949,0.4189665500463888,7.22483653124665,4.0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,0.030013935041269174,0.02744389441476161,0.015542930646371578,0.027101365317130033
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,recent_3_days_median,euclidean,39258,1808,18658,0.2367885089505842,0.22880249890623836,0.5735877371636832,0.3950282281043152,8.078143423732447,4.0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,0.01071926251473898,0.006432898670746284,-0.01682924214814019,0.0031630433750564624
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,last_day,euclidean,39258,1808,18658,0.2229070639939972,0.21599929646608296,0.532693750669954,0.3709040569052234,9.051666845321042,5.0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,-0.003162182441848016,-0.006370303769409114,-0.057723228641869406,-0.020961127824035364
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,linear_trend,euclidean,39258,1808,18658,0.2548504662879194,0.24040367467300766,0.5838782291778326,0.40803519227652146,9.220495229928181,4.0,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,0.028781219852074186,0.01803407443751559,-0.006538750133990745,0.01617000754726272
