fold,train_splits,test_split,prototype_method,distance_metric,n_train_captures,n_train_daily_profiles,n_queries,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank,median_true_rank
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,static_capture_median,euclidean,19098,900,20160,0.2103670634920635,0.20489011185324435,0.5371527777777778,0.36340580481678886,9.503869047619048,5.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,all_days_median,euclidean,19098,900,20160,0.20143849206349207,0.19377266674714622,0.5191964285714286,0.35387404296950475,10.009027777777778,5.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,recent_7_days_median,euclidean,19098,900,20160,0.2048611111111111,0.20021248983799925,0.4972718253968254,0.3480242174111106,10.671676587301587,6.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,recent_3_days_median,euclidean,19098,900,20160,0.20203373015873016,0.19744069120886257,0.46056547619047616,0.3341825134169077,12.472420634920635,7.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,last_day,euclidean,19098,900,20160,0.18120039682539682,0.1791558090005212,0.4459325396825397,0.3141781877846157,12.98735119047619,7.0
A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,linear_trend,euclidean,19098,900,20160,0.1847718253968254,0.1851700824717627,0.476984126984127,0.32622014408548483,12.662847222222222,6.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,static_capture_median,euclidean,39258,1808,18658,0.22606924643584522,0.22236960023549207,0.5904169793118234,0.39186518472925874,8.723175045556866,4.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,all_days_median,euclidean,39258,1808,18658,0.22344302711973416,0.21864987566441033,0.5874155858076965,0.3875207109884971,8.950852181369921,4.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,recent_7_days_median,euclidean,39258,1808,18658,0.2560831814771144,0.24981349465025368,0.6059599099581949,0.4189665500463888,7.22483653124665,4.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,recent_3_days_median,euclidean,39258,1808,18658,0.2367885089505842,0.22880249890623836,0.5735877371636832,0.3950282281043152,8.078143423732447,4.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,last_day,euclidean,39258,1808,18658,0.2229070639939972,0.21599929646608296,0.532693750669954,0.3709040569052234,9.051666845321042,5.0
B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,linear_trend,euclidean,39258,1808,18658,0.2548504662879194,0.24040367467300766,0.5838782291778326,0.40803519227652146,9.220495229928181,4.0
