fold,model,seed,train_splits,test_split,context_days,n_train_queries,n_test_queries,train_loss,fit_seconds,parameters,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank,median_true_rank,n_train_context_dates
A_EARLY_TO_MIDDLE,base_mlp,11,DEV_EARLY,DEV_MIDDLE,0,9976,20160,1.0022974410053245,1.0454320229473524,12609,0.6150297619047619,0.6056050540729992,0.8889880952380952,0.7350553219361083,3.8692460317460315,1.0,
A_EARLY_TO_MIDDLE,ltd_temporal_pair,11,DEV_EARLY,DEV_MIDDLE,7,9976,20160,0.7776518765039317,2.0053772699902765,116865,0.6227678571428571,0.609645914471476,0.8976190476190476,0.7424329981702692,3.704265873015873,1.0,7.0
A_EARLY_TO_MIDDLE,base_mlp,42,DEV_EARLY,DEV_MIDDLE,0,9976,20160,1.0229893257451612,0.3581397589878179,12609,0.6157242063492063,0.6057501415623779,0.8885912698412698,0.7349398006214807,3.821875,1.0,
A_EARLY_TO_MIDDLE,ltd_temporal_pair,42,DEV_EARLY,DEV_MIDDLE,7,9976,20160,0.7667039041650133,2.0025622219545767,116865,0.6034226190476191,0.5905652945733897,0.8875992063492063,0.7274992001075173,3.8663690476190475,1.0,7.0
A_EARLY_TO_MIDDLE,base_mlp,73,DEV_EARLY,DEV_MIDDLE,0,9976,20160,1.011276550071184,0.362857697007712,12609,0.6159722222222223,0.606941704097829,0.8894841269841269,0.735771954679783,3.7585317460317462,1.0,
A_EARLY_TO_MIDDLE,ltd_temporal_pair,73,DEV_EARLY,DEV_MIDDLE,7,9976,20160,0.7771431062409375,1.9860187449958175,116865,0.6060019841269841,0.5920844904082816,0.8906746031746032,0.7305247106978175,3.7012896825396826,1.0,7.0
B_EARLY_MIDDLE_TO_LATE,base_mlp,11,DEV_EARLY|DEV_MIDDLE,DEV_LATE,0,30136,18658,0.8275648163552939,1.097307103977073,12609,0.683406581627184,0.6701863705958044,0.9323078572194233,0.7910539199005371,2.113999356844249,1.0,
B_EARLY_MIDDLE_TO_LATE,ltd_temporal_pair,11,DEV_EARLY|DEV_MIDDLE,DEV_LATE,7,30136,18658,0.650435083979142,5.9595497389673255,116865,0.6992174938364241,0.6811416704154671,0.955193482688391,0.8070621124850855,1.8432307857219423,1.0,21.0
B_EARLY_MIDDLE_TO_LATE,base_mlp,42,DEV_EARLY|DEV_MIDDLE,DEV_LATE,0,30136,18658,0.8132864205185981,1.078940796025563,12609,0.6837817558152,0.6711060447027976,0.9323078572194233,0.7914283398455773,2.1184478507878657,1.0,
B_EARLY_MIDDLE_TO_LATE,ltd_temporal_pair,42,DEV_EARLY|DEV_MIDDLE,DEV_LATE,7,30136,18658,0.6384893691497042,5.928963975980878,116865,0.6794404544967306,0.6633325994220314,0.9546039232500804,0.7956905846261408,1.9020259406152857,1.0,21.0
B_EARLY_MIDDLE_TO_LATE,base_mlp,73,DEV_EARLY|DEV_MIDDLE,DEV_LATE,0,30136,18658,0.8134705579689082,1.0866499720141292,12609,0.6766534462428985,0.6652272786368197,0.9322006645942759,0.7877446518420401,2.119466180726766,1.0,
B_EARLY_MIDDLE_TO_LATE,ltd_temporal_pair,73,DEV_EARLY|DEV_MIDDLE,DEV_LATE,7,30136,18658,0.6663667548913632,5.459162170009222,116865,0.6674884767927967,0.6478240840074925,0.9459213206131418,0.7861798391598293,1.9452245685496838,1.0,21.0
