fold,site_label,n_queries,xgb_accuracy,ltd_accuracy,ltd_only_rescues,xgb_only_correct,both_wrong,mean_xgb_true_rank,mean_ltd_true_rank
A_EARLY_TO_MIDDLE,0,300,0.8066666666666666,0.7366666666666667,22,43,36,1.5,1.77
A_EARLY_TO_MIDDLE,10,326,0.6411042944785276,0.27300613496932513,2,122,115,1.8957055214723926,2.9079754601226995
A_EARLY_TO_MIDDLE,102,317,0.5141955835962145,0.5678233438485805,32,15,122,7.239747634069401,3.728706624605678
A_EARLY_TO_MIDDLE,104,327,0.6850152905198776,0.22629969418960244,10,160,93,1.9357798165137614,3.8685015290519877
A_EARLY_TO_MIDDLE,105,243,0.8559670781893004,0.7613168724279835,12,35,23,1.1893004115226338,1.6419753086419753
A_EARLY_TO_MIDDLE,106,288,0.875,0.7291666666666666,19,61,17,1.1631944444444444,1.4340277777777777
A_EARLY_TO_MIDDLE,107,282,0.7624113475177305,0.6347517730496454,20,56,47,1.570921985815603,1.7304964539007093
A_EARLY_TO_MIDDLE,108,311,0.9614147909967846,0.954983922829582,8,10,4,1.0803858520900322,1.1221864951768488
A_EARLY_TO_MIDDLE,109,325,0.8430769230769231,0.7046153846153846,29,74,22,1.2953846153846154,1.4246153846153846
A_EARLY_TO_MIDDLE,11,316,0.8512658227848101,0.8037974683544303,14,29,33,1.490506329113924,1.6898734177215189
A_EARLY_TO_MIDDLE,110,209,0.8516746411483254,0.6842105263157895,10,45,21,1.3779904306220097,3.411483253588517
A_EARLY_TO_MIDDLE,113,327,0.8685015290519877,0.7064220183486238,15,68,28,1.217125382262997,1.4036697247706422
A_EARLY_TO_MIDDLE,117,321,0.6137071651090342,0.2398753894080997,13,133,111,1.5327102803738317,2.283489096573209
A_EARLY_TO_MIDDLE,12,328,0.7408536585365854,0.5670731707317073,13,70,72,1.7774390243902438,2.198170731707317
A_EARLY_TO_MIDDLE,14,276,0.4746376811594203,0.3442028985507246,16,52,129,4.61231884057971,6.528985507246377
A_EARLY_TO_MIDDLE,18,328,0.8414634146341463,0.8323170731707317,26,29,26,1.4847560975609757,1.5121951219512195
A_EARLY_TO_MIDDLE,2,327,0.926605504587156,0.9724770642201835,17,2,7,1.1314984709480123,1.039755351681957
A_EARLY_TO_MIDDLE,21,329,0.8449848024316109,0.6474164133738601,10,75,41,1.4741641337386018,2.13677811550152
A_EARLY_TO_MIDDLE,24,245,0.8122448979591836,0.7183673469387755,19,42,27,1.3877551020408163,1.546938775510204
A_EARLY_TO_MIDDLE,25,333,0.9279279279279279,0.8198198198198198,9,45,15,1.1441441441441442,1.4744744744744744
A_EARLY_TO_MIDDLE,27,332,0.8012048192771084,0.7048192771084337,28,60,38,1.7198795180722892,1.7710843373493976
A_EARLY_TO_MIDDLE,28,326,0.21779141104294478,0.8957055214723927,222,1,33,12.822085889570552,1.3680981595092025
A_EARLY_TO_MIDDLE,29,329,0.25227963525835867,0.1702127659574468,3,30,243,4.310030395136778,26.243161094224924
A_EARLY_TO_MIDDLE,31,272,0.9375,0.7610294117647058,6,54,11,1.1397058823529411,1.4558823529411764
A_EARLY_TO_MIDDLE,34,315,0.8507936507936508,0.8158730158730159,11,22,36,1.6031746031746033,2.4095238095238094
A_EARLY_TO_MIDDLE,35,329,0.8844984802431611,0.8693009118541033,18,23,20,1.446808510638298,1.4346504559270516
A_EARLY_TO_MIDDLE,36,323,0.9504643962848297,0.9195046439628483,11,21,5,1.1981424148606812,1.1640866873065014
A_EARLY_TO_MIDDLE,37,333,0.7657657657657657,0.6246246246246246,19,66,59,1.5705705705705706,1.8138138138138138
A_EARLY_TO_MIDDLE,39,325,0.8276923076923077,0.7261538461538461,14,47,42,1.4953846153846153,1.643076923076923
A_EARLY_TO_MIDDLE,40,323,0.7708978328173375,0.4520123839009288,3,106,71,1.5510835913312693,3.801857585139319
A_EARLY_TO_MIDDLE,41,253,0.8221343873517787,0.8853754940711462,21,5,24,1.7351778656126482,1.7075098814229248
A_EARLY_TO_MIDDLE,42,320,0.809375,0.66875,23,68,38,1.415625,1.58125
A_EARLY_TO_MIDDLE,43,316,0.8860759493670886,0.6962025316455697,15,75,21,1.1962025316455696,1.4778481012658229
A_EARLY_TO_MIDDLE,45,297,0.6060606060606061,0.4444444444444444,26,74,91,2.3097643097643097,3.2356902356902357
A_EARLY_TO_MIDDLE,46,305,0.42295081967213116,0.07868852459016394,12,117,164,1.9737704918032788,6.773770491803279
A_EARLY_TO_MIDDLE,47,326,0.7392638036809815,0.6595092024539877,34,60,51,1.5122699386503067,1.6042944785276074
A_EARLY_TO_MIDDLE,48,314,0.1624203821656051,0.13694267515923567,26,34,237,3.171974522292994,5.277070063694268
