fold,date,n_queries,delta_accuracy,delta_macro_f1,delta_top5_accuracy,delta_mrr
A_EARLY_TO_MIDDLE,2025-12-02,1454,0.008253094910591563,0.008104818267640646,0.004126547455295726,0.007423349041299487
A_EARLY_TO_MIDDLE,2025-12-03,1410,0.017021276595744705,0.014464934094562287,-0.0014184397163120588,0.01056981007815938
A_EARLY_TO_MIDDLE,2025-12-04,1459,0.014393420150788261,0.005773645592951349,-0.002741603838245399,0.006024272444288603
A_EARLY_TO_MIDDLE,2025-12-05,1436,0.0013927576601671099,-0.006875245126641838,-0.009052924791086325,-0.004299323047840087
A_EARLY_TO_MIDDLE,2025-12-06,1434,0.015341701534170138,0.011296013819261375,-0.01324965132496514,0.004254578518979035
A_EARLY_TO_MIDDLE,2025-12-07,1460,0.005479452054794609,-3.5297758057994955e-05,-0.008219178082191747,0.0041626702533349436
A_EARLY_TO_MIDDLE,2025-12-08,1447,0.011748445058742174,0.003971210430705141,-0.0214236351071182,0.0003936246939281185
A_EARLY_TO_MIDDLE,2025-12-09,1458,0.003429355281207136,-0.004810711412519875,-0.02263374485596703,-0.002312833408069981
A_EARLY_TO_MIDDLE,2025-12-10,1426,0.0042075736325385416,-0.0009834237571481053,-0.016830294530154277,0.0005504563362372927
A_EARLY_TO_MIDDLE,2025-12-11,1422,0.0007032348804500987,-0.006334550990269694,-0.020393811533051975,-0.005064965540025557
A_EARLY_TO_MIDDLE,2025-12-12,1428,0.0007002801120448154,-0.007099398128641465,-0.011904761904761862,-0.0029227968587811626
A_EARLY_TO_MIDDLE,2025-12-13,1427,0.017519271198318087,0.010561968310214054,-0.011913104414856268,0.005946679720992387
A_EARLY_TO_MIDDLE,2025-12-14,1418,0.012693935119887256,0.004660811156343314,-0.01833568406205932,0.0033775922443542994
A_EARLY_TO_MIDDLE,2025-12-15,1481,0.002025658338960179,-0.0060582986083997925,-0.01282916948008106,-0.0007343568026603187
B_EARLY_MIDDLE_TO_LATE,2025-12-16,1433,0.03070481507327283,0.0315821783301905,0.006978367062107416,0.022079141022820603
B_EARLY_MIDDLE_TO_LATE,2025-12-17,1429,0.02099370188943317,0.02099250468999203,0.01049685094471664,0.016924150090479873
B_EARLY_MIDDLE_TO_LATE,2025-12-18,1406,0.01849217638691325,0.017562189959018037,0.013513513513513487,0.015795087574865696
B_EARLY_MIDDLE_TO_LATE,2025-12-19,1426,0.04067321178120609,0.04146173087017002,0.018232819074333828,0.029656771837943352
B_EARLY_MIDDLE_TO_LATE,2025-12-20,1451,0.026878015161957314,0.02571831005710845,0.01860785665058584,0.02004268290254063
B_EARLY_MIDDLE_TO_LATE,2025-12-21,1408,0.027698863636363646,0.024472188324550226,0.019886363636363646,0.022020873458588608
B_EARLY_MIDDLE_TO_LATE,2025-12-22,1403,0.030648610121168818,0.03379039778355519,0.022808267997148968,0.025058052131493036
B_EARLY_MIDDLE_TO_LATE,2025-12-23,1433,0.032798325191905064,0.03386221807466194,0.016748080949057886,0.026032999566820814
B_EARLY_MIDDLE_TO_LATE,2025-12-24,1467,0.027948193592365334,0.027207370497187244,0.02999318336741641,0.024638916508664788
B_EARLY_MIDDLE_TO_LATE,2025-12-25,1474,0.034599728629579385,0.03287030771281596,0.019674355495250984,0.028671368575790446
B_EARLY_MIDDLE_TO_LATE,2025-12-26,1434,0.02092050209205021,0.020079652417628324,0.019525801952580246,0.02065532760914368
B_EARLY_MIDDLE_TO_LATE,2025-12-27,1439,0.0194579569145239,0.01897291098713938,0.018763029881862403,0.01571080554436144
B_EARLY_MIDDLE_TO_LATE,2025-12-28,1455,0.02130584192439866,0.024312076017104833,0.021993127147766356,0.018371018413069207
