alpha,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
0.0,0.736904761904762,0.7311043494324135,0.9327876984126984,0.8223490763797722,2.798313492063492
0.025,0.7365079365079366,0.7300508651935644,0.9326388888888889,0.8223272808659365,2.8407242063492064
0.05,0.7373015873015873,0.73029973789112,0.9315476190476191,0.8227888109028282,2.8478670634920635
0.075,0.7375496031746032,0.7299795325980211,0.9305555555555556,0.8229253483642659,2.842609126984127
0.1,0.7384424603174603,0.7301431839687128,0.9297123015873016,0.8233788543765737,2.8366567460317462
0.125,0.7399801587301588,0.731224627982401,0.9295138888888889,0.8238897595679866,2.8357638888888888
0.15,0.7404265873015873,0.7311120710236853,0.9290178571428571,0.8238981914638953,2.838244047619048
0.175,0.740922619047619,0.7312482439729819,0.9279265873015873,0.8241226042478036,2.843204365079365
0.2,0.7411210317460317,0.7310989440146158,0.9274801587301588,0.8241822940671176,2.847718253968254
0.225,0.7418650793650794,0.7316982965999349,0.9265376984126984,0.8242727426366728,2.859920634920635
0.25,0.7424603174603175,0.7322810194365627,0.9257440476190476,0.8243326342292784,2.872172619047619
0.275,0.743204365079365,0.7330710267783935,0.9244543650793651,0.8245088332941894,2.8857142857142857
0.3,0.7443948412698412,0.7341889305437944,0.9233134920634921,0.8247335792722049,2.9030257936507935
0.325,0.7444940476190476,0.7343923885646058,0.9220734126984127,0.8244405380302562,2.924702380952381
0.35,0.7449404761904762,0.7348412275175225,0.9212301587301587,0.8245394419875475,2.9439484126984126
0.375,0.7450892857142857,0.7349760641734705,0.9208829365079365,0.8242977453513908,2.9680555555555554
0.4,0.7446924603174603,0.7346301266708355,0.9201388888888888,0.8239634173244498,2.9931051587301587
0.425,0.743452380952381,0.7333032060949388,0.9194940476190476,0.8231736046074498,3.0197420634920635
0.45,0.7431547619047619,0.7329726261087097,0.9190972222222222,0.8228310557338354,3.047123015873016
0.475,0.743452380952381,0.7331232635580762,0.9193948412698413,0.8228376605932927,3.0737103174603173
0.5,0.743204365079365,0.7328893368972278,0.9197916666666667,0.8225107889743254,3.1000992063492063
0.525,0.7426587301587302,0.7324096378732396,0.9196924603174603,0.8219586111522014,3.124355158730159
0.55,0.7411210317460317,0.7310142896397313,0.9197420634920634,0.8208667226985399,3.152579365079365
0.575,0.7404265873015873,0.7301401196533766,0.9191964285714286,0.8201530499115961,3.178720238095238
0.6,0.7390873015873016,0.7286754889328558,0.9182043650793651,0.8191616845613439,3.203670634920635
0.625,0.7377976190476191,0.7273472204202934,0.9178075396825397,0.8180906502583303,3.2294642857142857
0.65,0.7347718253968254,0.7241980215228268,0.9178571428571428,0.8161059724570823,3.254265873015873
0.675,0.7320436507936507,0.7216120801614132,0.9163690476190476,0.8142917014677821,3.280952380952381
0.7,0.7291170634920635,0.7185337065010988,0.915079365079365,0.8122275418786594,3.306994047619048
0.725,0.7259920634920635,0.7154266411147772,0.9142361111111111,0.8099065966798947,3.3335813492063493
0.75,0.7221726190476191,0.7113035052627243,0.9133928571428571,0.8074398881446516,3.359126984126984
0.775,0.7173115079365079,0.7064524028485247,0.9119047619047619,0.8042216126625522,3.3898809523809526
0.8,0.7129960317460318,0.7019541684205585,0.9106646825396826,0.8013010673479625,3.4171130952380953
0.825,0.7074404761904762,0.6963181915457705,0.9092757936507937,0.7976839528266714,3.4450396825396825
0.85,0.7017361111111111,0.690333242432959,0.9077380952380952,0.7938723285322612,3.4744047619047618
0.875,0.6964285714285714,0.6850996987867491,0.9056051587301587,0.7901953239796571,3.503720238095238
0.9,0.6891369047619048,0.6773801837975616,0.9037698412698413,0.7853776923512821,3.53531746031746
0.925,0.6795138888888889,0.6673469123924101,0.9024305555555555,0.7791463306179983,3.5725694444444445
0.95,0.6707341269841269,0.6582009427965244,0.9010416666666666,0.7734546623683884,3.607390873015873
0.975,0.6611111111111111,0.6481560527307044,0.8988095238095238,0.7669141721494095,3.6458829365079364
1.0,0.6490575396825397,0.6358061966019541,0.8975198412698413,0.759115047616543,3.697420634920635
