fold,group,value,n,xgb_accuracy,ltd_accuracy,fusion_accuracy,delta_fusion_vs_xgb,fusion_only_correct_n,xgb_only_correct_n,fusion_net_correct_n,ltd_only_correct_n,rescue_rate_given_xgb_wrong,damage_rate_given_xgb_correct,xgb_mean_margin,xgb_mean_entropy,ltd_mean_margin,disagreement_rate
A_EARLY_TO_MIDDLE,overall,all,20160,0.736904761904762,0.6490575396825397,0.7450892857142857,0.008184523809523725,766,601,165,1598,0.14441930618401205,0.04045503500269251,0.6448511121702217,0.2003856012660368,0.47666267771401144,0.3481646825396825
A_EARLY_TO_MIDDLE,xgb_margin_bin,Q1_lowest,4032,0.34970238095238093,0.37177579365079366,0.3950892857142857,0.04538690476190477,563,380,183,860,0.2147215865751335,0.2695035460992908,0.12026907032307622,0.4301973407757432,0.31614639616324375,0.6989087301587301
A_EARLY_TO_MIDDLE,xgb_margin_bin,Q2,4032,0.576140873015873,0.4660218253968254,0.578125,0.001984126984126977,183,175,8,506,0.10708016383850205,0.07533362031855359,0.43496167717320433,0.3131182091976648,0.3457031192407656,0.5126488095238095
A_EARLY_TO_MIDDLE,xgb_margin_bin,Q3,4032,0.8182043650793651,0.6433531746031746,0.8127480158730159,-0.005456349206349187,20,42,-22,177,0.027285129604365622,0.012731130645650197,0.7503143574281167,0.17734831529325018,0.42896420257443785,0.31398809523809523
A_EARLY_TO_MIDDLE,xgb_margin_bin,Q4,4032,0.9461805555555556,0.8149801587301587,0.9451884920634921,-0.0009920634920634885,0,4,-4,51,0.0,0.0010484927916120576,0.9296773821407687,0.06675562474736542,0.5471923299943221,0.16741071428571427
A_EARLY_TO_MIDDLE,xgb_margin_bin,Q5_highest,4032,0.9942956349206349,0.949156746031746,0.9942956349206349,0.0,0,0,0,4,0.0,0.0,0.9890330737859426,0.01450851631616035,0.745307340597288,0.047867063492063495
A_EARLY_TO_MIDDLE,model_disagreement,agree,13141,0.8741343885549046,0.8741343885549046,0.8741343885549046,0.0,0,0,0,0,0.0,0.0,0.7646657079663997,0.13817003567053382,0.5816169381462228,0.0
A_EARLY_TO_MIDDLE,model_disagreement,disagree,7019,0.4799829035475139,0.22766775894001995,0.5034905257159139,0.023507622168400022,766,601,165,1598,0.20986301369863014,0.178391214010092,0.4205337445455495,0.31686583313532074,0.2801668896616264,1.0
A_EARLY_TO_MIDDLE,xgb_margin_bin_disagreement,Q1_lowest,2818,0.2735982966643009,0.30518097941802697,0.3385379701916253,0.06493967352732438,563,380,183,860,0.27503663898387887,0.49286640726329445,0.11523623709389087,0.4466096043262668,0.3017533755746491,1.0
A_EARLY_TO_MIDDLE,xgb_margin_bin_disagreement,Q2,2067,0.459603289791969,0.2447992259313014,0.46347363328495406,0.00387034349298504,183,175,8,506,0.1638316920322292,0.18421052631578946,0.4270314280850246,0.32390332827503565,0.2780218836832269,1.0
A_EARLY_TO_MIDDLE,xgb_margin_bin_disagreement,Q3,1266,0.6966824644549763,0.13981042654028436,0.6793048973143759,-0.017377567140600347,20,42,-22,177,0.052083333333333336,0.047619047619047616,0.7366097966138433,0.19133104439668713,0.25405567398075585,1.0
A_EARLY_TO_MIDDLE,xgb_margin_bin_disagreement,Q4,675,0.8592592592592593,0.07555555555555556,0.8533333333333334,-0.00592592592592589,0,4,-4,51,0.0,0.006896551724137931,0.9211706923741709,0.07404727215765064,0.2534812514014818,1.0
A_EARLY_TO_MIDDLE,xgb_margin_bin_disagreement,Q5_highest,193,0.9637305699481865,0.02072538860103627,0.9637305699481865,0.0,0,0,0,4,0.0,0.0,0.9843443270320756,0.019793923980713127,0.2525638582213864,1.0
B_EARLY_MIDDLE_TO_LATE,overall,all,18658,0.7674455997427377,0.7158323507342694,0.794618930217601,0.027173330474863255,848,341,507,1438,0.19543673657524777,0.02381451218660521,0.6508577872536337,0.19432424323394812,0.5675825462606479,0.2942437560295852
B_EARLY_MIDDLE_TO_LATE,xgb_margin_bin,Q1_lowest,3592,0.38557906458797325,0.4373608017817372,0.4933184855233853,0.10773942093541206,626,239,387,807,0.28364295423652014,0.17256317689530687,0.12271281744338954,0.4174622539909659,0.3358291393227457,0.6430957683741648
B_EARLY_MIDDLE_TO_LATE,xgb_margin_bin,Q2,3702,0.6404646137223122,0.5615883306320908,0.6634251755807672,0.022960561858454964,169,84,85,441,0.12697220135236664,0.035428089413749475,0.43373620251081946,0.309635696869746,0.39559367648625204,0.43868179362506754
B_EARLY_MIDDLE_TO_LATE,xgb_margin_bin,Q3,3824,0.852510460251046,0.7301255230125523,0.8600941422594143,0.007583682008368231,45,16,29,162,0.0797872340425532,0.0049079754601227,0.7495301807017717,0.1764610539355239,0.5272876651713894,0.2554916317991632
B_EARLY_MIDDLE_TO_LATE,xgb_margin_bin,Q4,3747,0.9605017347211102,0.8841740058713637,0.9615692554043235,0.0010675206832132522,6,2,4,27,0.04054054054054054,0.0005557099194220616,0.9289038365105058,0.06680470839527496,0.7111863856209959,0.10621830797971711
B_EARLY_MIDDLE_TO_LATE,xgb_margin_bin,Q5_highest,3793,0.9765357237015555,0.9493804376482995,0.9770630108093857,0.0005272871078302321,2,0,2,1,0.02247191011235955,0.0,0.9887747551326523,0.0144481021632258,0.8536793226455301,0.04771948325863433
B_EARLY_MIDDLE_TO_LATE,model_disagreement,agree,13168,0.9050729040097205,0.9050729040097205,0.9050729040097205,0.0,0,0,0,0,0.0,0.0,0.7540943945455175,0.14319822994774353,0.6797574289007583,0.0
