fold,site_label,n,v1_accuracy,v2_accuracy,delta_accuracy,v2_only_correct_n,v1_only_correct_n
A_EARLY_TO_MIDDLE,0,300,0.83,0.8466666666666667,0.01666666666666672,5,0
A_EARLY_TO_MIDDLE,10,326,0.6042944785276073,0.6257668711656442,0.021472392638036908,8,1
A_EARLY_TO_MIDDLE,102,317,0.5488958990536278,0.5678233438485805,0.018927444794952675,6,0
A_EARLY_TO_MIDDLE,104,327,0.6146788990825688,0.6207951070336392,0.006116207951070374,12,10
A_EARLY_TO_MIDDLE,105,243,0.8930041152263375,0.8847736625514403,-0.008230452674897193,1,3
A_EARLY_TO_MIDDLE,106,288,0.8715277777777778,0.8506944444444444,-0.02083333333333337,0,6
A_EARLY_TO_MIDDLE,107,282,0.8014184397163121,0.8191489361702128,0.01773049645390068,12,7
A_EARLY_TO_MIDDLE,108,311,0.9646302250803859,0.9710610932475884,0.006430868167202508,2,0
A_EARLY_TO_MIDDLE,109,325,0.8492307692307692,0.8492307692307692,0.0,3,3
A_EARLY_TO_MIDDLE,11,316,0.870253164556962,0.879746835443038,0.009493670886076,4,1
A_EARLY_TO_MIDDLE,110,209,0.8421052631578947,0.8373205741626795,-0.004784688995215225,0,1
A_EARLY_TO_MIDDLE,113,327,0.8654434250764526,0.8990825688073395,0.033639143730886945,11,0
A_EARLY_TO_MIDDLE,117,321,0.6043613707165109,0.6043613707165109,0.0,0,0
A_EARLY_TO_MIDDLE,12,328,0.7835365853658537,0.801829268292683,0.018292682926829285,9,3
A_EARLY_TO_MIDDLE,14,276,0.4601449275362319,0.5,0.039855072463768126,12,1
A_EARLY_TO_MIDDLE,18,328,0.8628048780487805,0.8597560975609756,-0.0030487804878048808,3,4
A_EARLY_TO_MIDDLE,2,327,0.9510703363914373,0.9418960244648318,-0.00917431192660556,0,3
A_EARLY_TO_MIDDLE,21,329,0.8480243161094225,0.8419452887537994,-0.006079027355623157,3,5
A_EARLY_TO_MIDDLE,24,245,0.8693877551020408,0.8693877551020408,0.0,4,4
A_EARLY_TO_MIDDLE,25,333,0.918918918918919,0.9309309309309309,0.012012012012011963,5,1
A_EARLY_TO_MIDDLE,27,332,0.8343373493975904,0.8433734939759037,0.009036144578313254,6,3
A_EARLY_TO_MIDDLE,28,326,0.27300613496932513,0.3006134969325153,0.02760736196319019,9,0
A_EARLY_TO_MIDDLE,29,329,0.1702127659574468,0.1702127659574468,0.0,0,0
A_EARLY_TO_MIDDLE,31,272,0.9191176470588235,0.9264705882352942,0.007352941176470673,3,1
A_EARLY_TO_MIDDLE,34,315,0.8698412698412699,0.8603174603174604,-0.00952380952380949,1,4
A_EARLY_TO_MIDDLE,35,329,0.9300911854103343,0.9240121580547113,-0.006079027355623046,0,2
A_EARLY_TO_MIDDLE,36,323,0.9752321981424149,0.9752321981424149,0.0,0,0
A_EARLY_TO_MIDDLE,37,333,0.7597597597597597,0.7627627627627628,0.0030030030030030463,6,5
A_EARLY_TO_MIDDLE,39,325,0.8338461538461538,0.8307692307692308,-0.003076923076922977,1,2
A_EARLY_TO_MIDDLE,40,323,0.7151702786377709,0.7089783281733746,-0.006191950464396356,4,6
A_EARLY_TO_MIDDLE,41,253,0.8893280632411067,0.8932806324110671,0.0039525691699604515,3,2
A_EARLY_TO_MIDDLE,42,320,0.80625,0.80625,0.0,1,1
A_EARLY_TO_MIDDLE,43,316,0.8924050632911392,0.8987341772151899,0.006329113924050667,3,1
A_EARLY_TO_MIDDLE,45,297,0.6127946127946128,0.622895622895623,0.010101010101010166,11,8
A_EARLY_TO_MIDDLE,46,305,0.21639344262295082,0.22295081967213115,0.00655737704918033,7,5
A_EARLY_TO_MIDDLE,47,326,0.7975460122699386,0.7484662576687117,-0.04907975460122693,2,18
A_EARLY_TO_MIDDLE,48,314,0.1942675159235669,0.15286624203821655,-0.04140127388535034,2,15
A_EARLY_TO_MIDDLE,50,326,0.8957055214723927,0.8711656441717791,-0.024539877300613577,2,10
A_EARLY_TO_MIDDLE,51,266,0.8759398496240601,0.8834586466165414,0.007518796992481258,4,2
A_EARLY_TO_MIDDLE,52,325,0.8676923076923077,0.8584615384615385,-0.009230769230769154,1,4
A_EARLY_TO_MIDDLE,53,326,0.9478527607361963,0.9478527607361963,0.0,2,2
