fold,date,n,delta_accuracy,delta_macro_f1,delta_top5_accuracy,delta_mrr
A_EARLY_TO_MIDDLE,2025-12-02,1454,0.004126547455295726,0.003513398670293877,-0.0020632737276479185,0.0030193642899970508
A_EARLY_TO_MIDDLE,2025-12-03,1410,0.007801418439716268,0.009162490857045347,0.0,0.005041695240792676
A_EARLY_TO_MIDDLE,2025-12-04,1459,-0.001370801919122755,-0.0025099517585214226,0.002741603838245399,0.0007342612833016737
A_EARLY_TO_MIDDLE,2025-12-05,1436,0.0,-0.0014985364209347818,0.0006963788300835549,0.0016748002099745696
A_EARLY_TO_MIDDLE,2025-12-06,1434,-0.001394700139469962,-0.0017583603288037208,0.002789400278940035,0.00039367684627422683
A_EARLY_TO_MIDDLE,2025-12-07,1460,0.004109589041095818,0.003151511736187551,0.002054794520547909,0.0030286344705817703
A_EARLY_TO_MIDDLE,2025-12-08,1447,-0.004146510020732519,-0.003757347596365368,0.004146510020732519,-0.00047396072249306087
A_EARLY_TO_MIDDLE,2025-12-09,1458,0.003429355281207136,0.004381106375632937,0.002057613168724215,0.00229174314490177
A_EARLY_TO_MIDDLE,2025-12-10,1426,0.004207573632538653,0.004596770157346608,0.008415147265077194,0.0033676754910242357
A_EARLY_TO_MIDDLE,2025-12-11,1422,0.0,-0.0011296887491698548,0.0035161744022502717,0.0020203108586086538
A_EARLY_TO_MIDDLE,2025-12-12,1428,-0.0021008403361344463,-0.002018352070905949,0.011204481792717047,0.0007939254476916346
A_EARLY_TO_MIDDLE,2025-12-13,1427,-0.004905395935529078,-0.00463885096010086,0.009810791871058155,7.87732823366305e-05
A_EARLY_TO_MIDDLE,2025-12-14,1418,0.0035260930888575404,0.0027167445670149837,0.0049365303244005565,0.002205108163490399
A_EARLY_TO_MIDDLE,2025-12-15,1481,0.0,-0.0009818251295119484,0.004726536124240344,0.00022202952686611876
B_EARLY_MIDDLE_TO_LATE,2025-12-16,1433,0.002791346824842944,0.0022860627853907856,0.002093510118632236,0.0022932396362265184
B_EARLY_MIDDLE_TO_LATE,2025-12-17,1429,0.0020993701889432392,0.0036190326487488544,-0.0013995801259621965,3.411451997481496e-05
B_EARLY_MIDDLE_TO_LATE,2025-12-18,1406,0.006401137980085347,0.005997584705573322,0.0007112375533429027,0.002869257726069052
B_EARLY_MIDDLE_TO_LATE,2025-12-19,1426,0.004908835904628317,0.005279150501711016,0.0007012622720897754,0.0032485669231813175
B_EARLY_MIDDLE_TO_LATE,2025-12-20,1451,0.003445899379738049,0.00431980902247231,0.000689179875947632,0.002160300454580155
B_EARLY_MIDDLE_TO_LATE,2025-12-21,1408,0.004971590909090828,0.00450257908603191,0.0014204545454545858,0.0030340638171665324
B_EARLY_MIDDLE_TO_LATE,2025-12-22,1403,-0.0007127583749108046,-0.0010055866853675433,-0.0014255167498218313,8.924075272043197e-05
B_EARLY_MIDDLE_TO_LATE,2025-12-23,1433,0.0006978367062108193,-0.0002159706605039391,-0.002093510118632236,-0.00010055793993235529
B_EARLY_MIDDLE_TO_LATE,2025-12-24,1467,0.0,-0.0011393524258770382,0.004089979550102263,0.0007715864803606864
B_EARLY_MIDDLE_TO_LATE,2025-12-25,1474,0.006105834464043336,0.00799904514477301,0.0013568521031207537,0.0014622287489236552
B_EARLY_MIDDLE_TO_LATE,2025-12-26,1434,0.0020920502092051096,0.004953624775909549,0.0,0.0014759647604838388
B_EARLY_MIDDLE_TO_LATE,2025-12-27,1439,0.006949270326615742,0.008340801731468228,-0.006254343293954134,0.003409873863389312
B_EARLY_MIDDLE_TO_LATE,2025-12-28,1455,0.004123711340206171,0.0052872393397296324,0.0006872852233676952,0.002702922989460399
