fold,split_type,query_date,n_valid_tokens,token_age_min,token_age_median,token_age_max,latest_profile_age_min,latest_profile_age_median,latest_profile_age_max
A_EARLY_TO_MIDDLE,train,2025-11-25,321,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,train,2025-11-26,322,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,train,2025-11-27,323,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,train,2025-11-28,324,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,train,2025-11-29,325,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,train,2025-11-30,325,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,train,2025-12-01,325,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,test,2025-12-02,325,1.0,3.0,5.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,test,2025-12-03,325,2.0,4.0,6.0,2.0,2.0,2.0
A_EARLY_TO_MIDDLE,test,2025-12-04,325,3.0,5.0,7.0,3.0,3.0,3.0
A_EARLY_TO_MIDDLE,test,2025-12-05,325,4.0,6.0,8.0,4.0,4.0,4.0
A_EARLY_TO_MIDDLE,test,2025-12-06,325,5.0,7.0,9.0,5.0,5.0,5.0
A_EARLY_TO_MIDDLE,test,2025-12-07,325,6.0,8.0,10.0,6.0,6.0,6.0
A_EARLY_TO_MIDDLE,test,2025-12-08,325,7.0,9.0,11.0,7.0,7.0,7.0
A_EARLY_TO_MIDDLE,test,2025-12-09,325,8.0,10.0,12.0,8.0,8.0,8.0
A_EARLY_TO_MIDDLE,test,2025-12-10,325,9.0,11.0,13.0,9.0,9.0,9.0
A_EARLY_TO_MIDDLE,test,2025-12-11,325,10.0,12.0,14.0,10.0,10.0,10.0
A_EARLY_TO_MIDDLE,test,2025-12-12,325,11.0,13.0,15.0,11.0,11.0,11.0
A_EARLY_TO_MIDDLE,test,2025-12-13,325,12.0,14.0,16.0,12.0,12.0,12.0
A_EARLY_TO_MIDDLE,test,2025-12-14,325,13.0,15.0,17.0,13.0,13.0,13.0
A_EARLY_TO_MIDDLE,test,2025-12-15,325,14.0,16.0,18.0,14.0,14.0,14.0
B_EARLY_MIDDLE_TO_LATE,train,2025-11-25,321,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-11-26,322,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-11-27,323,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-11-28,324,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-11-29,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-11-30,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-01,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-02,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-03,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-04,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-05,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-06,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-07,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-08,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-09,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-10,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-11,325,1.0,3.0,5.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-12,325,1.0,3.0,6.0,1.0,1.0,2.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-13,325,1.0,3.0,7.0,1.0,1.0,3.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-14,325,1.0,3.0,7.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,train,2025-12-15,325,1.0,3.0,7.0,1.0,1.0,1.0
B_EARLY_MIDDLE_TO_LATE,test,2025-12-16,325,1.0,3.0,7.0,1.0,1.0,1.0
