fold,date,n,delta_accuracy,delta_macro_f1,delta_top5_accuracy,delta_mrr,delta_mean_true_rank
A_EARLY_TO_MIDDLE,2025-12-02,1454,0.0006877579092159358,0.00022177286794167195,0.0,0.0010616131919433114,-0.005502063273727709
A_EARLY_TO_MIDDLE,2025-12-03,1410,-0.007801418439716268,-0.009135096017241384,-0.0021276595744681437,-0.004034551570945788,0.026950354609929006
A_EARLY_TO_MIDDLE,2025-12-04,1459,0.0,0.0014391157394577636,-0.006168608636052064,-0.0007051650541086696,0.025359835503769634
A_EARLY_TO_MIDDLE,2025-12-05,1436,0.0,0.00036776489917633715,-0.0027855153203342198,-0.0007112332272719568,0.026462395543175088
A_EARLY_TO_MIDDLE,2025-12-06,1434,-0.0069735006973501434,-0.006744408722711981,-0.0034867503486750717,-0.0060843315452415725,0.045327754532775266
A_EARLY_TO_MIDDLE,2025-12-07,1460,-0.007534246575342407,-0.007980112287465535,-0.002054794520547909,-0.005687024493675863,0.02534246575342447
A_EARLY_TO_MIDDLE,2025-12-08,1447,-0.0013821700069108767,-1.3882449489965865e-05,-0.004146510020732519,-0.0023014097351312657,0.027643400138216645
A_EARLY_TO_MIDDLE,2025-12-09,1458,-0.00137174211248281,-0.002706252353730676,-0.008230452674897082,-0.002194944749086658,0.08436213991769526
A_EARLY_TO_MIDDLE,2025-12-10,1426,-0.0014025245441795509,-0.002992565237165179,-0.008415147265077194,-0.0030844200875577155,0.08976157082748948
A_EARLY_TO_MIDDLE,2025-12-11,1422,-0.0021097046413502962,-0.0014652148308978985,-0.005625879043600568,-0.0040454491020658345,0.12869198312236252
A_EARLY_TO_MIDDLE,2025-12-12,1428,-0.0028011204481793728,-0.0023693444153977117,-0.014705882352941124,-0.004455011150426569,0.10574229691876758
A_EARLY_TO_MIDDLE,2025-12-13,1427,-0.00700770847932719,-0.00628054769651476,-0.009810791871058155,-0.0053297265535908744,0.09530483531885059
A_EARLY_TO_MIDDLE,2025-12-14,1418,-0.0035260930888575404,-0.0016762427481610276,-0.007052186177715081,-0.002610082168368666,0.016220028208744353
A_EARLY_TO_MIDDLE,2025-12-15,1481,0.006752194463200634,0.008870857807293353,-0.007427413909520508,0.0016792469702299195,0.044564483457123494
B_EARLY_MIDDLE_TO_LATE,2025-12-16,1433,-0.002791346824842944,-0.002109296967157892,-0.0013956734124215275,-0.0018326695402760551,0.007676203768318235
B_EARLY_MIDDLE_TO_LATE,2025-12-17,1429,-0.0013995801259621965,-0.0034427507112678724,0.0034989503149055468,0.0003573843074933247,-0.01469559132260323
B_EARLY_MIDDLE_TO_LATE,2025-12-18,1406,-0.005689900426742556,-0.00614154708809278,-0.0007112375533429027,-0.004346394768221629,0.010668563300142209
B_EARLY_MIDDLE_TO_LATE,2025-12-19,1426,-0.005610098176718092,-0.006130934688743261,-0.003506311360448766,-0.004953742340638723,0.03997194950911642
B_EARLY_MIDDLE_TO_LATE,2025-12-20,1451,-0.008270158511371473,-0.010883938677716642,-0.002756719503790528,-0.0043044328364796325,0.011716057891109521
B_EARLY_MIDDLE_TO_LATE,2025-12-21,1408,0.0007102272727272929,0.0005772391617219208,-0.0021306818181817677,-0.0005608934941320198,0.026988636363636465
B_EARLY_MIDDLE_TO_LATE,2025-12-22,1403,-0.0014255167498218313,-0.004184352178246753,-0.0007127583749109156,-0.001586778004229239,0.008553100498930988
B_EARLY_MIDDLE_TO_LATE,2025-12-23,1433,-0.004884856943475291,-0.005211233773021462,-0.002791346824842944,-0.001405599415430836,0.01953942777390094
B_EARLY_MIDDLE_TO_LATE,2025-12-24,1467,0.002044989775051187,0.00046601929071865555,-0.012269938650306678,0.00022756149380120938,0.03135650988411709
B_EARLY_MIDDLE_TO_LATE,2025-12-25,1474,-0.004748982360922582,-0.007315518848050373,-0.011533242876526462,-0.0024594865355355156,0.049525101763907786
B_EARLY_MIDDLE_TO_LATE,2025-12-26,1434,-0.004881450488145034,-0.007984760404441626,-0.01115760111576014,-0.005770159640452688,0.06485355648535562
B_EARLY_MIDDLE_TO_LATE,2025-12-27,1439,-0.006949270326615742,-0.009673536696501506,0.001389854065323215,-0.005810765907313442,0.061848505906879625
B_EARLY_MIDDLE_TO_LATE,2025-12-28,1455,-0.008934707903780148,-0.01085834872553626,-0.004810996563573866,-0.008420870753799825,0.09415807560137446
