fold,date,n,delta_accuracy,delta_macro_f1,delta_top5_accuracy,delta_mrr,delta_mean_true_rank
A_EARLY_TO_MIDDLE,2025-12-02,1454,-0.0020632737276479185,-0.004033114323005127,-0.0013755158184318717,-0.002172087336744566,0.02063273727647874
A_EARLY_TO_MIDDLE,2025-12-03,1410,-0.009929078014184411,-0.011713296571676968,0.0,-0.005511188243550902,0.0198581560283686
A_EARLY_TO_MIDDLE,2025-12-04,1459,-0.004797806716929309,-0.004565399522096003,0.0,-0.004330315480961855,0.03152844413982181
A_EARLY_TO_MIDDLE,2025-12-05,1436,-0.004178272980501441,-0.004893698098483279,-0.002089136490250665,-0.003583563135151513,0.04456824512534796
A_EARLY_TO_MIDDLE,2025-12-06,1434,-0.0069735006973501434,-0.00803623209755222,0.0,-0.004447908430917247,0.045327754532775266
A_EARLY_TO_MIDDLE,2025-12-07,1460,-0.003424657534246589,-0.0027598275161068164,-0.005479452054794498,-0.0040561536003913545,0.09657534246575361
A_EARLY_TO_MIDDLE,2025-12-08,1447,-0.004837595024188013,-0.005221778687318324,-0.0006910850034553828,-0.0035010045284130653,0.04975812024879023
A_EARLY_TO_MIDDLE,2025-12-09,1458,-0.002743484224965731,-0.004533443027427642,-0.003429355281207025,-0.0028527337105700434,0.07133058984910834
A_EARLY_TO_MIDDLE,2025-12-10,1426,-0.003506311360448877,-0.004135870817694953,-0.007012622720897643,-0.0029440848506719908,0.03295932678821867
A_EARLY_TO_MIDDLE,2025-12-11,1422,-0.007032348804500765,-0.007834545806929216,0.0007032348804500987,-0.0053878191629362915,0.04430379746835422
A_EARLY_TO_MIDDLE,2025-12-12,1428,-0.0056022408963586345,-0.006061446459413755,-0.0021008403361344463,-0.0038346172526331213,0.04481792717086819
A_EARLY_TO_MIDDLE,2025-12-13,1427,-0.0014015416958654825,-0.0008213223031847683,-0.002803083391730965,-0.0015639742308836135,0.06517168885774316
A_EARLY_TO_MIDDLE,2025-12-14,1418,-0.010578279266572732,-0.010660259064904087,-0.0007052186177715081,-0.004973004488916577,0.008462623413257653
A_EARLY_TO_MIDDLE,2025-12-15,1481,-0.002025658338960179,-0.0028866161637887133,0.0006752194463200967,-0.001541416943681706,0.006076975016880315
B_EARLY_MIDDLE_TO_LATE,2025-12-16,1433,-0.0006978367062107083,0.0005798732008576168,-0.0034891835310537633,-0.0006762118241533388,-0.002093510118632347
B_EARLY_MIDDLE_TO_LATE,2025-12-17,1429,-0.0020993701889432392,-0.002329365641928094,0.002799160251924393,0.000802051717695984,-0.032890132960111895
B_EARLY_MIDDLE_TO_LATE,2025-12-18,1406,0.0014224751066856944,0.002109643154293739,0.0,0.00042261201316917685,-0.017780938833570348
B_EARLY_MIDDLE_TO_LATE,2025-12-19,1426,0.0007012622720897754,-0.0004216089755442187,-0.0028050490883591017,0.00010270983313631632,0.014025245441795064
B_EARLY_MIDDLE_TO_LATE,2025-12-20,1451,-0.008270158511371473,-0.009878041058155818,-0.002756719503790528,-0.004785789675520791,0.028256374913852467
B_EARLY_MIDDLE_TO_LATE,2025-12-21,1408,0.0035511363636364646,0.003775584468473925,-0.0021306818181817677,0.0012162642045455696,0.014914772727272707
B_EARLY_MIDDLE_TO_LATE,2025-12-22,1403,0.002138275124732636,0.003382478379025833,-0.0014255167498218313,0.000258095037139916,0.010691375623663513
B_EARLY_MIDDLE_TO_LATE,2025-12-23,1433,-0.006280530355896707,-0.007150133820868598,-0.002093510118632236,-0.0036951982402703143,0.013258897418004345
B_EARLY_MIDDLE_TO_LATE,2025-12-24,1467,-0.0027266530334014716,-0.0043577493188635685,-0.004089979550102263,-0.002199697522630273,0.019086571233810412
B_EARLY_MIDDLE_TO_LATE,2025-12-25,1474,-0.005427408412483015,-0.006121518377840585,-0.008141112618724522,-0.0021865269778662544,0.019674355495250984
B_EARLY_MIDDLE_TO_LATE,2025-12-26,1434,-0.001394700139470073,-0.0033771545548905157,-0.0034867503486750717,-0.000446336239987688,0.010460251046024993
B_EARLY_MIDDLE_TO_LATE,2025-12-27,1439,-0.007644197359277238,-0.010102174328185387,0.001389854065323215,-0.004089239461025351,0.02432244614315482
B_EARLY_MIDDLE_TO_LATE,2025-12-28,1455,-0.0068728522336770626,-0.006542312230748082,-0.004123711340206171,-0.003744638332267236,0.02542955326460472
